Firm Name,Momentum_1,Long Short,Cluster Index
GNC-L,-0.1056910569105692,0,-1
DCC-L,-0.0582524271844659,0,-1
CPI-L,0.0650224215246635,0,-1
CNE-L,0.1748633879781418,0,-1
CLDN-L,-0.0254521098459477,0,-1
CKT-L,0.0,0,-1
CHG-L,-0.0208333333333333,0,-1
CEPS-L,-0.054054054054054,0,-1
CDFF-L,0.0705467372134038,0,-1
DLAR-L,0.0787589498806675,0,-1
BWNG-L,0.0952380952380953,0,-1
BOOT-L,-0.0256410256410256,0,-1
BLPU-L,-0.0578778135048231,0,-1
BKGH-L,0.1265486725663718,0,-1
BGFD-L,0.2790697674418605,0,-1
BAES-L,0.0606826801517066,0,-1
BAB-L,0.0177514792899406,0,-1
AV-L,0.0531073446327685,0,-1
ATST-L,0.0204184100418409,0,-1
BOY-L,-0.0520231213872836,0,-1
ECORE-L,-0.0625,0,-1
ELM-L,0.2550335570469793,0,-1
FJV-L,0.389261744966443,0,-1
ANEA-L,-0.0198019801980198,0,-1
TET-L,0.032258064516129,0,-1
SBRY-L,0.0643153526970954,0,-1
RIICi-L,0.0,0,-1
RCH-L,0.0626262626262625,0,-1
OVB-L,0.0,0,-1
MKS-L,-0.0139817629179331,0,-1
KMR-L,-0.074074074074074,0,-1
JMG-L,0.0976331360946742,0,-1
JGGI-L,0.0273483947681332,0,-1
JDW-L,0.2317880794701987,0,-1
IPU-L,0.0822784810126582,0,-1
INCH-L,-0.0405405405405401,0,-1
HVT-L,-0.0649350649350649,0,-1
HBR-L,0.2222222222222223,0,-1
HAN-L,-0.0280777537796975,0,-1
GRG-L,0.053921568627451,0,-1
GHT-L,0.2299651567944252,0,-1
GFRD-L,0.0416666666666665,0,-1
ABD-L,0.0135440180586909,0,-1
EDIN-L,0.007600434310532,0,-1
ANTO-L,0.4514285714285717,-1,0
KLR-L,0.1349397590361445,1,0
UBGU-L,0.0377358490566039,1,1
GLEG-L,-0.0278637770897832,-1,1
KBT-L,-0.1935483870967742,-1,2
CMH-L,-0.0298507462686566,1,2
ABF-L,-0.0943193997856377,-1,3
AZN-L,0.1999209798498618,1,3
DPLM-L,0.1647058823529412,-1,4
DIG-L,-0.0103567318757191,1,4
N4P-L,-0.2666666666666667,-1,5
BT-L,-0.0329256820319849,1,5
RTN-L,0.1538461538461539,-1,6
SHEL-L,0.2337837128568107,1,6
JET2-L,0.0808625336927224,1,7
PZC-L,-0.0615384615384615,-1,7
CRPR-L,-0.0771704180064308,-1,8
TW-L,-0.0028011204481794,1,8
LOOK-L,-0.0350877192982456,-1,9
AEI-L,0.0393120393120391,1,9
NICL-L,0.0070671378091873,-1,10
BMT-L,0.0217391304347827,1,10
BAG-L,-0.0186199342825847,-1,11
CTY-L,0.0113421550094519,1,11
ALUG-L,0.0396039603960396,-1,12
BWY-L,0.1663716814159292,1,12
CFYN-L,0.0,-1,13
CGT-L,0.0222222222222223,1,13
IBT-L,0.0279329608938547,-1,14
HAYS-L,0.0860534124629079,1,14
ARBB-L,-0.0400000000000003,-1,15
NAIT-L,0.0324508966695133,1,15
PAGPA-L,0.0216867469879518,1,16
AIEA-L,0.1855670103092783,-1,16
C1Y-L,-0.0331950207468879,-1,17
BUT-L,0.0286532951289397,1,17
GBGP-L,-0.0655737704918032,-1,18
HRI-L,0.084788029925187,1,18
CRDA-L,-0.1287128712871287,-1,19
TRFT-L,0.0966386554621849,1,19
DGE-L,-0.0195794053662073,1,20
SMDS-L,-0.0272727272727271,-1,20
NWB_pa-L,-0.0202177293934681,1,21
HID-L,0.0,-1,21
BARC-L,0.1165865384615385,1,22
BIOM-L,0.0,-1,22
CRGT-L,0.28125,-1,23
REDD-L,0.1869281045751634,1,23
BNZL-L,0.0507726269315673,-1,24
ADIG-L,-0.0181159420289854,1,24
IMI-L,0.1633109619686801,-1,25
JMI-L,0.0673076923076925,1,25
CTID-L,0.0476190476190474,-1,26
RS1R-L,0.25,1,26
MNKS-L,-0.0159216166564604,-1,27
PSON-L,0.0277980980248719,1,27
DSCV-L,0.0548780487804878,1,28
SNXS-L,0.2025316455696202,-1,28
HTG-L,0.0284552845528456,-1,29
LPA-L,0.2307692307692308,1,29
COA-L,0.0499999999999993,-1,30
CFX-L,0.0129032258064516,1,30
ACRM-L,0.0,-1,31
GPEG-L,0.0051020408163264,1,31
CML-L,-0.0118343195266272,-1,32
HRN-L,-0.0869565217391304,1,32
LSC-L,-0.0561797752808989,-1,33
KPCK-L,0.0637191157347205,1,33
HSBA-L,0.126101321585903,1,34
HWDN-L,0.069767441860465,-1,34
MRCH-L,0.0253623188405796,1,35
RNWH-L,0.0,-1,35
TITN-L,-0.0184049079754601,-1,36
BATS-L,-0.1172413793103448,1,36
HILS-L,-0.0210526315789473,-1,37
DIAL-L,0.0136239782016349,1,37
BTW_pa-L,-0.0067453625632377,1,38
HDT-L,0.1015228426395937,-1,38
BRSC-L,0.064516129032258,1,39
ATRAS-L,0.1179487179487179,-1,39
TPK-L,0.2541766109785202,-1,40
DLN-L,0.1956521739130434,1,40
VIP-L,0.0174672489082969,-1,41
FSV-L,0.0614754098360654,1,41
BRLA-L,0.2320675105485232,-1,42
NWG-L,0.1608695652173912,1,42
LLOY-L,0.0775325410299945,1,43
RFGR-L,0.0,-1,43
CGS-L,-0.0405797101449275,-1,44
C3U-L,0.0185185185185186,1,44
