Firm Name,Momentum_1,Long Short,Long,Short,Cluster Index
FTWG_42-L,0.218181818181818,0.0,0,0,0
FZEW_05-L^H99,-0.0079575596816975,0.0,0,0,0
FTHD_44-L,-0.0077519379844961,0.0,0,0,0
FSIG_05-L^E18,-0.0076335877862595,0.0,0,0,0
FSHC_81-L^H08,-0.0076335877862595,0.0,0,0,0
FWOG_40-L^I03,-0.0072992700729926,0.0,0,0,0
FVUA_50-L,-0.0064516129032258,0.0,0,0,0
FSWI_40-L^L97,-0.0062893081761006,0.0,0,0,0
FTPH_62-L^G98,-0.0044444444444444,0.0,0,0,0
FSQK_13-L^F00,-0.004149377593361,0.0,0,0,0
XDF_T8-L,-0.003968253968254,0.0,0,0,0
FTTO_38-L,-0.0036496350364964,0.0,0,0,0
FSPV_34-L^H06,-0.0035714285714284,0.0,0,0,0
BJFG_09-L^J99,-0.0033057851239668,0.0,0,0,0
LXJN_06-L^K99,-0.0031645569620254,0.0,0,0,0
FSWY_S4-L,-0.0009474182851728,0.0,0,0,0
XAH_62-L^J95,0.0,0.0,0,0,0
MOKZ_41-L^K00,0.0,0.0,0,0,0
FVSZ_60-L,-0.0084507042253521,0.0,0,0,0
FTAE_98-L,-0.0085106382978723,0.0,0,0,0
FTVJ_57-L^D08,-0.0095238095238094,0.0,0,0,0
FSDF_86-L,-0.011111111111111,0.0,0,0,0
FSKF_44-L^C02,-0.0208333333333333,0.0,0,0,0
FWON_41-L^G09,-0.0204081632653061,0.0,0,0,0
FSRS_45-L,-0.0202020202020202,0.0,0,0,0
LMLR_31-L^L03,-0.0191304347826087,0.0,0,0,0
LNYJ_71-L^A07,-0.018181818181818,0.0,0,0,0
LMCF_29-L^B99,-0.0175438596491228,0.0,0,0,0
FSRD_76-L^L07,-0.0170068027210883,0.0,0,0,0
CWV_20-L^I06,-0.0167597765363128,0.0,0,0,0
LVZV_88-L^G98,0.0,0.0,0,0,0
FURR_39-L^F08,-0.0167464114832534,0.0,0,0,0
FSFM_82-L,-0.0144153764014949,0.0,0,0,0
FSHU_94-L,-0.0139211136890949,0.0,0,0,0
FTIL_01-L^J02,-0.0133333333333333,0.0,0,0,0
FTFK_07-L,-0.0133037694013302,0.0,0,0,0
FUIV_05-L^A98,-0.013157894736842,0.0,0,0,0
FSWN_06-L^K99,-0.0125628140703517,0.0,0,0,0
FSSW_06-L^C00,-0.012295081967213,0.0,0,0,0
FUMO_59-L^B97,-0.0112676056338028,0.0,0,0,0
FTOE_84-L^L06,-0.0158730158730159,0.0,0,0,0
FTTG_39-L,-0.0214592274678112,0.0,0,0,0
LPQM_22-L^A02,0.0,0.0,0,0,0
LNBT_03-L^H99,0.0,0.0,0,0,0
FTOR_44-L^G07,0.0053475935828875,0.0,0,0,0
FTQG_18-L^H98,0.0054644808743169,0.0,0,0,0
FZCU_68-L^F06,0.0055865921787709,0.0,0,0,0
VDN_07-L^F99,0.0062630480167014,0.0,0,0,0
FTPT_07-L^D03,0.006269592476489,0.0,0,0,0
FTKK_08-L^H01,0.0076335877862594,0.0,0,0,0
DPXL_94-L,0.0082644628099173,0.0,0,0,0
FSQS_06-L^A09,0.0096153846153845,0.0,0,0,0
FSOU_71-L^I17,0.01,0.0,0,0,0
FTQX_59-L^F08,0.0104712041884815,0.0,0,0,0
FSBW_00-L^B98,0.0111317254174398,0.0,0,0,0
ION_16-L^A02,0.0113636363636364,0.0,0,0,0
FZCT_75-L^F12,0.0113636363636364,0.0,0,0,0
FSWD_60-L^I15,0.0115107913669065,0.0,0,0,0
XOG_03-L^I97,0.0132625994694959,0.0,0,0,0
