Firm Name,Momentum_1,Long Short,Long,Short,Cluster Index
MDWS_R3-L,0.5,0.0,0,0,0
LULR_10-L,-0.0025641025641025,0.0,0,0,0
YGS_F9-L,-0.0059523809523809,0.0,0,0,0
FSXN_M8-L,-0.0062111801242236,0.0,0,0,0
LKVE_T2-L,-0.0076045627376425,0.0,0,0,0
POAN_J0-L,-0.0076335877862595,0.0,0,0,0
PQGA_Y8-L^B20,-0.0090909090909091,0.0,0,0,0
QIKU_Y6-L^G18,0.0,0.0,0,0,0
MOMR_D9-L^J17,-0.0091324200913242,0.0,0,0,0
QFUY_11-L^K16,-0.0103092783505154,0.0,0,0,0
OIKK_84-L,-0.0124610591900311,0.0,0,0,0
RFXT_L4-L^G17,-0.0138888888888889,0.0,0,0,0
RBXV_X2-L^E18,-0.015625,0.0,0,0,0
LTCQ_47-L,-0.0168539325842695,0.0,0,0,0
MOPG_N0-L^J17,-0.0168776371308015,0.0,0,0,0
QRNB_H7-L^E19,-0.010204081632653,0.0,0,0,0
QFPS_X6-L^L20,0.0,0.0,0,0,0
QETD_98-L^L18,0.0,0.0,0,0,0
PPLK_06-L^L16,0.0,0.0,0,0,0
MPGK_86-L^G20,0.0,0.0,0,0,0
NRDY_81-L,0.0,0.0,0,0,0
NSDX_21-L^J19,0.0,0.0,0,0,0
NWIA_J2-L,0.0,0.0,0,0,0
OQCK_81-L,0.0,0.0,0,0,0
PMEE_74-L,0.0,0.0,0,0,0
PRGR_16-L^B16,0.0,0.0,0,0,0
PRVD_70-L^H17,0.0,0.0,0,0,0
FSEO_01-L^F23,0.0,0.0,0,0,0
MAAQ_Y6-L,0.0,0.0,0,0,0
MOBH_38-L^C18,0.0,0.0,0,0,0
OFQA_51-L^A23,0.0,0.0,0,0,0
OPYM_J3-L^J18,0.0,0.0,0,0,0
PNGA_94-L,0.0,0.0,0,0,0
PPKW_F0-L^I16,0.0,0.0,0,0,0
MBEH_85-L^K22,-0.0172413793103448,0.0,0,0,0
LYWJ_19-L,0.0,0.0,0,0,0
LKDM_36-L,-0.0178571428571429,0.0,0,0,0
NRAS_15-L,-0.0217391304347825,0.0,0,0,0
NNHD_34-L^I21,-0.111111111111111,0.0,0,0,0
PQMG_04-L,-0.1178343949044585,0.0,0,0,0
QZGH_19-L^E19,-0.1222222222222222,0.0,0,0,0
PQGJ_P1-L,-0.1296296296296296,0.0,0,0,0
QZJA_Z4-L^G20,-0.1304347826086956,0.0,0,0,0
QTHZ_ST-L,-0.1457800511508952,0.0,0,0,0
OFVY_Z4-L^I18,-0.1,0.0,0,0,0
BPVY_D7-L,-0.14975845410628,0.0,0,0,0
FTFK_07-L,-0.1555555555555555,0.0,0,0,0
NKSU_C5-L,-0.1875,0.0,0,0,0
PQGL_97-L,-0.2040816326530613,0.0,0,0,0
QJHL_19-L^K16,-0.25,0.0,0,0,0
MVWE_R8-L^F18,-0.3333333333333332,0.0,0,0,0
NIHW_56-L,-0.5,0.0,0,0,0
PKJW_K8-L,-0.1517128874388253,0.0,0,0,0
LQGM_77-L,-0.0886792452830188,0.0,0,0,0
NJIU_S1-L,-0.0839630562552476,0.0,0,0,0
OVJO_W2-L^L19,-0.0759493670886076,0.0,0,0,0
QXXH_K9-L^L16,-0.0246913580246913,0.0,0,0,0
QENS_24-L,-0.026315789473684,0.0,0,0,0
OFVT_45-L^L19,-0.0263157894736842,0.0,0,0,0
LLJF_08-L,-0.0301690794562934,0.0,0,0,0
LZOI_36-L,-0.0303030303030302,0.0,0,0,0
RBYE_B6-L^L16,-0.0303030303030302,0.0,0,0,0
PXBK_V4-L^J20,-0.0333333333333333,0.0,0,0,0
QGBT_Y2-L,-0.0351758793969849,0.0,0,0,0
PPBO_X2-L,-0.0357142857142857,0.0,0,0,0
FTUR_66-L,-0.0360360360360361,0.0,0,0,0
FTWO_M3-L,-0.0374538745387453,0.0,0,0,0
ORPJ_47-L,-0.0416666666666666,0.0,0,0,0
MNWX_86-L,-0.0451722190852625,0.0,0,0,0
MOOP_24-L,-0.0508474576271185,0.0,0,0,0
PNSA_Z4-L^D21,-0.0625,0.0,0,0,0
NAFG_44-L,-0.0204714640198512,0.0,0,0,0
LVWS_61-L,0.0,0.0,0,0,0
BJFH_03-L^E20,-0.0815986677768526,0.0,0,0,0
LQYK_79-L^K16,0.0,0.0,0,0,0
NLIY_L7-L,0.1153846153846152,0.0,0,0,0
MADG_16-L,0.1052631578947367,0.0,0,0,0
NVBE_Y6-L,0.1021582733812949,0.0,0,0,0
LRLG_Q4-L,0.0939130434782609,0.0,0,0,0
MIKD_96-L,0.0847018150388936,0.0,0,0,0
ODDI_D3-L,0.0843989769820972,0.0,0,0,0
FZHF_20-L,0.120401337792642,0.0,0,0,0
MHOL_N2-L,0.0756972111553786,0.0,0,0,0
NYTQ_M7-L,0.0718512256973795,0.0,0,0,0
QMOE_03-L^E20,0.0677966101694915,0.0,0,0,0
PTER_P8-L^C23,0.0666666666666666,0.0,0,0,0
FSBR_F1-L,0.0636942675159235,0.0,0,0,0
LTUD_V7-L,0.0619195046439629,0.0,0,0,0
LULT_79-L,0.0609756097560976,0.0,0,0,0
FSVZ_N1-L,0.0731626205520452,0.0,0,0,0
LVWO_W2-L,0.132490827558092,0.0,0,0,0
NIMO_F8-L,0.1402298850574712,0.0,0,0,0
PRJS_W8-L^L20,0.142857142857143,0.0,0,0,0
LTDZ_38-L,0.0,0.0,0,0,0
QVZQ_Y2-L,0.3999999999999999,0.0,0,0,0
QAJT_02-L,0.3725490196078429,0.0,0,0,0
FSIG_05-L^E18,0.2692307692307691,0.0,0,0,0
PRJN_H2-L,0.2666666666666666,0.0,0,0,0
XKZ_32-L,0.2272727272727273,0.0,0,0,0
QEUC_80-L^D21,0.2142857142857142,0.0,0,0,0
FZAP_79-L,0.1999999999999999,0.0,0,0,0
FWGH_W4-L,0.1845238095238095,0.0,0,0,0
MPIK_35-L,0.1818181818181818,0.0,0,0,0
FTHD_44-L,0.1813725490196078,0.0,0,0,0
FURT_89-L,0.1721854304635761,0.0,0,0,0
FWCJ_P7-L,0.1650793650793651,0.0,0,0,0
BQCM_56-L,0.1646191646191646,0.0,0,0,0
LWSG_83-L,0.142857142857143,0.0,0,0,0
MDDY_J4-L,0.0591293047433398,0.0,0,0,0
POHS_67-L,0.0547945205479452,0.0,0,0,0
QLIH_M0-L,0.1999999999999999,0.0,0,0,0
NSZS_73-L,0.05168986083499,0.0,0,0,0
MPZE_R4-L,0.019905213270142,0.0,0,0,0
MGPD_W5-L,0.0190930787589496,0.0,0,0,0
MDVF_63-L,0.017857142857143,0.0,0,0,0
RSPK_05-L,0.0153846153846153,0.0,0,0,0
LWBN_00-L^L20,0.0145631067961164,0.0,0,0,0
LQOI_96-L^C21,0.0140845070422535,0.0,0,0,0
FSOF_21-L,0.0127737226277371,0.0,0,0,0
BJPG_B2-L,0.011254460609388,0.0,0,0,0
NBGQ_54-L,0.011070110701107,0.0,0,0,0
BKJI_63-L,0.0048510048510048,0.0,0,0,0
LZWP_D6-L,0.0044365572315883,0.0,0,0,0
FWOR_N0-L,0.0026007802340701,0.0,0,0,0
LLKY_68-L,0.0021978021978021,0.0,0,0,0
MOFT_M3-L,0.0530303030303029,0.0,0,0,0
BLNV_40-L^F19,0.0,0.0,0,0,0
LSRL_F4-L,0.0239410681399632,0.0,0,0,0
FUXL_24-L,0.0258548790658883,0.0,0,0,0
PJUD_T8-L,0.0039525691699606,0.0,0,0,0
NJCO_60-L,0.0263157894736842,0.0,0,0,0
PVEB_G7-L,0.040816326530612,0.0,0,0,0
NVFZ_13-L,0.0388583218707017,0.0,0,0,0
QETU_Z5-L^F17,0.0421270718232043,0.0,0,0,0
QEJL_71-L,0.0378006872852234,0.0,0,0,0
LQBO_34-L,0.0358744394618835,0.0,0,0,0
NYDG_G7-L,0.0350877192982457,0.0,0,0,0
LRHO_12-L^D20,0.0314960629921259,0.0,0,0,0
YGD_V7-L,0.0469562203996767,0.0,0,0,0
NGTE_63-L,0.0299727520435966,0.0,0,0,0
PRMR_D0-L,0.02991452991453,0.0,0,0,0
OCCM_K3-L,0.02991452991453,0.0,0,0,0
NIIA_56-L,0.0293083235638922,0.0,0,0,0
MATL_J4-L,0.0292397660818712,0.0,0,0,0
POCK_R4-L,0.0280811232449298,0.0,0,0,0
FTRQ_47-L,0.0263157894736842,0.0,0,0,0
PUHS_J4-L,0.0303030303030302,0.0,0,0,0
NEYB_12-L,0.0,0.0,0,0,1
NZJG_B6-L,-0.0570987654320989,0.0,0,0,1
LMEO_W1-L,0.0034662045060658,0.0,0,0,1
PNRC_92-L,-0.1207043453564328,0.0,0,0,1
PSFH_X8-L,0.2790697674418605,-0.0,0,0,1
QCMV_50-L,0.4772727272727273,-0.0,0,0,1
PJVE_54-L^L17,0.0172839506172839,-0.0,0,0,1
PRKE_35-L,0.0,0.0,0,0,2
PRJX_P4-L,0.0,0.0,0,0,2
PRJJ_V9-L,0.0,0.0,0,0,2
PQZT_86-L^C16,0.0,0.0,0,0,2
PQAF_V8-L,0.0,0.0,0,0,2
PPKR_M6-L^I20,0.0,0.0,0,0,2
PPDV_K2-L^I19,0.0,0.0,0,0,2
POVS_H2-L^C20,0.0,0.0,0,0,2
POTM_D5-L,0.0,0.0,0,0,2
OUBM_32-L^J22,0.0,0.0,0,0,2
POKC_99-L,0.0,0.0,0,0,2
POAN_90-L,0.0,0.0,0,0,2
PNHT_09-L^L18,0.0,0.0,0,0,2
PNGB_05-L,0.0,0.0,0,0,2
PNDY_B6-L,0.0,0.0,0,0,2
PNDH_L2-L,0.0,0.0,0,0,2
PLIT_34-L^K18,0.0,0.0,0,0,2
PSBW_Y7-L^C16,0.0,0.0,0,0,2
PKKE_87-L,0.0,0.0,0,0,2
PKCF_M9-L^C20,0.0,0.0,0,0,2
PJUG_06-L^C21,0.0,0.0,0,0,2
ORES_16-L,0.0,0.0,0,0,2
PNZT_77-L^K17,0.0,0.0,0,0,2
PTMI_24-L^C18,0.0,0.0,0,0,2
XIL_23-L^I20,0.0,0.0,0,0,2
PVPU_95-L^B22,0.0,0.0,0,0,2
FSNE_62-L,-0.0039370078740158,0.0,0,0,2
OQCT_58-L,0.0,0.0,0,0,2
FXRZ_19-L,-0.0037497533057037,0.0,0,0,2
BLNT_37-L^D19,-0.0012048192771085,0.0,0,0,2
YGX_G5-L,0.0,0.0,0,0,2
XDV_D9-L,0.0,0.0,0,0,2
WYJ_65-L,0.0,0.0,0,0,2
QYYV_C3-L,0.0,0.0,0,0,2
QXLS_H0-L^I18,0.0,0.0,0,0,2
QWGF_06-L,0.0,0.0,0,0,2
QUUM_N4-L^F16,0.0,0.0,0,0,2
QPL_76-L,0.0,0.0,0,0,2
QOKW_W4-L,0.0,0.0,0,0,2
QNJL_22-L,0.0,0.0,0,0,2
QLFG_H7-L^E18,0.0,0.0,0,0,2
QGLJ_32-L,0.0,0.0,0,0,2
QFWC_58-L^D19,0.0,0.0,0,0,2
QFUT_L4-L^J18,0.0,0.0,0,0,2
QCNW_B4-L^I21,0.0,0.0,0,0,2
QBZJ_R9-L^A18,0.0,0.0,0,0,2
QBKZ_52-L^E23,0.0,0.0,0,0,2
QBGA_01-L^L16,0.0,0.0,0,0,2
QARJ_C8-L^C16,0.0,0.0,0,0,2
PVAN_55-L^C20,0.0,0.0,0,0,2
OKXS_S5-L,0.0,0.0,0,0,2
FTRW_92-L^G18,0.0,0.0,0,0,2
OFVE_X0-L^C18,0.0,0.0,0,0,2
LKOU_40-L,0.0,0.0,0,0,2
LKKB_52-L^L16,0.0,0.0,0,0,2
FVSJ_40-L^K22,0.0,0.0,0,0,2
