Firm Name,Momentum_1,Long Short
LXUA_56-L^B13,-0.6666666666666666,1
OQCK_81-L,-0.46875,1
FZCT_75-L^F12,-0.4166666666666666,1
MSRP_01-L^C12,-0.3360995850622407,1
LTDC_G4-L^I12,-0.3333333333333333,1
NNZU_73-L^E13,-0.3333333333333333,1
PKHK_32-L^J10,-0.3333333333333332,1
LKFE_10-L^J18,-0.3070866141732283,1
PVWF_Y4-L^D22,-0.2615384615384616,1
MDWD_B0-L^J10,-0.2613636363636363,1
LWMJ_01-L^G14,-0.2500000000000001,1
NNYI_84-L^D16,-0.25,1
OFVI_N2-L^C17,-0.25,1
LQYK_79-L^K16,-0.2307692307692307,1
LKPB_01-L^J12,-0.2222222222222223,1
LLAI_32-L^A12,-0.2105263157894736,1
OVJK_17-L,-0.2079999999999999,1
OIEF_72-L^A13,-0.1999999999999999,1
MPHH_H7-L^G19,-0.1940298507462686,1
OFQD_10-L,-0.1940298507462686,1
PRGA_34-L^I11,-0.1875,1
POXE_91-L^B19,-0.1785714285714286,1
LLEU_94-L,-0.1764705882352941,1
PMEE_74-L,-0.176470588235294,1
LURY_66-L,-0.1666666666666666,1
PVTI_C3-L^B12,-0.1666666666666666,1
POCE_04-L^E20,-0.1578947368421053,1
NEXJ_93-L^A17,-0.1538461538461538,1
MDWJ_V7-L,-0.1499999999999999,1
OVEO_02-L^L10,-0.1499999999999999,1
PQCO_08-L,-0.144278606965174,1
OFWD_96-L^A21,-0.142857142857143,1
PQGJ_P1-L,-0.142857142857143,1
MPEJ_48-L,-0.1380103507763082,1
MCDD_74-L,-0.1363636363636363,1
PQBZ_24-L^E13,-0.1351351351351351,1
PPTB_09-L,-0.125,1
PQSI_N0-L^C13,-0.125,1
LOIF_35-L^F18,-0.1249999999999998,1
LQOS_64-L^I16,-0.1249999999999998,1
MPZB_70-L^C11,-0.1249999999999998,1
OQUL_06-L^G13,-0.1249999999999998,1
MCRL_78-L^L15,-0.1207729468599032,1
PKJZ_06-L,-0.1176470588235295,1
PLMP_11-L^K15,-0.1132075471698114,1
MITG_37-L^H12,-0.1111111111111111,1
MOPY_13-L^B12,-0.111111111111111,1
PNED_D2-L^A21,-0.111111111111111,1
MQMA_25-L,-0.109375,1
FSSR_11-L,-0.1090909090909091,1
PJWZ_P2-L,-0.108433734939759,1
PLME_74-L^K12,-0.1052631578947368,1
MORB_X0-L,-0.1052631578947367,1
LXWG_56-L^H13,-0.1,1
MVWD_D8-L^F18,-0.1,1
PRAL_P6-L,-0.1,1
LUTI_90-L,-0.0999999999999999,1
NEUF_60-L^I19,-0.0999999999999999,1
LUPI_V9-L,-0.0991735537190081,1
NRDZ_95-L^E21,-0.0943396226415095,1
FZFD_B6-L^A23,-0.0903732809430255,1
FSLV_X2-L^J11,-0.0899999999999999,1
OQCW_28-L^F17,-0.0857142857142856,1
LUWQ_46-L,-0.0833333333333332,1
PRKR_45-L,-0.0833333333333332,1
FSHU_94-L,-0.0818181818181819,1
NFBG_V7-L^L19,-0.0816326530612244,1
OQCL_13-L,-0.081081081081081,1
DPCZ_02-L^F20,-0.0799999999999999,1
FSUX_S9-L^A11,-0.0769230769230769,1
MDFJ_98-L^K19,-0.0769230769230769,1
NOAE_07-L^H21,-0.0769230769230769,1
PJQV_32-L^I11,-0.0769230769230769,1
MACX_82-L,-0.0769230769230768,1
PLZN_P3-L^A20,-0.0757575757575758,1
PKXR_D9-L,-0.0697674418604651,1
PVAE_P6-L^I13,-0.0684931506849314,1
NREM_L2-L^A15,-0.0679611650485437,0
LYRH_13-L,-0.0655737704918033,0
FWQO_33-L^K18,-0.062780269058296,0
OQCH_75-L,-0.0625,0
FSFM_82-L,-0.0606531881804043,0
PNPR_B7-L,-0.0603773584905659,0
MBEC_71-L,-0.0595238095238095,0
LMFN_11-L^L11,-0.0588235294117647,0
LKKB_22-L^L16,-0.0555555555555554,0
NOJL_F4-L,-0.0555555555555554,0
