firms,mom1,clusters
54594,0.055944055944056,0
47351,-0.0833333333333333,3
50091,-0.0966542750929367,13
27502,-0.0389610389610389,20
44601,0.0301507537688441,13
46156,-0.0421052631578947,11
17953,0.08,26
42438,-0.0421052631578947,2
55044,-0.1005586592178771,13
55108,-0.0909090909090909,28
52003,-0.072463768115942,8
27158,-0.0491803278688525,10
41419,-0.081081081081081,21
47175,0.0754716981132075,21
15712,-0.1544117647058823,11
30680,-0.1726190476190476,22
53401,-0.0679999999999999,27
56274,-0.0664335664335664,26
48637,-0.0491803278688525,11
60425,-0.1692307692307691,2
30816,-0.0779220779220779,1
36150,-0.1025641025641025,13
50649,0.0,11
47829,-0.0784313725490196,0
61305,-0.0363636363636363,21
21872,-0.1490384615384615,25
31536,-0.0846560846560846,23
47511,-0.1758241758241758,2
20909,-0.1423728813559321,10
48143,-0.015625,20
50729,-0.0653846153846153,29
60628,-0.032051282051282,1
55730,-0.1555555555555555,26
57330,-0.1134453781512605,11
51051,0.0405405405405405,21
23253,-0.2183908045977011,12
32205,-0.0346820809248554,20
52935,-0.1685393258426966,28
32328,-0.1146496815286624,5
26657,-0.0769230769230768,0
32504,-0.044776119402985,25
22250,-0.086206896551724,14
27879,-0.5194444444444444,18
50382,-0.1034482758620689,24
52716,-0.5265957446808511,12
48557,-0.1272727272727273,15
18278,-0.0577689243027887,8
53129,-0.040650406504065,25
54674,-0.0843373493975904,21
44265,-0.0727272727272727,4
51828,-0.0851063829787234,9
58624,0.0080645161290322,15
50462,-0.1258741258741258,1
13143,-0.1176470588235294,27
59926,-0.0555555555555555,15
30082,-0.0533980582524271,27
59942,-0.1333333333333333,28
47538,-0.1161290322580644,23
48063,-0.1999999999999999,1
34331,0.0530303030303029,19
52337,-0.0454545454545454,17
51377,-0.0932203389830508,3
22066,-0.0769230769230768,24
47204,-0.1571428571428571,28
58077,-0.0980392156862745,7
34948,-0.1102941176470588,19
35107,0.0950413223140496,11
58675,0.0,12
35115,-0.0884353741496598,10
45823,0.0113636363636364,4
51692,-0.1690140845070422,11
16360,-0.0306122448979592,22
39984,0.013157894736842,21
52628,-0.1751412429378531,24
43692,-0.0909090909090909,1
40360,-0.1274509803921568,1
53102,-0.0967741935483871,29
40571,-0.1167883211678831,27
54498,-0.14375,12
46922,0.0337837837837837,1
52943,-0.0568181818181817,20
46543,-0.0280898876404493,23
36281,-0.0134228187919462,19
52089,-0.0785340314136125,18
38850,-0.144927536231884,15
27481,-0.0108695652173913,7
36708,-0.0425531914893616,29
22998,0.0303030303030302,23
27764,0.0887573964497041,9
54471,-0.1587301587301587,4
44951,-0.0327102803738317,27
60353,-0.0578947368421052,4
40061,-0.1736745886654479,10
40694,-0.1081967213114754,10
41523,0.0101010101010101,28
42462,-0.0165289256198346,27
