Firm Name,Momentum_1,Long Short,Cluster Index
KIE,5.163592754281549,-1,1
CWK,6.6384602366929775,-1,1
EMG,11.99536030073935,1,1
CTO,12.404340130617625,1,1
SHED,-1.2449082466690875,-1,2
SGE,-0.4265128688177789,-1,2
WCW,-0.1802102011459163,-1,2
WPP,0.578849813453642,-1,2
SRP,0.6025638613762434,-1,2
CNA,1.540849230754274,-1,2
RCDO,1.57420337186513,1,2
CPI,2.394899060622799,1,2
MTO,2.571008789515849,1,2
CHG,4.790614364691254,1,2
WKP,5.286768887996728,1,2
OXB,7.34298017015321,1,2
ULVR,-5.1182102052871405,-1,3
PNN,-3.8448218955675335,-1,3
RE,-3.822545210936721,-1,3
COST,-3.723888889567622,-1,3
IQAI,-3.597898187084044,-1,3
WTB,-3.528557834276609,-1,3
RTO,-3.519091077697794,-1,3
RTN,-3.497659034014562,-1,3
FGP,-3.2548851200099334,-1,3
TTG,-3.0534757538306057,-1,3
TATE,-2.9485199873850743,-1,3
SVT,-2.947148270574563,-1,3
SBRY,-2.776338737634699,-1,3
MKS,-2.7551474827192037,-1,3
HEAD,-2.748520949611425,-1,3
BLND,-2.727251196490588,-1,3
CGS,-2.7257258298274114,-1,3
ABF,-2.6900316629521783,-1,3
SYNT,-2.665859565432757,-1,3
LLOY,-2.5119012092763344,-1,3
OXIG,-2.3518790864007744,-1,3
SFR,-2.259110129823324,-1,3
SDY,-2.242171070752999,-1,3
ROR,-2.211859994903447,-1,3
IMI,-2.09646314823729,-1,3
TLW,-1.970054361151225,-1,3
STJ,-1.948993904680491,-1,3
FSTA,-1.9442338358512303,-1,3
MACF,-1.9403707382894544,-1,3
REL,-1.8655848986663155,-1,3
RKT,-1.8507604479006408,-1,3
BAG,-1.7938565302473934,-1,3
TW,-1.7722594467668449,-1,3
SSE,-1.7700496469603897,-1,3
RNK,-1.6330256354855062,-1,3
PRV,-1.5964837535175829,-1,3
DPLM,-1.5612759412198334,-1,3
HTG,-1.36531588644664,-1,3
HMSO,-1.345616934974225,-1,3
LAS,-1.3041426976596906,-1,3
CRH,-1.2450539111331247,-1,3
SNWS,-1.1146379203838632,-1,3
CAL,-0.972476879246728,-1,3
GRG,-0.921652253253039,-1,3
DLN,-0.9127923414847522,0,3
KLR,-0.8892832229172939,1,3
SMJ,-0.8592295838463258,1,3
DGE,-0.8114287803333894,1,3
TSCO,-0.765042842954258,1,3
AZN,-0.7296080335325268,1,3
SMDS,-0.7282715572893126,1,3
BKG,-0.7161544463938934,1,3
CFYN,-0.6951368556240309,1,3
REDD,-0.6600053443486327,1,3
MARS,-0.6216800794351192,1,3
HLMA,-0.5586242724142129,1,3
FSJ,-0.5521348153635767,1,3
BOOT,-0.1441101194722676,1,3
BARC,0.0362421559108464,1,3
ECOR,0.0478052315084127,1,3
BWY,0.065013170956842,1,3
HILS,0.1535267349503396,1,3
VP,0.230885792792924,1,3
RS1,0.2550013219893089,1,3
GDWN,0.263859789935215,1,3
SXS,0.2823399325327039,1,3
VCT,0.4275727425447423,1,3
MTVW,0.5645845948148059,1,3
DLAR,0.5769132407029818,1,3
HLCL,0.6159144638726082,1,3
VTY,0.6235742753872063,1,3
RDW,0.6257808205123376,1,3
ICP,0.7268516659313443,1,3
CLI,0.7963087341073983,1,3
RIII,0.8679642683242749,1,3
SUS,0.9445660008550294,1,3
CARR,1.033821369532567,1,3
