Firm Name,Momentum_1,Long Short,Cluster Index
TET,-0.0965001431434297,-1,1
BREE,-0.0617994518476514,-1,1
TRI,-0.0454564670570082,0,1
HIK,-0.0086701528366164,1,1
CRL,0.04754230459307,1,1
G3E,-0.0923076923076923,0,2
PHAR,-0.1045034071305807,-1,3
RS1,-0.0954721139801841,-1,3
MKS,-0.0954643257789845,-1,3
NEX,-0.0949198471539269,-1,3
MGAM,-0.0942122760922514,-1,3
SYNT,-0.083475688376629,-1,3
VCT,-0.0775859987747871,-1,3
BP,-0.0620458081760675,-1,3
SMJ,-0.0615314196037402,-1,3
SMIN,-0.055892171276939,-1,3
SHEL,-0.0497345126873418,-1,3
DOM,-0.0452677058846704,-1,3
HSBA,-0.0416994079049445,0,3
PNN,-0.0326553049475595,1,3
GSK,-0.0315074673213146,1,3
CCR,-0.0277155936765056,1,3
PHP,-0.0226630387079787,1,3
HTG,-0.0168356500190723,1,3
UKCM,-0.0049275362318841,1,3
CRH,0.0122742778276383,1,3
RNK,0.019942242535871,1,3
BRBY,0.0292887415318883,1,3
KGF,0.03370084739381,1,3
STEM,0.0482476141864387,1,3
GRG,0.1145274960472022,1,3
GFRD,-0.0284130284130285,0,4
FRAS,-0.1632513661202186,-1,5
HWDN,-0.0584595563912392,0,5
TW,-0.029522149989947,1,5
XAR,-0.1262062954399552,-1,6
HFG,-0.1065206221026711,-1,6
DNLM,-0.0807176913774169,-1,6
MER,-0.0662751293984017,-1,6
SVS,-0.0648222366868248,-1,6
TPK,-0.0646447673789898,-1,6
VSVS,-0.0572049013104373,-1,6
ICP,-0.0571935364532412,-1,6
SNWS,-0.0547671012903007,-1,6
CPI,-0.0482026452634299,0,6
HLMA,-0.0454531977347526,1,6
WPP,-0.0441643269833167,1,6
BYG,-0.0122973588456398,1,6
IWG,-0.0096552355302206,1,6
SDR,-0.009068622565922,1,6
CWK,-0.0022676361092193,1,6
CINE,0.0118284196937417,1,6
JDW,0.0721029485040836,1,6
ABDN,0.0780860241273524,1,6
ENT,0.1337133371214713,0,7
FXPO,-0.2031940980445581,-1,8
HOC,-0.2026945866238784,-1,8
TSCO,-0.2010606745308255,-1,8
ECOR,-0.2009197067474428,-1,8
PFD,-0.1965292023295843,-1,8
GKP,-0.1682851051360089,-1,8
TLW,-0.1356154497612542,1,8
CAR,-0.1232385588808893,1,8
CAD,-0.0978260869565217,1,8
SRP,-0.0896445131375579,1,8
CNE,-0.0571436221484418,1,8
FUTR,-0.0089588195437777,1,8
RCH,-0.1915902396973252,0,9
RMV,-0.1518994064769694,-1,10
TEP,-0.0759149566321133,-1,10
ESNT,-0.0741347839444817,-1,10
PAY,-0.0696132132584457,-1,10
PSN,-0.0180042592296745,1,10
PPH,-0.0077374909570493,1,10
AVON,-0.007188540333486,1,10
MONY,-0.0045665496519305,1,10
IMI,-0.109306398622811,-1,11
MTO,-0.0921741939950612,-1,11
SGE,-0.087603881375234,-1,11
RR,-0.0834965655068359,-1,11
INF,-0.0816890111730993,-1,11
SVT,-0.0458286827780859,-1,11
ULVR,-0.0424815242569639,-1,11
BAF,-0.0344846612226881,-1,11
KIE,-0.0323408664526309,-1,11
FSTA,-0.0290156457147779,-1,11
HSX,-0.0229705367774725,0,11
IGG,-0.0215060544904137,1,11
BATS,-0.0202705081388816,1,11
LMS,-0.0145834213974721,1,11
BCPT,-0.0141387119105447,1,11
VOD,-0.0137890852592738,1,11
ROR,-0.0076169316290761,1,11
COST,-0.0024256317304616,1,11
SSE,0.0026330012361455,1,11
DRX,0.0090372872097133,1,11
IMB,0.016697820552092,1,11
RWI,-0.117505719430641,-1,12
ESKN,-0.0954287206136479,-1,12
PAGE,-0.066652463207578,-1,12
RIO,-0.06530492328258,-1,12
OCN,-0.0628819112257053,-1,12
COA,-0.0476136449587777,0,12
ADM,-0.022824849159451,1,12
JEL,0.0075405984152245,1,12
BARC,0.0142806881953616,1,12
ASPL,0.0227272727272727,1,12
NWG,0.0230357993542353,1,12
LAS,-0.1340076660988074,-1,13
CURY,-0.0089570841722533,1,13
IPO,-0.0802771569919584,0,14
THAL,-0.260387811634349,0,15
MEGP,-0.0392431499568549,0,16
BOY,-0.0804757412982533,-1,17
BKG,-0.0733336714857054,-1,17
TYMN,-0.0718173883143332,-1,17
SMWH,-0.067767277626451,-1,17
PRU,-0.0634912160011499,-1,17
LGEN,-0.056386784664185,-1,17
CARR,-0.0433155308694723,-1,17
FSJ,-0.0356068041245724,-1,17
BWY,-0.0262495372084414,1,17
LSEG,-0.0183143289333462,1,17
BT-A,-0.0158204051834276,1,17
STJ,-0.0090031124588424,1,17
RTN,-0.0021707536445185,1,17
VANQ,0.0075250618929345,1,17
BEZ,0.0594215320828432,1,17
PRV,0.1097756122477482,1,17
STVG,-0.0399720321473183,0,18
ITV,-0.0704212408898439,-1,19
FOUR,-0.0259990967327484,0,19
GLE,0.1147782935929728,1,19
AHT,0.041708954191078,0,20
DLAR,-0.3438573072942359,-1,21
BBY,-0.2369200443271973,-1,21
ASHM,-0.1261281151296965,-1,21
WG,-0.0455994364874383,-1,21
CNA,-0.0346525615144259,-1,21
TTG,-0.0147130216897658,-1,21
PZC,-0.0137436117464282,-1,21
GNS,-0.0044060856571771,-1,21
APTD,-0.0040491329292825,-1,21
OCI,-0.0015616601536964,1,21
MARS,0.0,1,21
SHED,0.0,1,21
RCP,0.0033201709819457,1,21
SIHL,0.0095785440613027,1,21
QRT,0.0135042559386184,1,21
VID,0.0189163710063784,1,21
SREI,0.0716143886613043,1,21
PSON,0.1230781195414276,1,21
OCDO,-0.225137278828554,0,22
HAS,-0.1429589481079995,-1,23
SHI,-0.1398801486568164,-1,23
RTO,-0.0873323345065116,-1,23
JUP,-0.0602658064194286,-1,23
HFD,-0.0401556060932202,-1,23
III,-0.0365350863528262,-1,23
SGRO,-0.0334523096162363,-1,23
HSBK,-0.0102175346077785,-1,23
IAG,-0.0094273580062539,1,23
AV,-0.0038777541233343,1,23
PHNX,-0.0005125610094512,1,23
PCTN,0.0079967005017986,1,23
CAU,0.025921658986175,1,23
DSCV,0.0382984571687443,1,23
HLCL,0.0463386574631456,1,23
