Firm Name,Momentum_1,Long Short,Cluster Index
WEIR,-3.909812232737579,-1,1
NXT,-3.876210390205899,0,1
BKG,-3.73416687048358,1,1
MCB,-4.891846319849235,-1,2
SNR,-4.801025962845003,-1,2
GLE,-4.798620025157245,-1,2
RKT,-4.640836132556791,-1,2
BLND,-4.477339296987739,0,2
BWY,-4.449603358970001,1,2
CFYN,-4.4230856774261165,1,2
WTB,-4.320525686271214,1,2
SBRY,-4.257276101329885,1,2
COST,-6.486474393934063,-1,3
RNK,-6.049315182113168,-1,3
PDG,-5.958985033819039,0,3
RTN,-5.913426363410807,1,3
OXIG,-5.774618256188889,1,3
HEAD,-1.113149755482432,-1,4
CLI,-1.008520481481881,-1,4
BNZL,-0.9064628927190396,0,4
RCH,-0.7942725493629796,1,4
HCFT,-0.7352360873850907,1,4
DGE,5.031678680713423,-1,5
TRI,5.512257684398341,-1,5
NG,5.594017380837129,-1,5
WKP,6.139989061920322,-1,5
HAS,7.143473083854394,-1,5
III,7.198448049316926,-1,5
BT-A,7.41229665586621,1,5
RAT,7.83665845378744,1,5
EMG,7.873517972072933,1,5
PSON,8.031582511431912,1,5
MTO,8.171335884760088,1,5
SPT,8.856263417051418,1,5
RM,11.640207334058212,-1,6
SRP,12.388026116723443,-1,6
WIL,12.571012314015366,0,6
WPP,12.989575960908947,1,6
RCDO,14.153994492521784,1,6
BATS,-8.269217892580057,-1,7
CNE,-8.152617949264348,-1,7
HWG,-7.935616634632855,-1,7
COA,-7.659223363300416,-1,7
RE,-7.408853938107602,-1,7
ULVR,-7.319441677897944,-1,7
AVON,-6.8018495377434585,-1,7
TTG,-6.653355999819931,-1,7
IQAI,-6.025555782693945,-1,7
BBY,-5.983636920096705,-1,7
MACF,-5.773670536928518,-1,7
TATE,-5.772949844900922,-1,7
MKS,-5.670902278490918,-1,7
RGP,-5.553436544415634,-1,7
DLAR,-5.407537726040982,-1,7
ELM,-5.356907755393453,-1,7
GAW,-5.304684139015893,-1,7
CARR,-5.265645649680893,-1,7
SYNT,-5.210394529855367,-1,7
AEP,-5.159933458178386,-1,7
SPX,-5.118634049114546,-1,7
