Firm Name,Momentum_1,Long Short,Cluster Index
AIEA-L,-0.3120567375886525,1,1
AADV-L,-0.1428571428571429,1,1
CHG-L,-0.0940279542566708,1,1
BAB-L,-0.0733590733590734,1,1
RTN-L,-0.0644067796610169,1,1
KMR-L,-0.0615384615384615,1,1
REDD-L,-0.0574506283662477,1,1
GPEG-L,-0.0463709677419356,1,1
AAL-L,-0.0447761194029849,1,1
BNZL-L,-0.0412429378531074,1,1
MUL-L,-0.0384615384615384,1,1
AJIT-L,-0.027972027972028,0,1
IMI-L,-0.0273381294964029,0,1
BPFU_u-L,-0.0272952853598015,0,1
CRDA-L,-0.0257879656160455,0,1
NICL-L,-0.0256410256410256,0,1
GRG-L,-0.0242367012905255,0,1
BARC-L,-0.0180224062347782,0,1
BLPU-L,-0.0170454545454543,0,1
CMH-L,-0.0144927536231883,0,1
CLDN-L,-0.0103412616339193,0,1
HSBA-L,-0.0094813162297825,0,1
HAN-L,-0.0064102564102564,0,1
DCC-L,-0.0045537340619308,0,1
TPK-L,-0.0039123630672928,0,1
NWG-L,-0.0024271844660196,0,1
HVT-L,0.0,0,1
ALUG-L,0.0,0,1
CDFF-L,0.0,0,1
NTV-L,0.0,0,1
BMT-L,0.0,0,1
SMDS-L,0.001552795031056,0,1
BTW_pa-L,0.0018552875695732,0,1
RIICi-L,0.0043668122270741,0,1
ELL_p-L,0.004566210045662,0,1
NWB_pa-L,0.0053956834532373,0,1
CFX-L,0.0058823529411764,0,1
BAG-L,0.010041841004184,0,1
CFYN-L,0.0131004366812226,0,1
DGE-L,0.0135777325186694,0,1
BWS_p-L,0.0169491525423728,0,1
JMG-L,0.0190476190476189,0,1
HSX-L,0.0231316725978645,0,1
ELM-L,0.0234374999999997,0,1
FSV-L,0.0241935483870967,0,1
JD-L,0.0242424242424246,0,1
FGP-L,0.0250929368029739,0,1
CGT-L,0.0261011419249592,0,1
DIAL-L,0.0282608695652173,0,1
CGS-L,0.0296495956873314,0,1
CRPR-L,0.0393939393939393,0,1
AAS-L,0.0396475770925108,0,1
BATS-L,0.0432432432432432,0,1
ABF-L,0.0433628318584069,0,1
CLLN-L,0.0449826989619377,0,1
AURT-L,0.0491803278688525,0,1
SBRY-L,0.0527638190954775,0,1
ARBB-L,0.0535714285714286,0,1
CRU-L,0.0540540540540539,0,1
MKS-L,0.061467889908257,0,1
ABD-L,0.0616942909760591,0,1
RCH-L,0.0620300751879701,0,1
JDW-L,0.0631970260223049,-1,1
TITN-L,0.0661478599221789,-1,1
TW-L,0.0767656090071646,-1,1
HTG-L,0.0964467005076141,-1,1
TYMN-L,0.109375,-1,1
BKGH-L,0.1129234629861981,-1,1
KBT-L,0.1428571428571428,-1,1
HILS-L,0.15625,-1,1
CNN-L,0.1675126903553299,-1,1
GNC-L,0.1777251184834121,-1,1
TET-L,0.1822784810126583,-1,1
EUA-L,-0.1166666666666667,1,2
LPA-L,-0.0909090909090909,1,2
RS1R-L,-0.0579710144927536,1,2
PSON-L,-0.051001133358519,1,2
IPU-L,-0.0295454545454544,1,2
CPI-L,-0.0210420841683365,1,2
VIP-L,-0.0125223613595706,0,2
MRCH-L,-0.009090909090909,0,2
CTY-L,-0.0062578222778473,0,2
BARV-L,-0.0057142857142856,0,2
MVCT-L,0.0,0,2
MTU-L,0.0082644628099171,0,2
AEI-L,0.0089086859688196,0,2
BRSC-L,0.0092307692307691,0,2
ATST-L,0.0102272727272727,0,2
AZN-L,0.0180315552216379,0,2
JMI-L,0.0187353629976578,0,2
NAIT-L,0.022633744855967,0,2
KPCK-L,0.0310469314079422,0,2
BUT-L,0.0323193916349811,0,2
DIG-L,0.0324483775811208,0,2
JGGI-L,0.0362694300518133,0,2
AV-L,0.0396659707724424,0,2
ADIG-L,0.0417690417690417,0,2
EDIN-L,0.0483333333333333,0,2
UBGU-L,0.0493343774471417,-1,2
MNKS-L,0.0604229607250754,-1,2
BT-L,0.0765957446808511,-1,2
LLOY-L,0.0931490384615381,-1,2
CNA-L,0.1015625,-1,2
SHEL-L,0.1117319193984744,-1,2
