Firm Name,Momentum_1,Long Short,Cluster Index
ANEA-L,-0.054054054054054,0,1
HSBA-L,-0.1875658587987354,1,2
JMG-L,-0.1606118546845123,1,2
RNWH-L,-0.0980392156862745,1,2
ABF-L,-0.0321739130434781,0,2
DGE-L,-0.0308430431802604,0,2
BATS-L,-0.0280701754385965,0,2
CMH-L,-0.021505376344086,0,2
BUT-L,-0.0107671601615073,0,2
VIP-L,-0.006079027355623,0,2
EDIN-L,-0.0060301507537688,0,2
DIG-L,-0.004750593824228,0,2
HID-L,0.0,0,2
MRCH-L,0.0011792452830188,0,2
KPCK-L,0.0055205047318611,0,2
CTY-L,0.0064516129032257,0,2
SHEL-L,0.0067974629629139,0,2
NAIT-L,0.0107317073170731,0,2
ATST-L,0.0116472545757071,0,2
BAG-L,0.0140562248995983,0,2
LOOK-L,0.0173913043478262,0,2
JGGI-L,0.0194410692588093,0,2
MNKS-L,0.0200250312891112,0,2
NWB_pa-L,0.0210355987055015,0,2
ADIG-L,0.0239410681399632,0,2
NICL-L,0.0329411764705882,0,2
SBRY-L,0.0355648535564854,0,2
CGT-L,0.0409356725146199,0,2
ARBB-L,0.0533333333333336,0,2
UBGU-L,0.0540540540540541,0,2
HAN-L,0.0548446069469834,0,2
AEI-L,0.056555269922879,0,2
C1Y-L,0.0831024930747923,0,2
BTW_pa-L,0.0859232175502742,0,2
RIICi-L,0.123076923076923,-1,2
GBGP-L,0.3013698630136987,-1,2
TET-L,0.3359999999999998,-1,2
