Firm Name,Momentum_1,Long Short,Cluster Index
BVC-L,-0.0759493670886075,1,1
NCCG-L,-0.0327653997378766,1,1
NWMS-L,-0.0163934426229508,1,1
PGH-L,-0.0066666666666667,1,1
BATS-L,-0.0043696744592527,1,1
GNS-L,0.0007204610951008,1,1
ABF-L,0.0123711340206185,1,1
BSC-L,0.0138248847926267,1,1
DGE-L,0.0265082266910421,1,1
AAIF-L,0.0299295774647887,1,1
CGT-L,0.0313725490196075,0,1
JMG-L,0.0549019607843137,0,1
AJIT-L,0.0688679245283019,0,1
CPI-L,0.0726643598615917,0,1
AAS-L,0.0820895522388058,0,1
PSON-L,0.0920502092050208,-1,1
ATRAS-L,0.0923076923076922,-1,1
DPLM-L,0.1049723756906078,-1,1
JGGI-L,0.1111111111111111,-1,1
BERI-L,0.1147859922178988,-1,1
PCT-L,0.1201535508637239,-1,1
HBR-L,0.1221238938053097,-1,1
ABD-L,0.1314199395770392,-1,1
BAG-L,0.1524822695035459,-1,1
CSN-L,0.1779141104294477,-1,1
IPO-L,-0.2095238095238095,1,2
TAVI-L,-0.1911764705882351,1,2
OXB-L,-0.1534883720930232,1,2
BLPU-L,-0.0818363273453094,1,2
RIICi-L,-0.081395348837209,1,2
AGY-L,-0.0545454545454545,1,2
CNN-L,-0.0476190476190476,1,2
BOOT-L,-0.0463917525773195,1,2
GFRD-L,-0.0305810397553516,1,2
CEPS-L,-0.02,0,2
CFYN-L,-0.0168539325842697,0,2
RFGR-L,-0.0147058823529412,0,2
EMPR-L,-0.0129870129870129,0,2
ALUG-L,-0.0105820105820105,0,2
CAU-L,-0.0095693779904307,0,2
CHLV-L,0.0,0,2
HID-L,0.0,0,2
CTID-L,0.0,0,2
PHEG-L,0.0,0,2
MTL-L,0.0,0,2
PHWK-L,0.0,0,2
OSEC-L,0.0,0,2
FGP-L,0.0039270687237022,0,2
HRN-L,0.0177165354330708,0,2
AV-L,0.0279850746268657,0,2
DSCV-L,0.0402684563758388,0,2
ASTO-L,0.045045045045045,0,2
BWS_p-L,0.0550458715596329,0,2
AUIV-L,0.0606060606060605,0,2
SDV-L,0.0662251655629138,0,2
KIE-L,0.0732673267326731,0,2
GNC-L,0.0782442748091605,0,2
SNXS-L,0.0931034482758621,-1,2
BT-L,0.0995594713656387,-1,2
AJG-L,0.1026919242273183,-1,2
MAB-L,0.1034122562674095,-1,2
COA-L,0.1111111111111111,-1,2
MKS-L,0.1242442563482464,-1,2
BPFU_u-L,0.14375,-1,2
AIEA-L,0.1481481481481481,-1,2
BWY-L,0.1873571972581873,-1,2
KMR-L,-0.3624472172457017,1,3
BYOT-L,-0.2222222222222223,1,3
EOG-L,-0.1466666666666666,1,3
SREI-L,-0.0059523809523809,0,3
GFM-L,0.0,0,3
LOOK-L,0.061611374407583,0,3
TITN-L,0.0736842105263158,0,3
ALBA-L,0.0909090909090908,0,3
BLVN-L,0.1010752688172043,0,3
XTR-L,0.102272727272727,0,3
BARC-L,0.1611404773346145,0,3
INCH-L,0.1862509992006396,-1,3
JLP-L,0.2196969696969697,-1,3
TPK-L,0.255831452219714,-1,3
C1Y-L,-0.1176470588235294,1,4
PZC-L,-0.0645712333447214,1,4
ECORE-L,-0.0398406374501991,1,4
HYG-L,-0.0341880341880341,0,4
CHG-L,0.0310169997017595,0,4
BRLA-L,0.0334890965732088,0,4
CRDA-L,0.0359869138495092,0,4
BVIC-L,0.047184864372008,0,4
JD-L,0.0916666666666667,0,4
ANTO-L,0.1735807860262008,-1,4
BRK-L,0.2456597222222223,-1,4
CNE-L,0.2528901734104047,-1,4
AVG-L,-0.1447368421052631,1,5
RUA-L,-0.0687285223367699,1,5
LIO-L,-0.0648148148148147,1,5
SVE-L,-0.0434782608695651,1,5
BLUS-L,-0.032258064516129,0,5
HVT-L,0.0,0,5
RUR-L,0.0,0,5
BRSD-L,0.0,0,5
MAFL-L,0.0749999999999999,0,5
C3U-L,0.0941176470588236,0,5
CMH-L,0.1904761904761904,-1,5
BLTGB-L,0.1975308641975308,-1,5
LLOY-L,0.2765618782331875,-1,5
TV1-L,0.3157894736842104,-1,5
OOA-L,-0.0544217687074829,1,6
HDT-L,-0.0466321243523315,1,6
JPEL-L,-0.0417536534446763,1,6
KPCK-L,-0.0409683426443202,1,6
BEZG-L,-0.0390070921985815,1,6
TET-L,-0.0282186948853615,1,6
SBRY-L,-0.0265957446808511,1,6
MIG1-L,-0.0154639175257731,1,6
BAES-L,-0.0137203166226912,1,6
HSBA-L,-0.0096774193548387,1,6
BARV-L,-0.0063091482649841,1,6
HAN-L,-0.0033222591362126,0,6
BWNG-L,-0.0027510316368637,0,6
FTF-L,0.0,0,6
CDFF-L,0.0,0,6
BTW_pa-L,0.0,0,6
AATG-L,0.0,0,6
NTV-L,0.0,0,6
FKE-L,0.0,0,6
FTV-L,0.0,0,6
MAV4-L,0.0,0,6
BMT-L,0.0,0,6
CGS-L,0.0052631578947368,0,6
KLR-L,0.0096296296296296,0,6
BPM-L,0.0106951871657754,0,6
BRMD-L,0.0114613180515759,0,6
EDIN-L,0.0176470588235295,0,6
JMI-L,0.0197740112994351,0,6
CLDN-L,0.0218886804252655,0,6
BIPS-L,0.0253164556962024,0,6
MTU-L,0.0262582056892779,0,6
IPU-L,0.030995106035889,0,6
DCC-L,0.0355462624150546,0,6
CFX-L,0.0409556313993173,0,6
VIP-L,0.0420560747663552,0,6
MIGO-L,0.0426966292134831,0,6
ELL_p-L,0.0456621004566211,0,6
HAYS-L,0.0476190476190478,0,6
AEI-L,0.0478011472275334,0,6
BRIGB-L,0.049618320610687,0,6
SHEL-L,0.0496318516498499,0,6
CTY-L,0.0505976095617528,0,6
CNA-L,0.051980198019802,0,6
ADIG-L,0.0519823788546256,0,6
DIG-L,0.053475935828877,0,6
FSV-L,0.0556603773584905,0,6
NAIT-L,0.0570212765957447,0,6
