Firm Name,Momentum_1,Long Short,Cluster Index
BPFU_u-L,-0.04,1,1
BWS_p-L,-0.0300429184549356,1,1
BTW_pa-L,0.0057034220532319,1,1
ELL_p-L,0.0104821802935011,0,1
ABF-L,0.0411731528482799,-1,1
BAG-L,0.0545243619489559,-1,1
CFYN-L,0.0757575757575756,-1,1
UBGU-L,-0.0214723926380367,1,2
AEI-L,0.0251716247139588,0,2
NAIT-L,0.038560411311054,0,2
MNKS-L,0.0454545454545454,0,2
IPU-L,0.0549295774647888,0,2
JGGI-L,0.0684150513112884,0,2
MTU-L,0.0971223021582734,-1,2
TV1-L,-0.0952380952380952,1,3
ATRAS-L,0.0612244897959184,0,3
BRLA-L,0.0615384615384615,0,3
BUT-L,0.0732824427480915,0,3
BRSC-L,0.1013986013986014,0,3
RS1R-L,0.1048387096774192,0,3
BAB-L,0.1181102362204724,0,3
JMG-L,0.1419753086419752,-1,3
RFGR-L,-0.2696629213483145,1,4
CRGT-L,-0.1999999999999999,1,4
CTID-L,-0.1343283582089552,1,4
ELM-L,-0.1012658227848101,0,4
OVB-L,-0.0952380952380952,0,4
CCP-L,-0.0857142857142856,0,4
ACRM-L,-0.081081081081081,0,4
GBGP-L,-0.0606060606060605,0,4
BT-L,-0.0172413793103449,0,4
BZT-L,-0.015151515151515,0,4
HID-L,0.0,0,4
NWMS-L,0.0,0,4
HAYS-L,0.1200000000000001,0,4
LPA-L,0.1269841269841269,-1,4
CNSP-L,0.162162162162162,-1,4
NETC-L,0.5454545454545454,-1,4
EUA-L,-0.2972972972972972,1,5
HDT-L,-0.247787610619469,1,5
HILS-L,-0.2213114754098361,1,5
FGP-L,-0.2155172413793104,1,5
TW-L,-0.1741071428571428,1,5
C1Y-L,-0.1544117647058823,1,5
CEPS-L,-0.1481481481481481,0,5
SNXS-L,-0.1142857142857143,0,5
BKGH-L,-0.1027397260273974,0,5
RNWH-L,-0.0925925925925925,0,5
JET2-L,-0.0920436817472698,0,5
LSC-L,-0.091743119266055,0,5
BIOM-L,-0.0909090909090909,0,5
BOOT-L,-0.0851063829787234,0,5
ARBB-L,-0.0671140939597315,0,5
BOY-L,-0.0616621983914209,0,5
OXB-L,-0.0566037735849054,0,5
AURT-L,-0.0478260869565216,0,5
ECORE-L,-0.0465116279069767,0,5
BNZL-L,-0.0443458980044345,0,5
TITN-L,-0.0411764705882352,0,5
MUL-L,-0.0399999999999999,0,5
GPEG-L,-0.0350877192982457,0,5
BATS-L,-0.0318887980376124,0,5
CHG-L,-0.0300546448087432,0,5
CFX-L,-0.0291970802919707,0,5
ALUG-L,-0.0275229357798164,0,5
BWY-L,-0.0231660231660231,0,5
CRU-L,-0.0142857142857142,0,5
FSV-L,-0.0063559322033898,0,5
BWNG-L,-0.0042643923240934,0,5
GLEG-L,-0.0025575447570332,0,5
HVT-L,0.0,0,5
HWC-L,0.0,0,5
TRFT-L,0.0,0,5
RIICi-L,0.0,0,5
CMH-L,0.0,0,5
DGE-L,0.0,0,5
N4P-L,0.0,0,5
BMT-L,0.0,0,5
BRSD-L,0.0,0,5
CRPR-L,0.0036101083032491,0,5
CGS-L,0.0075471698113207,0,5
TET-L,0.008108108108108,0,5
ANTO-L,0.008158508158508,0,5
AJG-L,0.0086956521739129,0,5
CDFF-L,0.0102564102564102,0,5
BAES-L,0.0135542168674698,0,5
LOOK-L,0.0138248847926265,0,5
GFRD-L,0.0176991150442473,0,5
DPLM-L,0.019163763066202,0,5
AZN-L,0.0211878009630819,0,5
CNA-L,0.0256410256410255,0,5
VIP-L,0.0262172284644195,0,5
PAGPA-L,0.0283687943262411,0,5
