Firm Name,Momentum_1,Long Short
CTID-L,-0.3406593406593406,1
OXB-L,-0.3370165745856354,1
CEPS-L,-0.3214285714285714,1
BZT-L,-0.2941176470588234,1
NETC-L,-0.2380952380952381,1
CGNR-L,-0.2380952380952381,1
AIEA-L,-0.2337662337662337,1
CMH-L,-0.2300194931773879,1
CMX-L,-0.2187499999999999,1
OVB-L,-0.2121212121212121,1
EUA-L,-0.1999999999999999,0
CCP-L,-0.1873343926500812,0
HWDN-L,-0.1854636591478696,0
GFM-L,-0.1798245614035087,0
C1Y-L,-0.1666666666666666,0
N4P-L,-0.1666666666666666,0
TET-L,-0.1577981651376145,0
AFN-L,-0.1538461538461539,0
IQE-L,-0.1538461538461538,0
TYMN-L,-0.1458333333333333,0
CML-L,-0.1436699857752489,0
PRIMP-L,-0.1428571428571429,0
CCC-L,-0.1363636363636362,0
ALUG-L,-0.1225071225071224,0
BPFU_u-L,-0.1183144246353322,0
BIOM-L,-0.1176470588235291,0
CNE-L,-0.1171954964176048,0
KMR-L,-0.1075949367088607,0
REDD-L,-0.1075268817204302,0
MUL-L,-0.0987261146496815,0
GNC-L,-0.098314606741573,0
HTG-L,-0.0962732919254658,0
JMG-L,-0.0947368421052632,0
CFYN-L,-0.0929487179487179,0
CGS-L,-0.0909090909090909,0
PHARP-L,-0.086184210526316,0
ATRAS-L,-0.0860215053763441,0
TRFT-L,-0.0851063829787234,0
CRGT-L,-0.0833333333333333,0
AEGR-L,-0.0789473684210525,0
FTV-L,-0.0775862068965518,0
HRI-L,-0.0762886597938143,0
SMDS-L,-0.0746753246753246,0
BRSC-L,-0.0737937559129612,0
NFGN-L,-0.072,0
SHEL-L,-0.0719999999999999,0
AURT-L,-0.0716112531969309,0
GBGP-L,-0.0699300699300699,0
RNWH-L,-0.0694444444444444,0
GHT-L,-0.0674846625766871,0
RS1R-L,-0.0636550308008213,0
GNS-L,-0.0622462787550743,0
DPLM-L,-0.0619596541786743,0
DCC-L,-0.0604229607250752,0
FSV-L,-0.060234541577825,0
CHLV-L,-0.0597014925373133,0
DPH-L,-0.058027079303675,0
RUA-L,-0.057142857142857,0
BT-L,-0.0570469798657717,0
ABD-L,-0.0562429696287963,0
DSCV-L,-0.055045871559633,0
IPU-L,-0.0540925266903914,0
BVC-L,-0.0535714285714286,0
KPCK-L,-0.0531750129065563,0
DIAL-L,-0.0531340060437891,0
JMI-L,-0.0523415977961433,0
EDIN-L,-0.0514511873350923,0
MRCH-L,-0.0502994011976047,0
ADIG-L,-0.0474308300395256,0
HAYS-L,-0.046938775510204,0
AVG-L,-0.0463258785942491,0
AZN-L,-0.045933734939759,0
MNKS-L,-0.0450819672131147,0
GPEG-L,-0.043726235741445,0
CFX-L,-0.0425531914893616,0
ABF-L,-0.0419452887537993,0
ANTO-L,-0.0416124837451236,0
PSON-L,-0.041446872645064,0
VIP-L,-0.0402010050251255,0
BARC-L,-0.0400682011935209,0
JET2-L,-0.0383211678832117,0
PCT-L,-0.0382775119617224,0
ECORE-L,-0.038022813688213,0
IBT-L,-0.037037037037037,0
IOMG-L,-0.0358744394618834,0
ACRM-L,-0.0357142857142857,0
AEI-L,-0.0350877192982455,0
BUT-L,-0.0349002849002848,0
RIICi-L,-0.0345911949685533,0
CDFF-L,-0.0340314136125654,0
INCH-L,-0.0336976320582877,0
CGT-L,-0.0336134453781514,0
HSBA-L,-0.033044420368364,0
KLR-L,-0.0328282828282828,0
ATST-L,-0.0326191237607931,0
BRLA-L,-0.0325027085590469,0
KBT-L,-0.032258064516129,0
HBR-L,-0.0316622691292876,0
CRPR-L,-0.029673590504451,0
CTY-L,-0.0288957688338493,0
CNA-L,-0.0283975659229208,0
SDV-L,-0.0283783783783786,0
NWG-L,-0.0271772699197035,0
AJIT-L,-0.0258397932816537,0
CRU-L,-0.025,0
DIG-L,-0.0246609124537607,0
BAES-L,-0.0232389251997094,0
PAGPA-L,-0.0225563909774435,0
AAS-L,-0.0223048327137542,0
GHH-L,-0.0216216216216216,0
GFTU_u-L,-0.0211640211640212,0
FKE-L,-0.02,0
PZC-L,-0.0195341848234409,0
BOOT-L,-0.0194092827004219,0
PHEG-L,-0.0188679245283018,0
CCL-L,-0.0188235294117646,0
NAIT-L,-0.0174311926605504,0
LOOK-L,-0.0169789227166274,0
RCH-L,-0.0165837479270315,0
TW-L,-0.0153609831029188,0
IMI-L,-0.0144508670520231,0
SBRY-L,-0.0142348754448398,0
JGGI-L,-0.0129151291512915,0
COA-L,-0.0121951219512195,0
LLOY-L,-0.0111940298507461,0
AATG-L,-0.0098522167487685,0
MTU-L,-0.008363201911589,0
HAN-L,-0.0082831325301204,0
FGP-L,-0.0075987841945288,0
BGFD-L,-0.0073917634635691,0
BAG-L,-0.0063357972544879,0
GRG-L,-0.0063091482649844,0
ANEA-L,-0.0047961630695443,0
BWY-L,-0.0045172219085262,0
TV1-L,-0.0040983606557376,0
AJG-L,-0.0039525691699605,0
DLN-L,-0.0022813688212928,0
BWS_p-L,0.0,0
MVCT-L,0.0,0
FTF-L,0.0,0
CNN-L,0.0,0
HRN-L,0.0,0
BSC-L,0.0,0
BTW_pa-L,0.0,0
TOME-L,0.0,0
BARV-L,0.0,0
CNSP-L,0.0,0
HWC-L,0.0,0
LPA-L,0.0,0
NTV-L,0.0,0
RFGR-L,0.0,0
CRPL-L,0.0,0
BRMD-L,0.0,0
LSC-L,0.0,0
NWMS-L,0.0,0
BNZL-L,0.0,0
AADV-L,0.0,0
CLDN-L,0.0006127450980391,0
UBGU-L,0.0026737967914436,0
DGE-L,0.0030102347983143,0
CPI-L,0.0071801566579634,0
ELL_p-L,0.007462686567164,0
AAL-L,0.0078031212484994,0
MIG1-L,0.0092592592592593,0
TPK-L,0.0099220411055986,0
HDT-L,0.0115606936416183,0
DLAR-L,0.0116731517509727,0
PGH-L,0.0146443514644352,0
HILS-L,0.0172413793103447,0
BKGH-L,0.0198976691301877,0
TPT-L,0.0210210210210211,0
NWB_pa-L,0.0225806451612902,0
CLLN-L,0.0232342007434944,0
BAB-L,0.0237099023709901,0
FJV-L,0.0238726790450929,0
SNXS-L,0.024742268041237,0
BOY-L,0.025900900900901,0
BLPU-L,0.0279034690799397,0
BATS-L,0.0292642140468226,0
KIE-L,0.0306859205776173,0
RTN-L,0.0320000000000002,0
CKT-L,0.0338983050847456,0
TITN-L,0.0344827586206897,0
ARBB-L,0.0346820809248553,0
BMT-L,0.0349344978165939,0
JDW-L,0.0380622837370241,0
NICL-L,0.039506172839506,0
HSX-L,0.0396039603960394,0
C3U-L,0.042654028436019,0
CHG-L,0.0433070866141731,0
NWF-L,0.0493827160493827,0
CRDA-L,0.0508083140877593,0
BWNG-L,0.0526315789473685,0
GLEG-L,0.0573248407643312,0
HVT-L,0.0608695652173914,0
BRSD-L,0.064516129032258,0
AV-L,0.0743405275779376,0
GFRD-L,0.0813559322033896,-1
LIO-L,0.0849909584086798,-1
MKS-L,0.0874999999999999,-1
SVE-L,0.0930232558139534,-1
JD-L,0.1096196868008949,-1
ELM-L,0.1415929203539823,-1
PHWK-L,0.1666666666666667,-1
BIRD-L,0.2564102564102561,-1
HID-L,0.8571428571428572,-1
QBTQ-L,1.375,-1
