Firm Name,Momentum_1,Long Short,Cluster Index
GHT.L,-0.3359173126614987,1,1
SVE.L,-0.1860465116279069,1,1
CIU.L^J17,-0.1806853582554517,1,1
IWG.L,-0.1697247706422018,1,1
FOOI.L^C15,-0.1666666342057592,1,1
CYC.L^E07,-0.1650485436893204,1,1
RGO.L,-0.15,1,1
MEDIC.L^K13,-0.125,1,1
JKX.L^A22,-0.0799999999999999,0,1
ECORE.L,-0.0757946210268949,0,1
RTD.L^L06,-0.0743801652892562,0,1
VELA.L,-0.064516129032258,0,1
PDF1.L^G08,-0.0633012820512819,0,1
REAH.L,-0.0534979423868311,0,1
SGI.L^I22,-0.0520231213872832,0,1
IDLS.L^F11,-0.0503018108651911,0,1
EVTL.L^I12,-0.0434782864300861,0,1
PALC.L^K12,-0.042857149162414,0,1
GFM.L,-0.040983606557377,0,1
NUM.L,-0.0402298850574712,0,1
NRG.L^L08,-0.0394736842105263,0,1
HYNS.L^D20,-0.0387096774193548,0,1
EIDE.L^D09,-0.0329218106447509,0,1
NBT.L^K11,-0.0326530612244897,0,1
LCI.L^L06,-0.0276679841897232,0,1
AD.L^K09,-0.0268456375838925,0,1
AVM.L^G20,-0.0230263157894736,0,1
ANEA.L,-0.016,0,1
ECFo.L^H05,-0.0153061224489795,0,1
MSN.L^L07,-0.0079491255961844,0,1
BLEYb.L^D06,0.0,0,1
DQ5.L^A21,0.0,0,1
EDG.L^G05,0.0,0,1
OCN.L,0.0,0,1
DOM.L,0.0073394495412844,0,1
CABC.L^L19,0.0129870129870128,0,1
0054q.L^J08,0.0158311345646438,0,1
CKN.L,0.0191304347826086,0,1
BFS.L^I05,0.0212765957446807,0,1
BFSi.L^I05,0.0212765957446807,0,1
DGO.L^I15,0.0222084962182185,0,1
BBC.L^I07,0.0235426008968608,0,1
FLTRF.L,0.0303030303030302,0,1
SIG.L^C16,0.0321782178217822,0,1
XAR.L,0.0338983050847458,0,1
HYVE.L^E23,0.0402144772117962,0,1
ROK.L^K10,0.0417061611374407,0,1
WDNY.L^H09,0.0443349753694581,0,1
PLR.L^L05,0.0453296703296703,0,1
XPT.L^D10,0.0471976401179941,0,1
CARRC.L,0.0495238095238093,0,1
SBT.L^C13,0.0561403508771929,0,1
SVS.L,0.0589622641509435,0,1
TLT.L^B10,0.0591133004926107,0,1
MCI.L^K10,0.0626780626780625,0,1
EBQ.L,0.0627062706270626,0,1
HRN.L,0.063291139240506,0,1
FQM.L^E16,0.0660919540229885,0,1
EWD.L^E07,0.0663507109004739,0,1
GDWN.L,0.0724637681159421,0,1
ASA.L^K17,0.0833333333333332,0,1
CNE.L,0.0923209663503019,0,1
BISI.L,0.0959232613908871,0,1
FRO.L^K15,0.1060948083227053,0,1
MPH.L^K08,0.1097560975609757,0,1
MBY.L^G06,0.1551499348109517,-1,1
PUMGq.L^K07,0.166251453246969,-1,1
CFN.L^B07,0.1807580174927114,-1,1
AYM.L,0.2444444444444444,-1,1
BIOM.L,0.2650602409638554,-1,1
PET.L,0.2727272727272727,-1,1
JCR.L^K11,0.3050847457627119,-1,1
TRDS.L^C08,0.6528103044496487,-1,1
SHM.L^K05,-0.5416666666666667,1,2
PMH.L^G05,-0.4583333333333333,1,2
FNS.L^G08,-0.4530120481927711,1,2
MPLS.L^H10,-0.4333333332121194,1,2
BCTL.L^L09,-0.4264705882352941,1,2
XENX.L^A14,-0.4166666666666666,1,2
IWP.L^C06,-0.35,1,2
PNMC.L^J07,-0.35,1,2
SPD.L^L05,-0.35,1,2
WETI.L^I18,-0.3333335098090965,1,2
AEGR.L,-0.3333333333333333,1,2
GTG.L^K06,-0.3211991434689507,1,2
SKHG.L^E13,-0.3199999999999999,1,2
PLW.L^E10,-0.3090909090909091,1,2
LGHT.L^F19,-0.3,1,2
N4P.L,-0.3,1,2
PEIi.L^E06,-0.3,1,2
SER.L^K15,-0.3,1,2
8PG.L^E19,-0.2999999999999999,1,2
LRG.L^I07,-0.2991452991452992,1,2
IOVI.L^G11,-0.2941176470588235,1,2
TIG.L^K15,-0.2812500029760478,1,2
CAX.L^C07,-0.28,1,2
PTTx.L^L07,-0.2777777777777778,1,2
ELH.L^J14,-0.2769230769230769,1,2
BOSB.L^C18,-0.2721088435374149,1,2
NETC.L,-0.2673267326732673,1,2
APCL.L^K19,-0.2592592592592593,1,2
AAT.L^K12,-0.2541436294818955,1,2
PBE.L^H06,-0.2500000000000001,1,2
PIRI.L,-0.25,1,2
EUA.L,-0.2452830188679244,1,2
MEG.L^J14,-0.2397260273972602,1,2
6773q.L^J08,-0.234061135371179,1,2
PRC.L^L05,-0.2272727272727273,1,2
LTW.L^B10,-0.2222222222222222,1,2
SUNU.L,-0.2222222222222222,1,2
MEGR.L^E08,-0.2209302325581394,1,2
JRVS.L^J14,-0.2195121948866765,1,2
PETA.L,-0.2166666666666667,1,2
PTG.L^B07,-0.2127659574468084,1,2
FIH.L,-0.2099447513812155,1,2
COOL.L^A12,-0.2083333333333333,1,2
SLN.L^K21,-0.2075471698273373,1,2
AUALG.L^H12,-0.2021276595744681,1,2
DCD.L^F22,-0.1999999999999999,1,2
YGH.L^H12,-0.1999999999999999,1,2
NWMS.L,-0.1973684210526315,1,2
PRER.L^D10,-0.1956556333545512,1,2
TETH.L^K17,-0.1948051948051947,1,2
FTG.L^C10,-0.1944444444444444,1,2
DSN.L^K15,-0.1914892720688513,1,2
BRTR.L^L06,-0.1896551724137931,1,2
HOH.L^L06,-0.1891891891891891,1,2
DGG.L^K07,-0.1880108991825613,1,2
ROD.L,-0.1860465116279072,1,2
CDLY.L^J06,-0.1818181818181817,1,2
7DIG.L^C23,-0.1779661016949152,1,2
CBMR.L^C09,-0.1764705882352941,1,2
ZOO.L,-0.1739130434782608,1,2
EMP.L^L06,-0.1733333333333333,1,2
AVS.L^L16,-0.1673640154174236,1,2
TILST.L^J21,-0.1666666666666667,1,2
DRSD.L^I16,-0.1612903225806451,1,2
WHT.L^K06,-0.160919540229885,1,2
CHCH.L,-0.1599045346062052,1,2
VALX.L,-0.1578947368421053,1,2
SARSS.L^B16,-0.1573033707865169,1,2
BSDB.L^F21,-0.1514285714285714,1,2
ARC.L,-0.15,1,2
LPA.L,-0.15,1,2
WKT.L^E09,-0.1481481481481481,1,2
PDL.L,-0.1474358974358974,1,2
IMED.L^E11,-0.1456310679611651,1,2
NMI.L^E07,-0.1428571428571429,1,2
PHWK.L,-0.1428571428571429,1,2
RGP.L,-0.1428571428571429,1,2
DAGR.L^K07,-0.1408450704225352,1,2
MPAC.L,-0.1384615384615384,1,2
SCPA.L^D21,-0.1379310344827586,1,2
SRTS.L^J07,-0.1379310344827586,1,2
INSG.L,-0.1363636363636363,1,2
WHOG.L^E08,-0.1351351351351351,1,2
TTG.L,-0.1342894393741851,1,2
BAE.L^D15,-0.1312499999999999,1,2
ITO.L^B08,-0.1304347826086956,1,2
TAN.L,-0.1294117647058822,1,2
GMX.L^J12,-0.1290322580645161,1,2
CSCP.L^L11,-0.1287878787878787,1,2
WNDR.L^C07,-0.1282051282051282,1,2
ENDN.L^H08,-0.127659574468085,1,2
SAGE.L^H08,-0.127659574468085,1,2
SAGS.L,-0.127659574468085,1,2
LONR.L^G13,-0.1269841269841269,1,2
SISGM.L^H21,-0.125,1,2
IXI.L,-0.1231343283582089,1,2
ESY.L^B06,-0.1228070175438597,1,2
GLA.L^B08,-0.1219512195121951,1,2
600688q.L^J08,-0.1206896551724138,1,2
STKC.L^F10,-0.12,1,2
NAQ.L^F09,-0.1195652173913043,1,2
VIAN.L^A09,-0.1190722186063399,1,2
DWN.L^I11,-0.1189024390243902,1,2
XPG.L^J08,-0.1186440677966101,1,2
QYM.L^H13,-0.1184971098265895,1,2
MIL.L^L06,-0.1180124223602484,1,2
AET.L,-0.1176470588235293,1,2
RNO.L,-0.1165048543689319,1,2
SPGR.L^J09,-0.1161616161616161,1,2
AON.L^G05,-0.1149425287356321,1,2
IDOX.L,-0.1136363636363636,1,2
FSTP.L,-0.1132075471698113,1,2
HRR.L^L06,-0.1132075471698113,1,2
UTF.L^H06,-0.1116504854368931,1,2
WLG.L^J16,-0.1114398434744694,1,2
BBB.L^J14,-0.1111111111111111,1,2
PAFR.L,-0.111111111111111,1,2
CTID.L,-0.1071428571428571,1,2
ILI.L^L12,-0.1063829787234043,1,2
GHH.L,-0.1058495821727019,1,2
PRF.L^B06,-0.1048951048951049,1,2
TND.L,-0.1046511627906977,1,2
EHR.L^L14,-0.1039999999999999,1,2
PTS.L^B12,-0.1034482758620689,1,2
SVRP.L^B17,-0.1034482758620689,1,2
TYM.L,-0.1034482758620689,1,2
SOG.L^K19,-0.102803738317757,1,2
JNYJ.L^L16,-0.1023890784982934,1,2
RTCR.L,-0.1023255813953488,1,2
PNE.L^I10,-0.1015625,1,2
NFI.L^H05,-0.0999999999999999,1,2
KBT.L,-0.0993788819875777,1,2
EMEN.L^J09,-0.0987654320987654,1,2
RWA.L,-0.0983606557377049,1,2
WBN.L^L13,-0.097560975609756,1,2
