Firm Name,Momentum_1,Long Short,Cluster Index
ARTA.L^J18,-0.6802721088435374,0,0
CYC.L^E07,-0.2727272727272727,0,0
DBOX.L,-0.1888888888888888,0,0
CPSS.L^C07,-0.1818181818181817,0,0
PLTT.L^L08,-0.1707317073170732,0,0
CHR.L^E08,-0.1666666666666666,0,0
FGN.L^G10,-0.1619047619047618,0,0
SORA.L,-0.1588785046728972,0,0
YGEN.L,-0.1499999999999999,0,0
QBTQ.L,-0.1481481481481481,0,0
DAGR.L^K07,-0.1460674157303371,0,0
FRO.L^K15,-0.1392405063291139,0,0
PLW.L^E10,-0.1388888888888888,0,0
CNE.L,-0.1254253767622752,0,0
TQN.L^I08,-0.1136363636363636,0,0
AVM.L^G20,-0.1077981651376146,0,0
PHWK.L,-0.1063829787234043,0,0
IGP.L,-0.1052631578947368,0,0
INFT.L^D18,-0.1039999822091481,0,0
MSTL.L,-0.1024844720496894,0,0
HBR.L,-0.0889052167523878,0,0
LONR.L^G13,-0.0887096774193548,0,0
CABC.L^L19,-0.0881057268722468,0,0
CFM.L^L09,-0.0853658536585365,0,0
JCR.L^K11,-0.0747663551401869,0,0
ISD.L^E08,-0.072463768115942,0,0
FSTP.L,-0.0714285714285714,0,0
IAF.L^L08,-0.0714285714285714,0,0
MEDIC.L^K13,-0.0714285714285714,0,0
HMF.L^F10,-0.0697674418604651,0,0
HAMP.L^K12,-0.0683229801975474,0,0
ACSO.L,-0.0677966101694914,0,0
CFE.L^L09,-0.0661157024793388,0,0
LATC.L^J15,-0.0639278557114229,0,0
AFFA.L^L13,-0.0632911392405063,0,0
UFO.L,-0.0606060606060605,0,0
TYM.L,-0.06,0,0
ZIN.L,-0.0598290598290598,0,0
ZOLq.L^B22,-0.0594594594594594,0,0
HIF.L^L09,-0.0571428571428571,0,0
0041q.L^J08,-0.0568421052631579,0,0
EKF.L,-0.0561797752808987,0,0
HZM.L,-0.0545454545454545,0,0
MNGS.L^L12,-0.0517482517482517,0,0
XPP.L,-0.0473407364114553,0,0
FDI.L^C20,-0.045454545624102,0,0
HML.L^J10,-0.0454545454545454,0,0
MPH.L^K08,-0.0420353982300885,0,0
MEGPM.L,-0.0401069518716576,0,0
WETI.L^I18,-0.033707860957717,0,0
ATKW.L^G17,-0.0319905213270141,0,0
AQP.L^D16,-0.0314410474248333,0,0
AMNX.L,-0.0283018867924526,0,0
ITAM.L^L10,-0.0278745644599303,0,0
MUL.L,-0.0272952853598015,0,0
JKX.L^A22,-0.0264026402640263,0,0
DGO.L^I15,-0.0253521126760563,0,0
DEO.L^H12,-0.025,0,0
ACU.L^F15,-0.024390243902439,0,0
PNIG.L,-0.024390243902439,0,0
JDR.L^J09,-0.0238095238095238,0,0
EAAS.L,-0.0222222222222222,0,0
FIF.L,-0.0218579234972677,0,0
TLW.L,-0.0215119852489243,0,0
HDT.L,-0.0208333333333333,0,0
IRONI.L,-0.0204081632653061,0,0
PAACi.L^H07,-0.0204081632653061,0,0
SYR.L^K15,-0.0191176470588235,0,0
ACEX.L^K10,-0.019108280254777,0,0
MMG.L^L09,-0.0187265917602996,0,0
LMI.L^F19,-0.0185849364027653,0,0
SFR.L,-0.0185053380782918,0,0
AMBR.L^D18,-0.0182648401826484,0,0
BKIRx.L,-0.0176600441501103,0,0
HID.L,-0.0171428571428571,0,0
FCP.L^K08,-0.0162601626016259,0,0
IDLS.L^F11,-0.014336917562724,0,0
OPS.L^G09,-0.0112359577225044,0,0
TELF.L^J19,-0.0107692307692307,0,0
STY.L^C18,-0.0092838196286471,0,0
EBQ.L,-0.0083857442348008,0,0
BAB.L,-0.0061996280223186,0,0
AVS.L^L16,-0.0059347180677203,0,0
EMEN.L^J09,-0.0049019607843137,0,0
MGAMM.L,-0.0048780487804878,0,0
JET2.L,-0.0040160642570281,0,0
ENO.L^J08,-0.00375,0,0
POG.L^G22,-0.0009881429231801,0,0
CFN.L^B07,-0.0009363295880149,0,0
7211q.L^J08,0.0,0,0
9984q.L^J08,0.0,0,0
ABGXq.L^K07,0.0,0,0
AEO.L,0.0,0,0
AYM.L,0.0,0,0
