Firm Name,Momentum_1,Long Short,Cluster Index
ARS.L^A00,-0.4153846153846153,0,0
RIVA.L^L99,-0.3969465648854962,0,0
MNGS.L^L12,-0.3170731707317072,0,0
FRO.L^K15,-0.304347825747792,0,0
EBF.L^H02,-0.276595744680851,0,0
SPGR.L^J09,-0.2186788154897494,0,0
PTY.L,-0.2173160173160174,0,0
TSP.L^H09,-0.2018348623853211,0,0
GKLL.L^J14,-0.1979949874686717,0,0
HEAD.L,-0.1918367346938776,0,0
TTNM.L^A12,-0.1841269841269841,0,0
GDWN.L,-0.1768707482993197,0,0
ADC.L^H00,-0.1701244813278007,0,0
GLR.L^L99,-0.1666666666666666,0,0
CTB.L^E01,-0.1642857142857142,0,0
CML.L,-0.1624203821656051,0,0
BOG.L^B03,-0.16,0,0
7270q.L^J08,-0.1592592592592592,0,0
WKS.L^L00,-0.1580246913580246,0,0
TGP.L^J00,-0.1527777777777778,0,0
JLG.L^D03,-0.1515151515151515,0,0
JDR.L^J09,-0.1505376344086021,0,0
TTL.L^I05,-0.1481481481481481,0,0
ENDN.L^H08,-0.146341463414634,0,0
ALV.L^I04,-0.1451612903225806,0,0
FIFE.L^H99,-0.1324503311258278,0,0
NORP.L^H08,-0.1304347826086956,0,0
ESR.L^A17,-0.1290322580645161,0,0
EMEN.L^J09,-0.1250000002075669,0,0
TRN.L^E05,-0.1176470588235294,0,0
TED.L^D09,-0.1142857107871709,0,0
CED.L^C02,-0.1124999948721181,0,0
AYM.L,-0.1111111111111111,0,0
MTLB.L^K06,-0.1075050709939148,0,0
ELCO.L,-0.1052631578947368,0,0
JCKS.L^C06,-0.1037037037037037,0,0
BBC.L^I07,-0.1034482758620689,0,0
GRG.L,-0.1032863849765262,0,0
SCK.L^E02,-0.0963855421686746,0,0
OMG.L^I00,-0.094488188976378,0,0
QSP.L^H02,-0.09375,0,0
REGI.L^F09,-0.0896946584226133,0,0
ASSD.L^J99,-0.0895953757225433,0,0
CULV.L^E09,-0.0895522388059703,0,0
RAM.L^B14,-0.0869565217391304,0,0
TOW.L^I01,-0.0776699191820828,0,0
GWG.L^E05,-0.0756501182033096,0,0
IMG.L^K17,-0.0727272727272727,0,0
CSRT.L^C20,-0.0726256983240223,0,0
MWLM.L^C06,-0.0699999999999999,0,0
AXN.L^J14,-0.069605566312124,0,0
INVM.L,-0.0666666666666666,0,0
FCHK.L,-0.0609756097560976,0,0
LPX.L^K99,-0.06,0,0
BUO.L^C01,-0.0588235294117647,0,0
KWL.L^G12,-0.0551378446115288,0,0
SBRY.L,-0.0536971830985915,0,0
LCT.L^E11,-0.0534918276374443,0,0
BTA.L^F00,-0.0533333333333333,0,0
SSE.L,-0.0506523407521104,0,0
C3U.L,-0.05,0,0
HST.L^G04,-0.0476190476190476,0,0
BBB.L^J14,-0.0470588235294118,0,0
MCG.L,-0.0454760776882994,0,0
COEG.L^I10,-0.0412371134020618,0,0
RFGR.L,-0.0384615384615384,0,0
AVS.L^L16,-0.0376850550559607,0,0
JQV.L^B12,-0.037037037037037,0,0
JLEC.L,-0.0338983050847457,0,0
IEP.L^G00,-0.03,0,0
ANSY.L,-0.0294117647058822,0,0
SWJ.L^J15,-0.025,0,0
MOSB.L^F20,-0.024390243902439,0,0
GB0097626.L^C07,-0.0238095238095238,0,0
RGE.L^C03,-0.0232558139534884,0,0
BLKA.L^B10,-0.0227272727272727,0,0
PRU.L,-0.0209876543209879,0,0
MEGPM.L,-0.0201005025125632,0,0
POHJfq.L^A99,-0.0174563372126282,0,0
FSJ.L,-0.0169491525423728,0,0
MFW.L^J14,-0.0144404331593148,0,0
PECO.L^E16,-0.0143540669856458,0,0
WSPG.L^H12,-0.0126050374150441,0,0
VCI.L^A99,-0.0125523012552301,0,0
RBN.L^L98,-0.010752688172043,0,0
HWE.L^C99,-0.0088105726872246,0,0
CTO.L,-0.0052356020942408,0,0
WILC.L^K98,-0.0049875311720698,0,0
BION.L^A08,-0.0036900370924348,0,0
AGFBtq.L^F99,0.0,0,0
AVI.L^L01,0.0,0,0
BIOM.L,0.0,0,0
BONAq.L^F99,0.0,0,0
CBL.L^B99,0.0,0,0
CNO.L^H01,0.0,0,0
CPI.L,0.0,0,0
ELCBtq.L^F99,0.0,0,0
FIL.L^L98,0.0,0,0
GHE.L,0.0,0,0
HVT.L,0.0,0,0
HYVE.L^E23,0.0,0,0
IKK.L^K17,0.0,0,0
KBKBtq.L^F99,0.0,0,0
NMCN.L^J21,0.0,0,0
OND.L^L98,0.0,0,0
ORKOaq.L^A99,0.0,0,0
QMOT.L^J04,0.0,0,0
RDS.L^K98,0.0,0,0
RGC.L^L99,0.0,0,0
RNWH.L,0.0,0,0
SNLG.L^F99,0.0,0,0
SNXS.L,0.0,0,0
SOLBtq.L^F99,0.0,0,0
STWT.L^H18,0.0,0,0
TNG.L^K98,0.0,0,0
TREBq.L^B00,0.0,0,0
VERBq.L^I04,0.0,0,0
WES.L^L01,0.0,0,0
UPF.L^F99,0.0043668122270741,0,0
WXW.L^K98,0.0047581284694686,0,0
ISP.L^K98,0.0059880239520957,0,0
TXH.L^J20,0.0062893081761006,0,0
SGE.L,0.0077972709551659,0,0
SLA.L^L99,0.0086289549376796,0,0
JBA.L^J99,0.0089285714285713,0,0
DRK.L^H02,0.0090090090090089,0,0
DBG.L^L98,0.0159010600706712,0,0
BFS.L^I05,0.0185185185185186,0,0
MDM.L^F99,0.0203045685279188,0,0
MEN.L^F04,0.0205479452054795,0,0
HTL.L^B07,0.0213270142180095,0,0
GHT.L,0.0229885057471264,0,0
TCC.L^I07,0.0266666666666666,0,0
DTZ.L^L11,0.0291095890410959,0,0
TTLS.L^G10,0.0305343511450382,0,0
MGNS.L,0.0305555555555554,0,0
HAYS.L,0.030927835051546,0,0
HNL.L^G04,0.0311778302952823,0,0
SFG.L^I99,0.03125,0,0
BT.L,0.0347043701799487,0,0
PAGPA.L,0.0376712328767123,0,0
GOG.L^J22,0.0385542168674699,0,0
BFP.L^B05,0.0396825396825397,0,0
FPR.L^J07,0.0398162333800125,0,0
DXNS.L^H14,0.0399673765766377,0,0
8219q.L^A03,0.04,0,0
SIXH.L,0.0414201183431952,0,0
TFC.L^G10,0.0421052631578944,0,0
GHD.L^F00,0.0428571428571429,0,0
BFSi.L^I05,0.0462555066079295,0,0
SRP.L,0.0530120481927711,0,0
JDW.L,0.0547945205479452,0,0
DGO.L^I15,0.0555555555555555,0,0
SHOL.L^L07,0.056338028169014,0,0
THE.L^E07,0.0588235294117647,0,0
LCI.L^L06,0.0634920634920634,0,0
WKO.L^K99,0.0642857142857142,0,0
TMW.L^K12,0.0652174231443158,0,0
4502q.L^J08,0.0660377358490567,0,0
WRC.L^G03,0.0665742023984317,0,0
LBS.L^I99,0.0711743772241992,0,0
FCCN.L^K21,0.072072072072072,0,0
SGC.L^F22,0.0730088521733409,0,0
BLPU.L,0.0750853242320819,0,0
CGR.L^D07,0.0774193548387096,0,0
GSK.L,0.0870835768556401,0,0
WSW.L^E07,0.0872093023255813,0,0
ESGN.L^H04,0.0875912408759123,0,0
CHFT.L^L08,0.0898876404494382,0,0
NBB.L,0.0909090909090908,0,0
CNE.L,0.0923076923076922,0,0
ARGq.L^F99,0.0947561990494536,0,0
SJP.L,0.0948081264108351,0,0
NAR.L,0.0994318181818181,0,0
PTG.L^B07,0.1034482731609414,0,0
AMFW.L^J17,0.1062499999999999,0,0
TYI.L^L03,0.1076923076923077,0,0
SSL.L^K10,0.1109520400858983,0,0
RTO.L,0.1111111111111111,0,0
IS.L^F03,0.1120689655172413,0,0
RCDO.L,0.1149425287356322,0,0
TNS.L^K08,0.1225806451612903,0,0
SDWK.L^A99,0.1253132832080201,0,0
SHC.L^I03,0.1262626262626263,0,0
CHS.L^B11,0.1395759717314486,0,0
MTO.L,0.1400966183574878,0,0
OPSS.L^L15,0.1492537252165471,0,0
VER.L^J18,0.1527777777165369,0,0
UKM.L^L16,0.1595394736842106,0,0
AIE.L^H15,0.1612903232712836,0,0
LGEN.L,0.1642276422764226,0,0
PIZ.L^G03,0.1703650680028632,0,0
CRGT.L,0.1818181818181818,0,0
FBR.L^H05,0.1818181818181818,0,0
CRO.L^I99,0.1825726141078838,0,0
APTD.L,0.1857923497267763,0,0
FUI.L^J99,0.1999999999999999,0,0
SFR.L,0.2093023255813952,0,0
BBOR.L^H00,0.210242587601078,0,0
MMT.L^L03,0.21875,0,0
SPS.L^D08,0.2191011307154846,0,0
FCD.L^I07,0.2196531791907514,0,0
DCS.L^G06,0.2294685990338163,0,0
HIN.L^E01,0.2333333333333334,0,0
BSCT.L^I01,0.2351247600767754,0,0
VANQ.L,0.2473684210526316,0,0
SDE.L^D00,0.2477477477477476,0,0
