Firm Name,Momentum_1,Long Short,Cluster Index
WOXC.L,-0.2452830188679244,0,0
BYH.L^J12,-0.1538461538461538,0,0
SYMU.L,-0.074074074074074,0,0
KAH.L^D12,-0.0677165354330708,0,0
VITA.L^I20,-0.0512820512820513,0,0
CEY.L,-0.040906578220011,0,0
NGP.L^I12,-0.0379746835443038,0,0
BSTH.L,-0.0367892976588629,0,0
LUD.L^A15,-0.035667107001321,0,0
IFML.L^C15,-0.03125,0,0
HCM.L,-0.0303766707168894,0,0
BRK.L,-0.0162601626016259,0,0
PFC.L,-0.0148619957537153,0,0
ACSO.L,-0.014218009478673,0,0
DDT.L^L10,-0.0066390041493775,0,0
NANON.L,-0.005540166204986,0,0
ACPC.L^C11,0.0,0,0
ATIA.L^H15,0.0,0,0
CTI.L^L20,0.0,0,0
SRSP.L^H19,0.0,0,0
ALAPH.L,0.0135135135135135,0,0
NGRP.L^I18,0.0224719101123596,0,0
DDDL.L^G16,0.0263157894736842,0,0
ABCA.L^L22,0.0282451923076925,0,0
WNRG.L,0.0370370370370369,0,0
XPP.L,0.0463887257780386,0,0
DVO.L^D23,0.0544303797468355,0,0
JD.L,0.0565438373570521,0,0
AGGK.L^H21,0.0702364391380372,0,0
ARM.L^I16,0.0825982357658379,0,0
IMG.L^K17,0.0856733524355299,0,0
AMIq.L^D15,0.0932494252873563,0,0
MUL.L,0.0978723404255319,0,0
DIAL.L,0.0984848484848484,0,0
SPT.L,0.0996932515337423,0,0
ACHLA.L^C17,0.1111111111111111,0,0
MNR.L^I11,0.1200000000000001,0,0
ANTE.L^B14,0.1246153846153845,0,0
CRDA.L,0.1314984709480122,0,0
TYMN.L,0.1325301204819278,0,0
WEIR.L,0.1444356748224151,0,0
BNKq.L^I16,0.1502890173410405,0,0
A7L.L,0.152173913043478,0,0
RGD.L,0.1538461538461539,0,0
EGUq.L^B12,0.1587982832618026,0,0
VLX.L,0.1614255765199161,0,0
ASOS.L,0.1665812403895439,0,0
CKT.L,0.170940170940171,0,0
IDH.L^G21,0.1851851851851851,0,0
JDG.L,0.2149532710280373,0,0
GKP.L,0.2185430463576156,0,0
YGH.L^H12,0.2325581395348837,0,0
NHYN.L^K17,0.2351212329994472,0,0
GRL.L,0.3166666666666666,0,0
FMLq.L^C15,0.3500000000000001,0,0
ACTAq.L^F15,0.3571428571428572,0,0
SHAN.L,0.3720930232558139,0,0
AAZ.L,0.3888888888888888,0,0
VEL.L^E11,0.3898305084745763,0,0
BIRD.L,0.4047619047619049,0,0
RKH.L,0.4420062695924767,0,0
BGO.L,0.5101214574898787,0,0
EO.L^A12,0.6293929712460065,0,0
DES.L^L13,0.6325459317585302,0,0
SORA.L,0.7469879518072289,0,0
MARLM.L^G17,0.8297872340425532,0,0
RWD.L^C12,-0.3360995850622407,1,1
MWH.L^L11,-0.3333333333333333,1,1
SKHG.L^E13,-0.3142857142857143,1,1
NORK.L^C11,-0.2760180995475113,1,1
B4S.L^E20,-0.1818181577984017,1,1
VAST.L,-0.1590909090909091,1,1
JNEO.L,-0.15,1,1
HIK.L,-0.1454319453076447,1,1
HLO.L^F13,-0.1317567522613331,1,1
SCEU.L,-0.1084337349397595,1,1
HFD.L,-0.1082546696123719,1,1
PETA.L,-0.1071428571428573,1,1
PHARP.L,-0.0989260636100783,1,1
CN8.L^L16,-0.0909090909090909,1,1
SSY.L^L19,-0.0862944162436548,1,1
BRDY.L^A20,-0.0827067669172932,1,1
CHCPL.L^A11,-0.0784313725490196,1,1
NRI.L^L18,-0.0715214493740576,1,1
SBSC.L^I16,-0.0645161290322581,1,1
FLTRF.L,-0.0630824372759853,1,1
IGG.L,-0.061132075471698,1,1
DSCV.L,-0.0563725490196077,1,1
EGRE.L,-0.0526315789473684,1,1
CSN.L,-0.0525164113785558,1,1
HYNS.L^D20,-0.0480769230769231,1,1
BAG.L,-0.0464933018124507,1,1
ASBE.L,-0.0444444444444444,1,1
PLEX.L,-0.0442477876106194,1,1
NICL.L,-0.043010752688172,1,1
HSX.L,-0.0420765027322405,1,1
FTC.L,-0.0392156862745098,1,1
VCP.L,-0.0384615384615385,1,1
VELO.L^B11,-0.0363636363636363,1,1
CPG.L,-0.036077705827937,1,1
ABF.L,-0.0355472404115995,1,1
CHWI.L^F11,-0.0344827586206897,1,1
GEECq.L,-0.034090909090909,1,1
CNE.L,-0.0321829345754818,0,1
CNA.L,-0.0313820156910077,0,1
MTC.L,-0.0280373831775699,0,1
NTHV.L,-0.0268456375838928,0,1
DQ5.L^A21,-0.0246913580246913,0,1
ACCI.L,-0.0238095238095238,0,1
CITY.L^A23,-0.0229885057471265,0,1
PSON.L,-0.0204999999999999,0,1
ZTF.L,-0.0204081632653061,0,1
GFS.L^E21,-0.0201005025125627,0,1
AZN.L,-0.0191780821917808,0,1
CWK.L,-0.0188790560471976,0,1
CGT.L,-0.0174825174825175,0,1
NFGN.L,-0.015625,0,1
SHP.L^A19,-0.011830201809325,0,1
TITN.L,-0.0098039215686274,0,1
DWHT.L,-0.0090909090909089,0,1
PNN.L,-0.0085543199315655,0,1
RWA.L,-0.0082644628099173,0,1
ULE.L^H22,-0.0046349942062572,0,1
SNCL.L^B16,-0.004524886877828,0,1
NWB_pa.L,-0.0021459227467811,0,1
RCP.L,-0.0017699115044247,0,1
SSL.L^K10,-0.0017241379310344,0,1
MIOT.L^J13,-0.001310615989515,0,1
0LN9.L^A20,0.0,0,1
ADAR.L^A11,0.0,0,1
AICS.L^F12,0.0,0,1
CHNS.L^E11,0.0,0,1
CLEA.L^D13,0.0,0,1
FEN.L,0.0,0,1
INFO.L^E12,0.0,0,1
INVM.L,0.0,0,1
JLEC.L,0.0,0,1
MIG6.L^L19,0.0,0,1
WSI.L^B12,0.0,0,1
ZHEH.L^E23,0.0,0,1
SHDP.L^J10,0.0044052863436123,0,1
ITV.L,0.0050804403048263,0,1
VOD.L,0.005379746835443,0,1
CFX.L,0.0056497175141243,0,1
ESNT.L,0.0057755775577557,0,1
