Firm Name,Momentum_1,Long Short,Cluster Index
AEGR.L,-0.4130434782608695,0,0
ATCP.L^A16,-0.3791666666666666,0,0
NBE.L^F16,-0.3404255319148936,0,0
KDR.L,-0.2888888888888888,0,0
NOGO.L^E13,-0.1674208144796379,0,0
SAVG.L^A14,-0.1634615384615384,0,0
CAPE.L^I11,-0.15,0,0
TRFT.L,-0.1365979381443298,0,0
CIU.L^J17,-0.1340425531914894,0,0
BHRB.L^B15,-0.1266666666666667,0,0
ACU.L^F15,-0.119047619047619,0,0
ACTAq.L^F15,-0.1131221719457014,0,0
GKP.L,-0.1032357473035437,0,0
A7L.L,-0.1029411764705882,0,0
ATD.L^H12,-0.1025641025641025,0,0
RGI.L^L14,-0.0983050847457627,0,0
SRES.L,-0.0965909090909091,0,0
BSTH.L,-0.0950570342205323,0,0
PMG.L,-0.0736842105263158,0,0
TPT.L,-0.0679012345679012,0,0
GPX.L^D18,-0.0656528192975989,0,0
LED.L^H16,-0.0612244897959183,0,0
DAV.L^K11,-0.0571428571428571,0,0
SOLG.L,-0.0512820512820513,0,0
CDI.L^E18,-0.048780487804878,0,0
WTN.L^D11,-0.0460947503201024,0,0
PGD.L^G19,-0.027363184179793,0,0
0QY1.L^A17,-0.0224134296989229,0,0
MGRM.L^K19,-0.0209790209790209,0,0
ANTE.L^B14,-0.0162162162162161,0,0
E2V.L^C17,-0.0135135135135134,0,0
MNR.L^I11,-0.009925558312655,0,0
ATIA.L^H15,0.0,0,0
PCA.L,0.0,0,0
ABTX.L^K15,0.0,0,0
GEECq.L,0.0,0,0
WETI.L^I18,0.0098039011686861,0,0
YGH.L^H12,0.0119047619047618,0,0
AR.L^K13,0.016,0,0
TLW.L,0.0188133140376265,0,0
MML.L^E14,0.0220430974835317,0,0
AAZ.L,0.0282258064516129,0,0
ASWA.L^C15,0.0390070921985814,0,0
THRGx.L^J11,0.0446927374301675,0,0
TYMN.L,0.056201550387597,0,0
PARPR.L^I14,0.0588235294117647,0,0
KAH.L^D12,0.0672097759674135,0,0
IERE.L^L15,0.0679611650485436,0,0
ABCA.L^L22,0.0806809770540339,0,0
AMIq.L^D15,0.0811881188118812,0,0
ZOLq.L^B22,0.086021505376344,0,0
SNT.L,0.0948905109489051,0,0
0LO8.L^K22,0.0995923004175027,0,0
CEG.L,0.108974358974359,0,0
TW.L,0.125357756153406,0,0
PXEN.L,0.1284722222222223,0,0
WBN.L^L13,0.131578947368421,0,0
BNKq.L^I16,0.1442307692307691,0,0
SRB.L,0.1475409836065573,0,0
NGRP.L^I18,0.1707317073170731,0,0
LEND.L,0.2239999999999999,0,0
ASOS.L,0.3076923076923077,0,0
STGR.L^H17,0.3529411764705883,0,0
TOWR.L,0.3875598086124405,0,0
BEM.L,0.569060773480663,0,0
LOGP.L,0.6799999999999999,0,0
CBUY.L^B20,0.906666734253074,0,0
INSCI.L^I15,-0.7905405405405406,1,1
BGO.L,-0.3220338983050846,1,1
ENRE.L^H16,-0.2907489649361199,1,1
REAT.L,-0.2857142857142857,1,1
CGNR.L,-0.2156862745098039,1,1
DNDLx.L^D12,-0.2142857142857143,1,1
BZT.L,-0.1951219512195122,1,1
SYNS.L,-0.1951219512195121,1,1
VRP.L^J20,-0.1770833324650443,1,1
WNRG.L,-0.1709401709401707,1,1
MXP.L^J15,-0.1686746987951807,1,1
EDLE.L,-0.1679790026246719,1,1
NYO.L^I17,-0.1632653061224489,1,1
ALBA.L,-0.1624999999999999,1,1
TND.L,-0.1554054054054054,1,1
DNLM.L,-0.149522799575822,1,1
DOM.L,-0.1445672191528545,1,1
EKF.L,-0.1428571428571431,1,1
AVS.L^L16,-0.1363636363636363,1,1
CRV.L,-0.1351351351351352,1,1
NANON.L,-0.1309192200557103,1,1
LRL.L^F15,-0.1279069767441859,1,1
CEY.L,-0.1278911564625851,1,1
VCTX.L,-0.1142857142857141,1,1
TAVI.L,-0.1094890510948904,1,1
MLD.L^L16,-0.106060606060606,1,1
VLE.L,-0.1019786910197869,1,1
TSG.L^H21,-0.1012658137939962,1,1
CCC.L,-0.1010989010989009,1,1
TNCI.L^A15,-0.0999999999999999,1,1
PFC.L,-0.0995024875621891,1,1
PTY.L,-0.0990990990990992,1,1
GGPL.L,-0.099099099099099,1,1
HZM.L,-0.099099099099099,1,1
KAZ.L^E21,-0.0956907477820024,1,1
KWG.L,-0.0930232558139535,1,1
AVE.L^J11,-0.0926724137931034,1,1
GPK.L^C14,-0.0923466160657812,0,1
TSTRE.L^L20,-0.0913461538461538,0,1
EAAS.L,-0.0887096774193548,0,1
EGRE.L,-0.0864197530864194,0,1
PPTx.L^F13,-0.0847457627118644,0,1
LONR.L^G13,-0.0821917808219178,0,1
PAGPA.L,-0.081578947368421,0,1
XAR.L,-0.0811965811965812,0,1
UFG.L^I13,-0.0793650793650794,0,1
WLF.L^H14,-0.0774938169826875,0,1
IPX.L,-0.0771812080536913,0,1
FDPF.L,-0.0760869565217391,0,1
LSL.L,-0.0746268656716417,0,1
FPM.L^B19,-0.073170731707317,0,1
SCPA.L^D21,-0.0728476821192053,0,1
SDG.L,-0.0701754385964912,0,1
FUM.L,-0.0701219512195123,0,1
GRPHG.L^C18,-0.0689655172413793,0,1
VIDV.L,-0.0675,0,1
CLIG.L,-0.0674157303370786,0,1
ANGM.L^G13,-0.0666666666666666,0,1
JEMA.L,-0.0640668523676879,0,1
CHW.L^J15,-0.0639097744360902,0,1
SMDS.L,-0.0635451505016722,0,1
C1Y.L,-0.0633333333333333,0,1
AAS.L,-0.0628099173553717,0,1
TNT.L,-0.0625,0,1
UZS.L^L18,-0.0625,0,1
MNZS.L^H22,-0.0619178082191781,0,1
OXIG.L,-0.0615384615384615,0,1
EBIVE.L^G16,-0.0602409638554216,0,1
SOST.L,-0.0597269624573378,0,1
