firms,absacc,acc,age,bm,bm_ia,convind,currat,ep,herf,mve_ia,pctacc,ps,quick,roic,salerec,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.0642555011643933,0.0642555011643933,1.0,5.426580442111587e-07,0.3324157899841333,1.0,1.340713727533212,8.84516866737765e-08,1.1879952102899185e-06,2.405246567043128,0.7078534031413619,4.0,0.878353737952592,0.0961640916355887,5.5967213114754095,1.0881609623409694,-0.0641627543035993,-0.0779220779220779,-0.0712209302325581,-0.0589101620029455,0.0256821829855535,-0.0303490136570562,0.0078864353312302,0.0373376623376622,0.0812182741116751,0.1309734513274334,0.1811460258780035,0.1899441340782122,0.1660583941605837,0.33125,0.2909090909090908,0.1703296703296701,0.2102272727272727,0.2504892367906064,0.1746323529411764,0.1833333333333331,0.1833333333333331,0.1410714285714285,0.248046875,0.2883064516129032,0.3340292275574112,0.4723502304147464,0.6684073107049606,0.6640625,0.1017241379310345,0.0904436860068258,0.083050847457627,0.1349911190053285,0.2729083665338645,0.392156862745098,0.4074889867841409,0.3683083511777301,0.554744525547445,0.6511627906976742,0.8050847457627117,0.836206896551724,0.794943820224719,0.5661764705882353,0.6904761904761905,0.5360576923076921,0.815340909090909,0.7459016393442621,0.852173913043478,1.0157728706624605,1.0882352941176467
BACQ-L^J02,0.3001100648159471,0.3001100648159471,12.0,7.457829255227757e-07,0.4568439056398931,1.0,1.0128679427376548,1.512992328916649e-07,1.6645208492210585e-06,2.2041818653204337,1.6392785571142283,5.0,0.5583078655299983,0.1044618730639952,23.22477650063857,0.8792999626665281,-0.078125,-0.0679611650485437,-0.0204081632653061,-0.0204081632653061,-0.1829787234042553,-0.2808988764044944,-0.2615384615384616,-0.1615720524017467,-0.0857142857142857,-0.0943396226415095,-0.0943396226415095,-0.0588235294117647,-0.0495049504950495,0.136094674556213,0.1228070175438595,-0.0769230769230769,0.0105263157894737,-0.0303030303030302,-0.1504424778761061,-0.1688311688311689,-0.189873417721519,-0.2163265306122449,-0.1966527196652721,-0.2098765432098766,-0.2066115702479338,-0.1390134529147982,-0.1578947368421052,-0.2131147540983606,-0.3379310344827586,-0.3513513513513513,-0.3924050632911393,-0.4037267080745342,-0.4037267080745342,-0.3943217665615142,-0.3469387755102041,-0.3093525179856115,-0.2808988764044944,-0.3263157894736842,-0.264367816091954,-0.3469387755102041,-0.3286713286713286,-0.3924050632911393,-0.3093525179856115,-0.3557046979865772,-0.3333333333333333,-0.3885350318471338,-0.4385964912280702,-0.2615384615384616,-0.6411214953271027
BALZ-L^I10,0.9818611987381703,0.9818611987381703,1.0,7.613212113435066e-07,0.4663621862794179,1.0,1.2579338284942607,2.446854214602638e-08,6.001444376635294e-08,0.1911936881645135,59.2857142857143,4.0,0.9182984469952736,0.1000711617149973,4.989884393063584,5.921331732396728,-0.027027027027027,0.0882352941176469,0.0571428571428571,0.1212121212121211,0.0,0.0571428571428571,-0.0263157894736841,-0.075,-0.075,-0.2127659574468084,-0.3392857142857143,-0.3728813559322034,-0.421875,-0.3508771929824561,-0.3620689655172413,-0.3833333333333333,-0.3018867924528302,-0.3148148148148149,-0.3934426229508196,-0.3728813559322034,-0.2291666666666666,-0.2745098039215686,-0.2291666666666666,-0.2884615384615385,-0.3833333333333333,-0.3508771929824561,-0.2745098039215686,-0.3833333333333333,-0.6145833333333333,-0.5934065934065934,-0.63,-0.6145833333333333,-0.6185567010309279,-0.5542168674698795,-0.4477611940298508,-0.4714285714285714,-0.3392857142857143,-0.3018867924528302,-0.2884615384615385,-0.2448979591836735,-0.2448979591836735,-0.2884615384615385,-0.1956521739130435,-0.2127659574468084,-0.2291666666666666,-0.3272727272727274,-0.1777777777777778,-0.1395348837209302,-0.2448979591836735
BAMD-L^J98,0.025770612210967,0.025770612210967,1.0,2.663836308679845e-07,0.1631784989431875,1.0,1.1318914622663463,8.228950434781325e-08,1.85814721468125e-08,1.0782987809469415,0.1323090055484427,5.0,1.1294461768696766,0.158713508164275,0.7532086714492924,1.2030422797424247,0.036065573770492,0.0234899328859059,-0.0129449838187701,-0.0729483282674772,0.0032894736842103,-0.0757575757575758,0.0200668896321067,0.1090909090909091,0.1867704280155642,-0.6545866364665912,-0.655367231638418,-0.5900537634408602,-0.5481481481481482,-0.5127795527156549,-0.4899665551839466,-0.4950331125827815,-0.4572953736654804,-0.3996062992125985,-0.4444444444444445,-0.4245283018867924,-0.4553571428571429,-0.4592198581560284,-0.4234404536862004,-0.4524236983842011,-0.360587002096436,-0.2632850241545893,-0.1159420289855073,-0.2789598108747045,-0.5734265734265735,-0.5371775417298938,-0.5204402515723271,-0.4732297063903281,-0.4341372912801484,-0.3130630630630632,-0.2524509803921569,-0.1844919786096257,-0.1734417344173442,-0.0378548895899053,-0.0032679738562092,0.0590277777777776,0.2448979591836733,0.1296296296296295,0.150943396226415,-0.0255591054313099,-0.0255591054313099,-0.1235632183908046,-0.0644171779141103,-0.0757575757575758,0.0701754385964912
BAOH-L,0.2113482307327987,-0.2113482307327987,26.0,2.731795221399818e-07,0.1673414549519042,1.0,1.2205242932259486,9.00075964160499e-08,9.704409805714933e-08,3.431148144857678,-0.4408362710155183,4.0,1.1345258608379425,0.5964251803522498,72.85619234087741,1.973344131287257,-0.2264344262295081,0.1154285714285714,0.0772626931567328,0.2708333333333332,0.3369863013698631,0.508500772797527,0.5015384615384615,0.5015384615384615,0.712280701754386,0.7062937062937062,0.6683760683760684,0.7713248638838477,1.0123711340206183,1.0989247311827954,0.9757085020242912,1.0123711340206183,0.8988326848249029,0.8625954198473282,0.8040665434380776,0.6403361344537815,0.6403361344537815,0.7304964539007093,0.5015384615384615,0.5947712418300652,0.6266666666666667,0.4459259259259258,0.4459259259259258,-0.2192,-0.3993846153846154,-0.4384349827387802,-0.4643249176728868,-0.332421340629275,-0.2834067547723935,-0.3803174603174603,-0.3383050847457627,-0.1513043478260869,-0.1513043478260869,-0.024,-0.1324444444444444,0.0273684210526314,-0.1127272727272727,0.0494623655913977,0.3462068965517242,0.1830303030303031,0.0844444444444443,-0.0478048780487805,-0.1324444444444444,-0.2901818181818182,-0.2492307692307692
BBEK-L^L95,0.4834871794871794,0.4834871794871794,1.0,1.7081489675516225e-07,0.1046360031914142,1.0,1.3932632482299934,6.070243362831859e-08,4.828173054127952e-07,4.833280752553706,1.789673500379651,5.0,1.0223128084102124,0.1805998723675813,3.923878205128205,0.5004132284098374,-0.0303030303030301,-0.0350877192982456,-0.0571428571428571,0.0091743119266054,0.0410094637223974,-0.0934065934065935,-0.0406976744186047,0.0891089108910891,0.1036789297658862,0.0784313725490195,0.1111111111111109,0.1578947368421051,0.2313432835820894,0.4285714285714284,0.4224137931034484,0.2890625,0.3306451612903225,0.4410480349344976,0.2941176470588236,0.2547528517110267,0.2692307692307691,0.2547528517110267,0.3807531380753137,0.3360323886639673,0.2406015037593982,0.3360323886639673,0.4864864864864862,0.2043795620437953,-0.0730337078651686,-0.0934065934065935,-0.0350877192982456,-0.0858725761772853,-0.0730337078651686,-0.4954128440366973,-0.4625407166123778,-0.4899536321483771,-0.4572368421052631,-0.3820224719101124,-0.3944954128440368,-0.4310344827586206,-0.4107142857142857,-0.4761904761904761,-0.4453781512605043,-0.4703049759229535,-0.4159292035398231,-0.4270833333333333,-0.4260869565217391,-0.3653846153846154,-0.2918454935622318
BBIO-L^E18,0.063743096007002,0.063743096007002,1.0,6.748447583099964e-07,0.4133893449904857,1.0,1.2499245852187029,1.2987540078736965e-07,2.250920513839056e-06,2.195560554243561,0.8249999999999997,3.0,0.6722473604826547,0.0729307588242528,5.66336368505624,0.9742441115958992,-0.1095571095571096,-0.0272108843537415,0.0698254364089776,0.1171875,-0.0069444444444445,-0.0592105263157893,-0.0137931034482757,0.0860759493670886,0.1,0.1142857142857143,0.1753424657534246,0.2050561797752808,0.2152974504249292,0.4444444444444444,0.3883495145631068,0.2921686746987952,0.4019607843137254,0.4019607843137254,0.2805970149253731,0.3706070287539937,0.3533123028391167,0.3883495145631068,0.4691780821917808,0.3281733746130031,0.3662420382165605,0.5376344086021505,0.7023809523809523,0.5888888888888888,0.0412621359223301,0.0943877551020409,0.0566502463054188,0.1785714285714286,0.2805970149253731,0.3,0.3883495145631068,0.2292263610315186,0.3240740740740739,0.5714285714285714,0.5656934306569341,0.7228915662650601,0.6889763779527558,0.521276595744681,0.2507288629737609,0.1657608695652173,0.2729970326409494,0.2617647058823529,0.1626016260162601,0.2617647058823529,0.4691780821917808
BBNH-L^L97,0.0535281067967462,0.0535281067967462,1.0,5.060949277679093e-07,0.3100183384648572,1.0,1.09596713965646,9.18857124038949e-08,4.3515272978118e-05,12.316238099402144,0.8122047244094487,2.0,0.6221060492905153,0.0791536891848351,8.346499102333931,0.7553194808254095,-0.0789473684210526,-0.0318471337579617,0.0666666666666666,0.1805825242718446,0.0519031141868511,-0.0394944707740916,0.0218487394957982,0.0994575045207957,0.1343283582089551,0.0592334494773518,0.1094890510948904,0.1782945736434107,0.1898238747553815,0.413953488372093,0.354120267260579,0.3511111111111111,0.251028806584362,0.2459016393442623,0.2307692307692306,0.1944990176817289,0.1944990176817289,0.2433537832310839,0.29637526652452,0.29637526652452,0.3392070484581497,0.354120267260579,0.6127320954907163,0.5086848635235732,0.0685413005272406,0.1385767790262173,0.0915619389587072,0.1364485981308412,0.0666666666666666,0.2282828282828282,0.3160173160173161,0.1944990176817289,0.2307692307692306,0.3304157549234134,0.29637526652452,0.3786848072562359,0.4545454545454546,0.4901960784313726,0.5792207792207793,0.4721549636803874,0.5792207792207793,0.5086848635235732,0.4650602409638553,0.4829268292682929,0.6000000000000001
BBOU-L,0.0702426564495529,0.0702426564495529,1.0,5.319500544474712e-07,0.3258564015913702,1.0,1.3085834649815693,7.94967870773363e-08,2.275040587084302e-06,12.806456365678184,0.8424507658643327,4.0,0.5629278567667193,0.087149449769258,2.515976331360947,0.8512724175458753,-0.0165413533834587,-0.0306122448979592,0.0230769230769232,0.1139028475711894,0.1728395061728396,0.1195286195286196,0.2292051756007393,0.3194444444444444,0.362704918032787,0.4301075268817205,0.5182648401826486,0.6750629722921915,0.7095115681233934,0.9910179640718564,1.0274390243902445,0.9558823529411766,1.0716510903426792,1.1875,1.0336391437308872,1.0090634441087616,1.0524691358024691,1.1111111111111112,1.254237288135593,1.2019867549668874,1.309027777777778,1.309027777777778,1.7032520325203255,1.59765625,0.7733333333333334,0.8785310734463279,0.8169398907103826,0.8523676880222844,0.862745098039216,1.0030120481927711,1.1314102564102564,1.021276595744681,1.2773972602739727,1.301038062283737,1.301038062283737,0.9616519174041298,1.091194968553459,0.9000000000000001,1.1590909090909092,1.0030120481927711,1.2166666666666668,1.1451612903225803,1.0461538461538464,1.3333333333333337,1.309027777777778
BBQS-L^G99,0.4327313769751692,0.4327313769751692,1.0,3.723743300014488e-07,0.2281051730416761,1.0,1.4487778816615466,1.0806895552658264e-07,6.846861699252642e-06,3.0756026027726984,2.56970509383378,5.0,0.7745425404033659,0.1293710691823899,8.89365806607186,0.4655309733311905,-0.0334572490706319,-0.0659722222222222,0.0074906367041198,-0.0288808664259928,-0.0973154362416107,-0.1322580645161291,-0.0460992907801418,-0.007380073800738,-0.007380073800738,0.0,-0.007380073800738,-0.0253623188405796,-0.0218181818181818,0.1255230125523012,0.05078125,0.0112781954887217,0.0228136882129277,0.0386100386100387,-0.03584229390681,-0.0724137931034483,-0.0182481751824818,-0.0323741007194243,-0.0110294117647059,-0.0627177700348432,-0.0942760942760944,-0.0494699646643109,0.1798245614035087,0.0549019607843137,-0.2225433526011561,-0.1671826625386997,-0.1697530864197531,-0.1063122923588039,-0.0724137931034483,0.0267175572519082,0.0632411067193676,-0.0850340136054421,0.1695652173913044,0.2453703703703702,0.2283105022831051,0.2748815165876777,-0.0973154362416107,-0.1237785016286644,-0.0494699646643109,-0.0973154362416107,-0.0037037037037037,-0.1322580645161291,0.0346153846153844,0.23963133640553,0.3937823834196892
