firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,egr,ep,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ-L^I10,17.0,0.108957485284979,3.177062774692169e-07,0.0992220042737974,0.1081120219611398,0.0713249361852815,1.2960624249267008,-0.0074373073601992,1.0,-0.0383347073371804,1.0745194247473974e-08,9.824647896470271e-10,7.170812190016126e-07,0.1923271837227607,4.0,0.1074105778629393,0.0640683542552739,-0.0031795368358814,0.0772600557546794,0.1272727272727272,-0.0178571428571429,0.1,0.0576923076923077,0.1458333333333334,0.1458333333333334,0.25,0.1956521739130434,0.1458333333333334,0.1,0.1458333333333334,0.1458333333333334,-0.0677966101694914,-0.0517241379310343,0.0784313725490197,0.1,0.1956521739130434,0.170212765957447,0.0576923076923077,0.3414634146341464,0.3095238095238097,0.4473684210526316,0.6176470588235294,0.8965517241379313,0.71875,0.8965517241379313,0.774193548387097,0.4102564102564103,0.6176470588235294,1.1153846153846154,0.6176470588235294,0.6666666666666667,0.5277777777777779,0.170212765957447,0.1,0.1,0.0784313725490197,-0.0178571428571429,-0.2253521126760562,-0.2763157894736842,0.0,0.0377358490566037,-0.236111111111111,-0.236111111111111,-0.4607843137254901,-0.4607843137254901,-0.5217391304347825,-0.4660194174757281,-0.638157894736842
BAOH-L,23.0,0.3288185334381539,1.0066166790043644e-06,0.3143737833002819,0.1854856798277604,0.231502052557094,0.4072520416084585,-0.1166661895682909,1.0,0.1516126596675626,6.53754867345945e-08,3.9425225889569254e-08,9.130929283026716e-07,0.6265718212544018,4.0,0.7261143746993166,0.0973544636321318,-0.0891277990068229,-0.0673525713081415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO-L^E18,16.0,0.1639139918977874,7.891658906232716e-07,0.246462304729702,0.1903141361256544,0.3368794326241134,1.0761136257695485,0.1071379125209032,1.0,0.5766738660907127,3.1188268417097784e-07,4.380050104133869e-07,1.2134776879789348e-06,-0.0097044552271724,3.0,1.2886155431524369,0.0039232399926585,0.04499100179964,0.04499100179964,-0.0191570881226053,0.069672131147541,0.10126582278481,0.1756756756756754,0.2083333333333332,0.219626168224299,0.1651785714285711,0.1447368421052632,0.0609756097560976,0.1548672566371682,0.1397379912663754,0.0653061224489794,-0.0113636363636364,0.0116279069767442,-0.0224719101123596,-0.0261194029850747,-0.0509090909090909,0.069672131147541,-0.0187969924812031,0.125,0.2083333333333332,0.2369668246445497,0.3049999999999999,0.6312499999999999,0.5263157894736841,0.3453608247422679,0.2985074626865671,0.10126582278481,0.213953488372093,0.0920502092050208,-0.03690036900369,0.0275590551181101,-0.1661341853035144,-0.218562874251497,-0.2042682926829268,-0.2434782608695652,-0.1212121212121213,-0.0474452554744526,-0.0150943396226415,-0.0874125874125874,-0.0474452554744526,0.0116279069767442,-0.1414473684210526,-0.6287339971550499,-0.6239193083573488,-0.6592689295039165,-0.6556728232189974,-0.6385041551246537,-0.6753731343283582
BBOU-L,16.0,-0.1300858183614249,1.6301716964756877e-07,0.0509114595793299,0.0565332950219093,0.1569274041026138,0.6922450562643689,0.117582231803706,1.0,-0.2547436415018167,6.146259484003678e-08,2.852489183831844e-06,4.374352924427041e-07,-0.0753220085868956,3.0,15.7749197794242,-0.0504048416765208,-0.0581567796610169,-0.0581567796610169,0.0188172043010752,0.0205761316872428,0.0013458950201885,0.0136239782016349,0.0108695652173913,0.0689655172413794,0.087719298245614,0.086131386861314,0.0163934426229508,0.0420168067226891,-0.0158730158730158,0.0538243626062324,-0.0132625994694959,0.0333333333333334,0.0122448979591838,0.0108695652173913,0.0659025787965617,0.1376146788990826,0.1005917159763314,0.1735015772870662,0.15527950310559,0.1306990881458967,0.089311859443631,0.1341463414634147,0.1735015772870662,0.15527950310559,0.1022222222222222,0.1324200913242008,0.0191780821917808,-0.0676691729323308,-0.0510204081632652,0.0094979647218453,-0.1257344300822561,-0.1348837209302325,-0.1779005524861878,-0.1895424836601306,-0.1448275862068964,-0.1226415094339622,-0.0522292993630572,-0.0013422818791946,0.0628571428571429,0.0628571428571429,0.0829694323144105,0.0094979647218453,-0.0676691729323308,-0.0299869621903519,0.0262068965517241,0.0391061452513967,0.0391061452513967
BBTK-L^C11,11.0,0.1364296081277213,0.0005626470656966,175.7188117335995,0.1020806241872561,0.1818181818181818,0.2548869324983335,0.8646810767575008,1.0,0.8411764705882353,6.651099498650905e-05,1.2731972027465702e-08,0.0007477992949834,-0.108730583824317,3.0,0.0015499121619881,-0.4155844155844156,0.3563049853372434,0.2272727272727272,0.0810810810810811,-0.075,-0.0263157894736841,-0.1777777777777778,-0.075,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0571428571428571,-0.1777777777777778,0.0571428571428571,0.0571428571428571,-0.1777777777777778,0.0571428571428571,0.0571428571428571,-0.075,-0.075,-0.1777777777777778,0.0571428571428571,0.0571428571428571,-0.075,-0.075,-0.075,-0.26,-0.3272727272727274,-0.26,-0.119047619047619,0.0,0.0,-0.075,0.4230769230769229,0.4230769230769229,0.0882352941176469,0.0882352941176469,0.0882352941176469,0.0882352941176469,0.0882352941176469,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.119047619047619,-0.075,-0.075,0.5416666666666667,-0.075,-0.075,-0.0263157894736841,0.0571428571428571
BBTU-L^C18,16.0,-0.0325240234263945,5.351352097149365e-07,0.1671266570127484,0.1068574858386165,0.1724048185603807,3.1394651088485324,0.0074318943250215,1.0,0.0439906698858288,5.47049477475915e-08,5.104284073189938e-06,5.349674031267537e-07,-0.0984162895927602,3.0,3.320624708058147,0.396861894398857,0.474251013108602,0.3317731370024074,-0.0569620253164557,0.063973063973064,0.1126760563380282,0.2248062015503875,0.210727969348659,0.1285714285714287,0.2153846153846155,0.210727969348659,0.1703703703703702,0.174721189591078,0.2741935483870967,0.3859649122807018,0.3799126637554586,0.3982300884955754,0.4044444444444446,0.4697674418604651,0.6122448979591837,0.7362637362637363,0.595959595959596,0.595959595959596,0.7173913043478262,0.7458563535911602,1.051948051948052,1.2898550724637683,1.0789473684210529,0.9627329192546584,0.8922155688622757,0.7555555555555555,0.8057142857142858,1.0,0.6288659793814435,0.6631578947368422,0.4363636363636363,0.2845528455284554,0.2440944881889764,0.2690763052208835,0.4107142857142856,0.5047619047619047,0.4976303317535546,0.5339805825242718,0.7752808988764046,0.7173913043478262,0.3166666666666669,0.2793522267206476,0.2845528455284554,0.3057851239669422,0.4234234234234233,0.5339805825242718,0.3739130434782609
BBXK-L,17.0,-0.4191484458662618,7.03916282679485e-06,2.198382259386951,0.0652508751458576,0.197405228682929,1.7024775854200105,0.0058413602833448,1.0,-0.8076484741040901,9.06734382121698e-06,2.276225899877564e-06,5.813603953242285e-05,-0.2355223334890618,2.0,0.0450917232555247,0.1032131233775334,0.956730711317232,-0.0432692886827681,0.0,-0.0142857142857143,-0.7988338192419826,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,0.0,-0.75,0.0,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,0.0,0.0,-0.0142857142857143,0.0,0.0,-0.8179419525065963,-0.8235294117647058,-0.8207792207792208,-0.8212435233160622,-0.8155080213903744,-0.8088642659279779,-0.7994186046511628,-0.7653061224489797,-0.7294117647058824,-0.7463235294117647,-0.7217741935483871,-0.7346153846153847,-0.7228915662650603,-0.7386363636363636,-0.7444444444444445,-0.7063829787234043
BCPS-L^C06,16.0,-0.2266599303321189,3.602985930864647e-06,1.125238973174908,0.0174672489082969,0.0361847473829008,0.8943268826464744,-0.0999368010058694,1.0,-0.2767315671879988,-9.949551836886818e-07,2.074149315509133e-07,7.500523116668692e-06,-0.2145116976105235,3.0,0.175225031264061,0.3276842538734003,-0.5423988029580112,0.0464862505456132,-0.0039719316827749,-0.029426882549473,-0.0319148936170212,-0.0316666666666666,-0.0125506602170217,54.94814814814814,56.21969696969697,56.21969696969697,0.0065298507462685,0.0233030754640293,33.96759259259259,0.0029212587969724,47.729032258064514,47.729032258064514,0.0029212587969724,0.0302823625699086,25.78368794326241,0.0154611454692121,46.80379746835443,0.0130096566523605,-0.0124215481171549,-0.0949071300179749,-0.0596364541832667,42.16,46.50314465408805,-0.0338961371194679,-0.0084022581068662,-0.0864779874213836,-0.1050947867298578,-0.1247972190034761,-0.1293371757925071,-0.0792393026941362,-0.0684509126788356,-0.0221387881926462,-0.027552465559418,-0.0288028802880286,-0.088352444176222,32.42035398230089,30.73529411764706,-0.1176401869158877,43.958333333333336,-0.120517000465766,-0.1713658804168952,-0.1422893481717011,53.73188405797102,-0.0993322203672787,-0.1107840828820343,59.424,-0.1966602850457348
BCQE-L^A14,17.0,-0.1951219512195122,-7.066376579519022e-07,-0.2206881314270642,0.2533022533022533,-0.1129668994837534,1.0586089054491072,-0.0613776908708599,1.0,0.371002132196162,-5.198127717126746e-07,3.083048924504671e-07,3.3892232303634007e-06,-0.1193603655054254,3.0,0.633801131897961,0.043773957359318,-0.0029193615185787,-0.2487792341300436,-0.0588235294117647,-0.15,0.0625,-0.1052631578947368,0.0625,0.4166666666666667,0.2142857142857142,0.0625,-0.0555555555555554,0.0625,-0.15,-0.1052631578947368,-0.2272727272727271,-0.3461538461538461,-0.0555555555555554,-0.1904761904761903,-0.46875,-0.3928571428571429,-0.5142857142857142,-0.3461538461538461,-0.15,-0.0555555555555554,0.2142857142857142,0.7,0.1333333333333335,-0.6730769230769231,-0.679245283018868,-0.7424242424242424,-0.7258064516129032,-0.7166666666666666,-0.7702702702702703,-0.7462686567164178,-0.8111111111111111,-0.839622641509434,-0.8425925925925926,-0.8629032258064516,-0.83,-0.853448275862069,-0.8571428571428571,-0.8349514563106796,-0.734375,-0.5641025641025641,-0.8068181818181818,-0.8089887640449438,-0.875,-0.8843537414965986,-0.8851351351351351,-0.875,-0.8930817610062893
BCYN-L,16.0,-0.0043288780643247,3.595773532718444e-07,0.112298648825271,0.0259759358941222,0.3069310728080435,0.5327773569547961,0.0669466433645641,1.0,0.1691931041576131,8.037914153976432e-08,1.259789568603731e-06,3.483477078098547e-07,-0.1282340601543645,4.0,12.69657498821937,0.0867409255285704,0.1463839420444338,0.1463839420444338,-0.055862831858407,0.0616559013505577,0.1793868232224396,0.1740259740259739,0.2520775623268698,0.1902567478604344,0.2997843278217109,0.2822695035460991,0.3717754172989376,0.3749049429657793,0.4616006467259499,0.3343173431734316,0.2316076294277929,0.2696629213483144,0.1717433570965649,0.2512110726643597,0.2434662998624484,0.4015503875968991,0.2951289398280801,0.3972179289026274,0.5929515418502203,0.4759183673469387,0.5244519392917368,0.4819672131147541,0.3929121725731894,0.5439795046968401,0.458064516129032,0.3655589123867069,0.5776614310645722,0.7418111753371865,0.5929515418502203,0.7468599033816423,0.4868421052631577,0.3886328725038401,-0.6409849086576649,-0.6678302406760978,-0.6833625218914186,-0.68045245669848,-0.6552250190694127,-0.6564696940908228,-0.5964285714285714,-0.5694212907835199,-0.6274469400370906,-0.6169491525423729,-0.6507629901487348,-0.6691068814055637,-0.6819700967458224,-0.6179205409974642,-0.6455596941776123
