Firm Name,Momentum_1,Long Short,Cluster Index
LTKO-L,10.636363636363637,0.0,0
SBOW-L,-0.0555555555555554,0.0,0
LXXV-L,-0.0564102564102563,0.0,0
VNE-L,-0.0609065155807364,0.0,0
NENH-L,-0.0612244897959183,0.0,0
PKJG-L,-0.0623229461756372,0.0,0
RXZS-L,-0.0625,0.0,0
FUYP-L,-0.052772808586762,0.0,0
WAW-L,-0.0648944487881155,0.0,0
PNMY-L^D23,-0.0666666666666665,0.0,0
LLXZ-L,-0.0673713703515027,0.0,0
FTWJ-L,-0.0707552401020294,0.0,0
RWTG-L,-0.0754716981132074,0.0,0
FTAN-L,-0.0757405324334458,0.0,0
FTTL-L,-0.0769230769230769,0.0,0
MOGO-L,-0.0660146699266504,0.0,0
FUCX-L,-0.0491329479768786,0.0,0
MVSV-L,-0.0487272727272727,0.0,0
SPLC-L,-0.0482315112540192,0.0,0
FRZA-L,-0.0064156677359445,0.0,0
SOWG-L,-0.01052016364699,0.0,0
MOUY-L^F23,-0.0111420612813371,0.0,0
FWUU-L,-0.0175638788204233,0.0,0
PXKA-L,-0.0184615384615384,0.0,0
DNDW-L,-0.0228671943711521,0.0,0
QJHO-L,-0.0244956772334294,0.0,0
PNRC-L,-0.0260459392945036,0.0,0
PVSG-L,-0.0266920877025738,0.0,0
OCKN-L,-0.03125,0.0,0
SNWH-L,-0.0334928229665071,0.0,0
PWDA-L,-0.0388059701492536,0.0,0
SIAO-L,-0.0416666666666666,0.0,0
PJQT-L,-0.0420168067226891,0.0,0
SCKZ-L,-0.0481235115381456,0.0,0
SHUW-L,-0.078740157480315,0.0,0
PKIH-L,-0.0018822264049476,0.0,0
DSNO-L,-0.0799517878666131,0.0,0
QZJK-L,-0.0833333333333332,0.0,0
PKCH-L,-0.12,0.0,0
QFNY-L,-0.1208791208791209,0.0,0
LKGM-L,-0.1246334310850439,0.0,0
FVIP-L,-0.1322937625754526,0.0,0
BQSX-L,-0.1377858002406738,0.0,0
