Firm Name,Momentum_1,Long Short,Cluster Index
FVFC-L^G02,2.909090909090909,0.0,0
FZCX-L^B23,-0.0434782608695653,0.0,0
LRLM-L^K06,-0.0422535211267606,0.0,0
LMYZ-L^D98,-0.0416666666666667,0.0,0
LKQL-L^I98,-0.0416666666666667,0.0,0
LOKA-L^I99,-0.0410958904109589,0.0,0
LLSV-L,-0.0408163265306122,0.0,0
NVJ-L^G03,-0.04,0.0,0
LZLZ-L^K00,-0.04,0.0,0
LXZN-L^G12,-0.0434782608695653,0.0,0
LNBT-L^H99,-0.04,0.0,0
LLIX-L^G99,-0.0377358490566037,0.0,0
URC-L^H14,-0.0376344086021506,0.0,0
LLKM-L^A20,-0.037593984962406,0.0,0
LXJN-L^K99,-0.037037037037037,0.0,0
FWJQ-L^I05,-0.036697247706422,0.0,0
FZDF-L^G02,-0.0357142857142855,0.0,0
FWKZ-L^C13,-0.0357142857142855,0.0,0
FVGB-L^G04,-0.0356294536817103,0.0,0
LQOP-L^I07,-0.0384615384615385,0.0,0
LLVY-L,-0.044776119402985,0.0,0
MOKZ-L^K00,-0.0454545454545455,0.0,0
MQVH-L,-0.0459770114942529,0.0,0
LKBJ-L^K00,-0.057142857142857,0.0,0
LKTQ-L,-0.0568720379146918,0.0,0
FVPB-L^B03,-0.0567010309278349,0.0,0
MOQW-L^I05,-0.0555555555555555,0.0,0
FVTI-L^G00,-0.0555555555555555,0.0,0
LVWW-L^C07,-0.0547945205479452,0.0,0
LRTP-L,-0.0535714285714286,0.0,0
MOLQ-L^J07,-0.0526315789473684,0.0,0
VQI-L,-0.0524245774759122,0.0,0
MOLO-L^F01,-0.05,0.0,0
TLP-L,-0.0493197278911564,0.0,0
FVTN-L^K22,-0.0492753623188406,0.0,0
FWAG-L^J05,-0.0481927710843372,0.0,0
FVZC-L^H99,-0.0476190476190476,0.0,0
MNNR-L^I01,-0.0476190476190475,0.0,0
LKFE-L^J18,-0.0476190476190475,0.0,0
LVWS-L,-0.047244094488189,0.0,0
LNSG-L^G99,-0.0468750000000001,0.0,0
FVJL-L^E00,-0.0465116279069768,0.0,0
FWSB-L^K99,-0.0355329949238578,0.0,0
LNES-L^E00,-0.0345423143350605,0.0,0
FZAQ-L,-0.0342465753424657,0.0,0
LXGK-L,-0.0340909090909091,0.0,0
LPKH-L^B06,-0.0239234449760764,0.0,0
MOLX-L^G19,-0.0238095238095238,0.0,0
LLCT-L^B01,-0.0238095238095238,0.0,0
FWJL-L^B01,-0.0232558139534884,0.0,0
LNYJ-L^A07,-0.0232558139534883,0.0,0
VPT-L,-0.0220588235294117,0.0,0
FWON-L^G09,-0.021868787276342,0.0,0
LRRH-L^F20,-0.0209205020920503,0.0,0
LJWS-L^K06,-0.0202020202020203,0.0,0
LMCF-L^B99,-0.0198019801980198,0.0,0
LKEA-L^B00,-0.0185185185185184,0.0,0
MOKP-L^G05,-0.0181818181818181,0.0,0
FWXD-L^G16,-0.0174672489082969,0.0,0
LYYS-L^A08,-0.0169491525423729,0.0,0
LNZV-L^L99,-0.016901408450704,0.0,0
LKBE-L,-0.0163934426229508,0.0,0
LRIN-L^D98,-0.0163043478260869,0.0,0
LJXH-L,-0.0162162162162162,0.0,0
FVVT-L,-0.0159680638722554,0.0,0
LXKX-L^A12,-0.0243902439024389,0.0,0
FVTL-L^H98,-0.058282208588957,0.0,0
MQZI-L^F06,-0.024390243902439,0.0,0
LVZR-L^L00,-0.0266666666666667,0.0,0
LMWZ-L,-0.0333333333333334,0.0,0
FWEF-L^F09,-0.0333333333333333,0.0,0
LMYR-L^B00,-0.0324675324675325,0.0,0
LKZP-L^K99,-0.0322580645161291,0.0,0
LXPR-L^J16,-0.032,0.0,0
LOYE-L^G04,-0.0319148936170211,0.0,0
LPHP-L^B00,-0.0317460317460317,0.0,0
MQKT-L^B00,-0.0315789473684209,0.0,0
LJWZ-L^C98,-0.03125,0.0,0
FVUH-L,-0.0303030303030302,0.0,0
LJZX-L^L03,-0.0303030303030301,0.0,0
VDN-L^F99,-0.0300751879699248,0.0,0
FVUV-L^B09,-0.0299295774647887,0.0,0
LWBM-L^I05,-0.0298102981029809,0.0,0
LZZC-L^C05,-0.0291262135922329,0.0,0
LUHT-L^I00,-0.0285714285714285,0.0,0
LWOD-L^E05,-0.0285714285714284,0.0,0
MNMQ-L^I10,-0.0277777777777777,0.0,0
LWM-L,-0.0276260841631865,0.0,0
FWWZ-L^B04,-0.0264150943396226,0.0,0
MOQU-L^K06,-0.0153846153846154,0.0,0
FZCV-L^J06,-0.0614035087719296,0.0,0
LLCF-L^G98,-0.0684931506849314,0.0,0
YOH-L^H98,-0.176470588235294,0.0,0
FYGT-L^L98,-0.1739130434782608,0.0,0
