Firm Name,Momentum_1,Long Short,Cluster Index
QYZH-L^I19,7.833333333333334,0.0,0
RYSQ-L,-0.0569105691056911,0.0,0
XAB-L,-0.0564681724845996,0.0,0
MDSP-L,-0.054054054054054,0.0,0
MGID-L,-0.0537878787878787,0.0,0
LLSU-L,-0.0530348767008778,0.0,0
PRVS-L,-0.0517391304347826,0.0,0
XIR-L,-0.05123010130246,0.0,0
XGU-L,-0.051211681855841,0.0,0
PVQL-L,-0.05,0.0,0
OFJB-L,-0.0492957746478872,0.0,0
NHJE-L,-0.0492180312787486,0.0,0
SCGP-L,-0.0479324894514768,0.0,0
DOS-L,-0.0478260869565217,0.0,0
PLGP-L,-0.0476665834789119,0.0,0
MPYG-L^F22,-0.0466666666666667,0.0,0
FSGT-L,-0.0571428571428571,0.0,0
LUKM-L,-0.0454545454545455,0.0,0
NOJL-L,-0.0571428571428571,0.0,0
LPLI-L,-0.0579710144927535,0.0,0
NTLT-L,-0.0724174653887114,0.0,0
FSUW-L,-0.072289156626506,0.0,0
FWUU-L,-0.0704787083799387,0.0,0
QKGV-L,-0.0704022988505747,0.0,0
PMLW-L,-0.0698113207547169,0.0,0
RYJA-L,-0.0681818181818182,0.0,0
LTCQ-L,-0.067867616254713,0.0,0
XBC-L,-0.0664605873261204,0.0,0
TZE-L,-0.0642054574638846,0.0,0
PSEU-L,-0.0637898686679174,0.0,0
MQZB-L,-0.0634902089077908,0.0,0
FUPV-L,-0.0627760252365929,0.0,0
LKNO-L,-0.0598159509202453,0.0,0
OIPC-L,-0.0591177808094587,0.0,0
QFSS-L,-0.0590551181102362,0.0,0
PQAF-L,-0.0576923076923077,0.0,0
FXCH-L,-0.0451681690413879,0.0,0
FSCD-L,-0.0451127819548873,0.0,0
VJR-L,-0.044784777816452,0.0,0
FTWI-L,-0.026086956521739,0.0,0
RZAY-L,-0.0256723716381418,0.0,0
SBIU-L,-0.0248962655601659,0.0,0
BFRF-L,-0.0246884552080884,0.0,0
FTLK-L,-0.0245989304812834,0.0,0
QFPP-L,-0.0243902439024389,0.0,0
BQRE-L^F23,-0.0230692076228686,0.0,0
PNCS-L,-0.0222222222222222,0.0,0
XJC-L,-0.0214752567693744,0.0,0
FSMN-L,-0.0207868063906545,0.0,0
WZX-L,-0.0204081632653061,0.0,0
NGUM-L^F20,-0.0198019801980198,0.0,0
PKTK-L,-0.018963922294172,0.0,0
ZUQ-L,-0.0140972347731791,0.0,0
LLIZ-L,-0.0114006514657979,0.0,0
