Firm Name,Momentum_1,Long Short,Cluster Index
QZNL_32-L,0.3333333333333335,0.0,0
NGTE_63-L,-0.0937183383991894,0.0,0
NEDG_04-L,-0.0917431192660551,0.0,0
OFWE_54-L,-0.0909090909090908,0.0,0
MSSM_59-L,-0.0849056603773585,0.0,0
LWM_60-L,-0.0839483394833948,0.0,0
BPVK_29-L,-0.0831465974761176,0.0,0
FTSM_Y6-L,-0.0810428975083483,0.0,0
PRKP_28-L,-0.0779220779220779,0.0,0
PXQZ_Z2-L,-0.0714285714285715,0.0,0
QUON_74-L,-0.0952906548933039,0.0,0
PRIF_X5-L,-0.069767441860465,0.0,0
NKVJ_L1-L,-0.0666666666666665,0.0,0
FVMW_11-L,-0.0643253234750462,0.0,0
NRDI_Y5-L^J21,-0.0588235294117647,0.0,0
FVDV_G2-L,-0.056351746208432,0.0,0
QETJ_B2-L,-0.0555555555555554,0.0,0
FVPL_75-L,-0.0555555555555554,0.0,0
PPYV_10-L,-0.0525328330206379,0.0,0
YOP_Z6-L,-0.051685151286745,0.0,0
MOML_G7-L,-0.0434782608695653,0.0,0
SCKZ_K8-L,-0.0691614891874968,0.0,0
BCQF_25-L,-0.0394316894883146,0.0,0
SNRK_Z2-L,-0.1,0.0,0
MQZB_D8-L,-0.1070775610215812,0.0,0
MOHR_B8-L,-0.6333333333333333,0.0,0
NFOY_P5-L,-0.4625550660792952,0.0,0
FXCH_07-L,-0.3318827489941702,0.0,0
SGLS_30-L,-0.308252427184466,0.0,0
QJVU_AK-L,-0.2384105960264901,0.0,0
LUPL_M6-L^K21,-0.2023529411764705,0.0,0
NQZZ_Z1-L,-0.1999999999999998,0.0,0
QJEY_H9-L,-0.1875,0.0,0
FUOT_32-L,-0.1839719818706221,0.0,0
POVD_17-L,-0.1031746031746032,0.0,0
POTM_D5-L,-0.1666666666666666,0.0,0
OJTY_T9-L,-0.1557562076749434,0.0,0
FUZV_95-L^L22,-0.151578947368421,0.0,0
NDVO_Y6-L,-0.1500843170320404,0.0,0
PNGA_94-L,-0.142857142857143,0.0,0
QCMV_50-L,-0.1285714285714285,0.0,0
POKC_99-L,-0.1249999999999998,0.0,0
PKIJ_F6-L,-0.1249999999999998,0.0,0
OFVF_16-L,-0.1153846153846154,0.0,0
PKJG_H4-L,-0.1118881118881118,0.0,0
POLV_82-L,-0.1666666666666666,0.0,0
DMOK_B5-L,-0.032799207352489,0.0,0
QISP_61-L,-0.1721816707218167,0.0,0
LTTR_C0-L,-0.0305843801201528,0.0,0
PLLC_Z2-L,0.0379746835443037,0.0,0
OKXS_04-L,0.0483870967741935,0.0,0
NESU_26-L,0.0545454545454544,0.0,0
NRDY_81-L,0.0588235294117645,0.0,0
LOJT_Z3-L,0.0631767627051407,0.0,0
WYJ_65-L,0.0731707317073171,0.0,0
MPRE_14-L,0.0746887966804978,0.0,0
