Firm Name,Momentum_1,Long Short,Cluster Index
LQNJ_37-L,0.1920731707317073,0.0,0
LZHW_97-L^B03,-0.326923076923077,0.0,0
WAW_S3-L,-0.163751987281399,0.0,0
LQOS_64-L^I16,-0.1616766467065868,0.0,0
LMIU_79-L^I15,-0.0555555555555554,0.0,0
MBDX_27-L,0.0,0.0,0
LTIY_42-L^A22,-0.0666666666666665,0.0,0
LODM_G0-L,0.0172413793103447,0.0,0
MPZC_88-L^D09,0.0370370370370369,0.0,0
FWCO_51-L^K02,0.0588235294117645,0.0,0
LQUL_G7-L,0.0630698022347935,0.0,0
LNDU_17-L^J14,0.0,0.0,0
FSDG_16-L^J21,0.1111111111111111,-0.0,1
FWKQ_L4-L^K06,-0.044378698224852,0.0,1
MORN_72-L^E12,-0.1176470588235295,0.0,2
FSMU_93-L^L09,-0.1250000000000001,0.0,2
FZCK_24-L^B01,-0.1176470588235295,0.0,2
FTOH_K0-L,-0.2553191489361702,0.0,2
LRUY_15-L^A01,-0.0909090909090908,-0.0,2
MNOD_69-L^E02,-0.0113636363636363,-0.0,2
FTJF_28-L^H05,-0.0933333333333332,-0.0,2
FSRQ_13-L^E09,-0.078125,0.0,3
MCCY_05-L^A19,-0.0799396681749623,0.0,3
LTBW_29-L^C15,-0.0799999999999999,0.0,3
LTDU_09-L^I03,-0.0799999999999999,0.0,3
FTYS_87-L^A02,-0.08,0.0,3
DLY_Y2-L^F16,-0.0804597701149425,0.0,3
WYM_82-L,-0.0805860805860806,0.0,3
FTHF_97-L,-0.081081081081081,0.0,3
MBWC_19-L^H08,-0.0810810810810811,0.0,3
LQYL_05-L^E06,-0.0821917808219176,0.0,3
LQRY_47-L^J20,-0.0833333333333332,0.0,3
LWNF_29-L,-0.0833333333333333,0.0,3
LLAI_32-L^A12,-0.0836653386454183,0.0,3
FSVZ_N1-L,-0.0841584158415841,0.0,3
FSRC_60-L^I04,-0.0851063829787234,0.0,3
FUIR_X0-L,-0.0852713178294574,0.0,3
FSAL_64-L,-0.0857142857142856,0.0,3
FSDJ_J4-L,-0.0774410774410774,0.0,3
FVTK_68-L^H06,-0.0833333333333332,0.0,3
LULR_10-L,-0.0769230769230769,0.0,3
FTQA_00-L,-0.0740740740740741,0.0,3
FSDU_19-L^I02,-0.0769230769230769,0.0,3
MOLE_93-L^B19,-0.0714285714285712,0.0,3
FTHX_01-L^E20,-0.0714285714285714,0.0,3
FUMF_38-L^G02,-0.0714285714285715,0.0,3
LQNR_80-L^L08,-0.0714285714285715,0.0,3
LZNX_41-L^F01,-0.0714285714285715,0.0,3
LYYS_82-L^A08,-0.072,0.0,3
MSBZ_52-L^D14,-0.072,0.0,3
FTTG_39-L,-0.0727272727272727,0.0,3
LPIG_05-L^L03,-0.0769230769230769,0.0,3
FUBX_Q0-L^D09,-0.073170731707317,0.0,3
FSBO_P7-L^J07,-0.0857142857142857,0.0,3
LKYH_06-L^F03,-0.0742574257425742,0.0,3
FTNC_74-L^I02,-0.0743243243243242,0.0,3
FSXN_M8-L,-0.0747663551401869,0.0,3
LQVY_49-L^E11,-0.0748502994011975,0.0,3
FSEW_07-L,-0.0749999999999998,0.0,3
FWNV_96-L^G02,-0.0749999999999998,0.0,3
FSAX_41-L^B05,-0.0764331210191083,0.0,3
FTGM_05-L^B22,-0.0739607243050242,0.0,3
FTOE_84-L^L06,-0.0859375000000001,0.0,3
FSUE_08-L,-0.0926640926640925,0.0,3
MONZ_16-L^L02,-0.0869565217391304,0.0,3
FSLE_G9-L,-0.0995792426367461,0.0,3
MCTZ_06-L^J11,-0.0998735777496839,0.0,3
LPFL_58-L^A05,-0.0999999999999999,0.0,3
WWA_04-L^D09,-0.1013443640124095,0.0,3
LTDO_04-L^A03,-0.1016949152542372,0.0,3
LZZC_46-L^C05,-0.1016949152542372,0.0,3
NLY_Z9-L^I09,-0.1025895316804408,0.0,3
DPXL_94-L,-0.1028708133971291,0.0,3
LQVD_82-L^J07,-0.0990453460620526,0.0,3
FUDQ_82-L^H07,-0.1031746031746032,0.0,3
MQGF_85-L^E05,-0.1052631578947368,0.0,3
LLCJ_97-L^K06,-0.1056338028169013,0.0,3
LWGF_59-L^I03,-0.1058394160583943,0.0,3
MONE_35-L^J15,-0.106715731370745,0.0,3
FTOQ_09-L^A05,-0.1075268817204302,0.0,3
LYRY_02-L,-0.108108108108108,0.0,3
FRZJ_44-L,-0.1081081081081082,0.0,3
BBTU_63-L^C18,-0.1087786259541985,0.0,3
LZZT_51-L^I02,-0.1052631578947368,0.0,3
MQXV_40-L^A06,-0.098901098901099,0.0,3
FTOG_39-L^B08,-0.098901098901099,0.0,3
FSHK_54-L,-0.0985915492957746,0.0,3
LRHF_85-L^A05,-0.0879120879120879,0.0,3
FSHC_81-L^H08,-0.088235294117647,0.0,3
MOKP_09-L^G05,-0.088235294117647,0.0,3
MPDV_23-L^F07,-0.088235294117647,0.0,3
FTDO_30-L,-0.0887096774193548,0.0,3
FTBY_C7-L,-0.0888099467140319,0.0,3
LTDS_06-L,-0.088888888888889,0.0,3
LNWZ_T6-L^G12,-0.0918367346938775,0.0,3
LNHD_R1-L^A09,-0.0704225352112675,0.0,3
LTHV_57-L^I01,-0.0930232558139534,0.0,3
FSAJ_L2-L,-0.0943396226415094,0.0,3
MOOK_52-L^H18,-0.094488188976378,0.0,3
LQNF_R2-L^E23,-0.0945054945054943,0.0,3
LLAG_97-L^B10,-0.0952380952380952,0.0,3
FWWZ_30-L^B04,-0.0958083832335329,0.0,3
LKKB_22-L^L16,-0.0958333333333333,0.0,3
MCGR_54-L^J19,-0.0962800875273524,0.0,3
MQWF_93-L,-0.0962962962962963,0.0,3
FSAM_T0-L,-0.0973782771535579,0.0,3
FSCL_62-L^F06,-0.0869565217391304,0.0,3
FSPV_34-L^H06,-0.0699088145896656,0.0,3
FSME_32-L^G03,-0.0660377358490565,0.0,3
FSWD_60-L^I15,-0.0693333333333332,0.0,3
FVSZ_60-L,-0.0454545454545454,0.0,3
FZCV_78-L^I06,-0.0454545454545455,0.0,3
LPTA_36-L^B02,-0.0461538461538462,0.0,3
LYBL_69-L^F01,-0.0461538461538462,0.0,3
FTWG_42-L,-0.0462962962962962,0.0,3
FVVT_39-L,-0.046487603305785,0.0,3
LKPB_01-L^J12,-0.0471204188481674,0.0,3
LOIF_35-L^F18,-0.0476190476190475,0.0,3
LPGU_S9-L^G22,-0.0451977401129943,0.0,3
FRZW_02-L^H07,-0.0476190476190476,0.0,3
FSDW_08-L^B17,-0.0494699646643109,0.0,3
FTAK_00-L,-0.05,0.0,3
FTVA_51-L,-0.05,0.0,3
LTEF_96-L^I10,-0.05,0.0,3
LYBM_98-L,-0.0505050505050505,0.0,3
LUKZ_70-L^D03,-0.0517647058823529,0.0,3
FZDF_52-L^G02,-0.0520833333333332,0.0,3
LZOQ_40-L^J03,-0.0522388059701492,0.0,3
LWMD_90-L^F04,-0.0490196078431373,0.0,3
LKED_19-L^L15,-0.044776119402985,0.0,3
SZI_08-L^H07,-0.0446650124069479,0.0,3
FSBR_F1-L,-0.0445859872611464,0.0,3
FSUX_S9-L^A11,-0.0392156862745096,0.0,3
LQOX_C6-L^H07,-0.0392156862745097,0.0,3
LQUZ_X0-L,-0.0394577909005504,0.0,3
FTAG_01-L,-0.0399999999999999,0.0,3
FTPT_07-L^D03,-0.0405405405405405,0.0,3
LLOR_22-L,-0.0414746543778801,0.0,3
FVVG_20-L^D04,-0.0422535211267603,0.0,3
LROS_40-L,-0.0425531914893616,0.0,3
FWJQ_58-L^I05,-0.0426356589147286,0.0,3
FZCU_68-L^F06,-0.0430528375733856,0.0,3
MQFB_07-L,-0.0432432432432432,0.0,3
FTPI_91-L,-0.043478260869565,0.0,3
MBAL_62-L^C20,-0.043478260869565,0.0,3
LQNE_57-L^I14,-0.0434782608695653,0.0,3
LXYG_99-L^K06,-0.0434782608695653,0.0,3
LTHY_66-L^H01,-0.0439024390243901,0.0,3
LZOS_22-L,-0.0441176470588235,0.0,3
BBXK_89-L^E06,-0.0441767068273093,0.0,3
FUIS_60-L^H07,-0.0444444444444445,0.0,3
LULV_56-L^B05,-0.0526315789473682,0.0,3
LQNN_38-L^J00,-0.0693877551020409,0.0,3
LZXW_04-L,-0.0526315789473684,0.0,3
LZHV_80-L^H10,-0.054054054054054,0.0,3
FVUV_44-L^B09,-0.0625,0.0,3
LTIK_93-L^C01,-0.0625,0.0,3
MOOT_00-L^B03,-0.0625,0.0,3
DOS_59-L,-0.0634674922600619,0.0,3
FSZD_06-L^D15,-0.0636704119850186,0.0,3
LNRL_20-L^A06,-0.0641509433962264,0.0,3
FTNS_87-L,-0.0645161290322581,0.0,3
MQVH_61-L,-0.0655172413793103,0.0,3
MCTW_39-L^J05,-0.0624999999999998,0.0,3
LRMS_89-L^E09,-0.0656716417910447,0.0,3
LQUU_62-L^E07,-0.0666666666666665,0.0,3
LRIW_74-L^G06,-0.0666666666666665,0.0,3
LQIR_26-L^L06,-0.0666666666666667,0.0,3
LQXG_10-L^G04,-0.0677083333333332,0.0,3
FWSC_44-L^A01,-0.0681818181818182,0.0,3
FSCH_T9-L^K09,-0.0683229813664596,0.0,3
FVGB_04-L^G04,-0.0687679083094556,0.0,3
FVSF_03-L^A11,-0.0689655172413792,0.0,3
LTEG_60-L,-0.1090909090909091,0.0,3
LPHR_71-L^K08,-0.0617283950617284,0.0,3
UEM_23-L^F05,-0.0614250614250615,0.0,3
FSDV_69-L^F19,-0.0603670559684514,0.0,3
MOOY_46-L^B02,-0.054054054054054,0.0,3
FUBH_07-L^B06,-0.0555555555555554,0.0,3
MBPF_59-L,-0.0555555555555554,0.0,3
MOQA_21-L^A02,-0.0555555555555554,0.0,3
FTCZ_56-L,-0.0559139784946237,0.0,3
FTTO_38-L,-0.0566037735849057,0.0,3
LTCA_73-L^B03,-0.0568181818181817,0.0,3
FSQE_25-L^E07,-0.0573770491803279,0.0,3
LMKV_52-L^J05,-0.0575916230366491,0.0,3
FVSW_03-L^I01,-0.0578512396694215,0.0,3
FVUB_73-L^G10,-0.0583941605839416,0.0,3
FSBE_14-L^A03,-0.0588235294117647,0.0,3
FTHC_39-L^K08,-0.0588235294117647,0.0,3
MOMY_13-L^B02,-0.0588235294117647,0.0,3
MONX_05-L^F03,-0.0588235294117647,0.0,3
FSWY_S4-L,-0.0590667454223272,0.0,3
BALZ_07-L^I10,-0.0594059405940594,0.0,3
FWKZ_24-L^C13,-0.0597014925373134,0.0,3
FSHU_94-L,-0.059880239520958,0.0,3
LZZW_75-L^K03,-0.0531914893617021,0.0,3
BKLI_06-L^K01,-0.111111111111111,0.0,3
DRNQ_D0-L^A11,-0.1128865979381442,0.0,3
MOOJ_60-L^J01,-0.111111111111111,0.0,3
LRIY_22-L^L06,-0.1944444444444445,1.0,3
LTCC_07-L^D07,-0.195219123505976,1.0,3
FSLV_X2-L^J11,-0.196687370600414,1.0,3
FRZX_33-L^J08,-0.1970037453183519,1.0,3
FUUI_N6-L^E12,-0.1984478935698447,1.0,3
FTIL_01-L^J02,-0.1999999999999999,1.0,3
LLVM_66-L,-0.2,1.0,3
FSIY_W8-L^C09,-0.2046970136271383,1.0,3
MOKV_89-L^K12,-0.1936619718309858,1.0,3
LNYI_Z4-L^C10,-0.2054054054054054,1.0,3
LOMY_K2-L^D20,-0.2109090909090909,1.0,3
LQSF_86-L,-0.2109375,1.0,3
BWQW_65-L^I10,-0.2119815668202764,1.0,3
FTQX_59-L^F08,-0.2121212121212121,1.0,3
VPT_B4-L,-0.2125984251968504,1.0,3
FTIC_M8-L^B14,-0.2127659574468084,1.0,3
LKXI_70-L^J01,-0.2142857142857143,1.0,3
ISS_97-L^L07,-0.2148337595907928,1.0,3
LRMN_M3-L,-0.2093023255813954,1.0,3
FSVI_23-L^B17,-0.21875,1.0,3
LZNJ_16-L^K06,-0.1935483870967741,1.0,3
LKGM_73-L,-0.1919999999999999,1.0,3
FTTX_H2-L,-0.1724137931034483,0.0,3
FVZE_27-L^A22,-0.1734245236932095,0.0,3
LXUA_56-L^B13,-0.1744011976047904,0.0,3
FRZE_49-L^H02,-0.1755725190839694,1.0,3
MNMQ_24-L^I10,-0.176470588235294,1.0,3
LXXV_95-L,-0.1781914893617021,1.0,3
LTCS_63-L^K06,-0.1808510638297872,1.0,3
LOIR_08-L,-0.1818181818181817,1.0,3
LTBV_69-L^A03,-0.1923076923076924,1.0,3
FSUM_19-L^D21,-0.1830065359477124,1.0,3
LPLR_83-L^A04,-0.1842105263157895,1.0,3
LULZ_37-L^F19,-0.1862745098039215,1.0,3
MCHD_84-L^B04,-0.1864406779661016,1.0,3
LRRH_10-L^F20,-0.1875,1.0,3
FSAZ_22-L^J03,-0.1889400921658985,1.0,3
LRPQ_67-L^L03,-0.188953488372093,1.0,3
LTDJ_75-L^E07,-0.1890243902439023,1.0,3
LZZR_20-L^L01,-0.1904761904761903,1.0,3
LLAZ_34-L^L03,-0.1833333333333332,1.0,3
FWJG_10-L^I06,-0.2222222222222221,1.0,3
FSMQ_X4-L^F21,-0.223091976516634,1.0,3
LXXX_31-L^D09,-0.231578947368421,1.0,3
LTGY_56-L^I11,-0.271186440677966,1.0,3
LULI_60-L,-0.2999999999999999,1.0,3
LTCN_99-L,-0.3018181818181819,1.0,3
LJZZ_94-L^L11,-0.3018867924528302,1.0,3
MNMN_75-L^G06,-0.3107476635514018,1.0,3
MPSB_32-L^I07,-0.3174603174603174,1.0,3
LPIJ_89-L^A05,-0.3333333333333332,1.0,3
LTCF_88-L^K00,-0.3333333333333332,1.0,3
FSCO_P5-L^A08,-0.2707493956486704,1.0,3
MSRX_77-L^I04,-0.3372549019607843,1.0,3
FTLU_07-L^E02,-0.375,1.0,3
FVFC_53-L^G02,-0.3928571428571429,1.0,3
BCQE_67-L^A14,-0.4390721986278993,1.0,3
FUCZ_49-L^L02,-0.52,1.0,3
FRZQ_54-L^K00,-0.5833333333333333,1.0,3
MPGF_88-L^J04,-0.7333333333333334,1.0,3
LLWK_Y4-L^E09,-0.7412587412587412,1.0,3
FSTO_42-L^J00,-0.75,1.0,3
VHS_25-L^A04,-0.3416149068322982,1.0,3
FVHC_49-L^A06,-0.2624113475177305,1.0,3
FSRS_45-L,-0.2619047619047618,1.0,3
LNUP_82-L,-0.2608695652173912,1.0,3
FSJQ_07-L^A06,-0.2364217252396165,1.0,3
YIE_96-L^E16,-0.2374213836477988,1.0,3
LLIH_60-L^E08,-0.2376237623762376,1.0,3
LZXM_66-L^C09,-0.24,1.0,3
LLSV_15-L,-0.2410714285714287,1.0,3
VBA_B9-L^C13,-0.2415458937198067,1.0,3
FTIM_56-L^A05,-0.2421875,1.0,3
LQTC_61-L^C02,-0.2426303854875283,1.0,3
NVJ_39-L^G03,-0.2443181818181817,1.0,3
LUGA_62-L^I01,-0.2450980392156863,1.0,3
LMGN_43-L^D23,-0.2461538461538461,1.0,3
ION_16-L^A02,-0.25,1.0,3
LQOL_12-L^C03,-0.25,1.0,3
LQXS_X2-L^K16,-0.25,1.0,3
MOLJ_97-L^F06,-0.25,1.0,3
MORB_X0-L,-0.2504725897920605,1.0,3
BBIO_50-L^J00,-0.2537562604340568,1.0,3
MPET_13-L^C02,-0.2555555555555555,1.0,3
FYUT_L0-L,-0.2573426573426575,1.0,3
FUCW_H9-L,-0.1717791411042943,0.0,3
LMHU_17-L,-0.1699029126213592,0.0,3
FSVT_07-L,-0.169811320754717,0.0,3
LQXE_97-L^K11,-0.1692307692307691,0.0,3
LLKY_68-L,-0.1219512195121951,0.0,3
MCDD_74-L,-0.1219512195121951,0.0,3
FZAT_04-L^J09,-0.1226415094339622,0.0,3
FURR_39-L^F08,-0.1242078580481621,0.0,3
FWQS_10-L,-0.1249999999999998,0.0,3
LQPH_45-L^C06,-0.1250000000000001,0.0,3
FTBK_21-L,-0.1286919831223629,0.0,3
FTKU_11-L,-0.1287128712871287,0.0,3
FSYG_05-L^J08,-0.1216931216931217,0.0,3
LZMT_35-L^D06,-0.1287425149700598,0.0,3
FSFM_82-L,-0.1303680981595091,0.0,3
FTDE_64-L^I02,-0.1304347826086956,0.0,3
LQSN_80-L,-0.1313131313131312,0.0,3
FTWC_87-L^B06,-0.1313559322033898,0.0,3
LJZS_17-L^H04,-0.1318681318681318,0.0,3
BCYN_75-L^D01,-0.1325556733828208,0.0,3
LWFX_41-L,-0.1328124999999999,0.0,3
MOLQ_85-L^J07,-0.1328671328671328,0.0,3
MOLZ_55-L,-0.129032258064516,0.0,3
LTCQ_47-L,-0.1212121212121213,0.0,3
LQGR_56-L^K04,-0.1212121212121213,0.0,3
FTSS_80-L,-0.1210191082802548,0.0,3
BUNQ_03-L^K12,-0.1111111111111111,0.0,3
FSXE_80-L,-0.1111111111111111,0.0,3
LPCU_96-L^F07,-0.1111111111111111,0.0,3
LQVL_J4-L^L09,-0.1111111111111111,0.0,3
LLVY_05-L,-0.11144578313253,0.0,3
FTPD_57-L^E01,-0.1123595505617978,0.0,3
FTEN_42-L^B01,-0.1124260355029586,0.0,3
FTWF_69-L^D08,-0.0386363636363635,0.0,3
FSPK_05-L^G03,-0.1129032258064515,0.0,3
LLIM_05-L^C08,-0.1132075471698114,0.0,3
MABU_45-L^H09,-0.1140350877192981,0.0,3
FZAM_40-L^C06,-0.1162790697674418,0.0,3
LQYK_79-L^K16,-0.1162790697674418,0.0,3
URC_45-L^H14,-0.1173184357541898,0.0,3
FVBT_83-L,-0.1176470588235294,0.0,3
FZEM_68-L^D01,-0.1176470588235294,0.0,3
FSLO_06-L^E10,-0.1176470588235295,0.0,3
FVDH_40-L^H04,-0.1176470588235295,0.0,3
FSCG_57-L^F03,-0.12,0.0,3
FSFF_18-L^I02,-0.1333333333333333,0.0,3
LQGG_25-L^A09,-0.111111111111111,0.0,3
MBMF_02-L^L00,-0.1333333333333333,0.0,3
LULF_34-L^B07,-0.1347305389221555,0.0,3
FTJK_00-L,-0.1557017543859647,0.0,3
DOQX_41-L^J16,-0.1561338289962824,0.0,3
FVOM_51-L^C01,-0.1562499999999999,0.0,3
LWBM_78-L^I05,-0.156578947368421,0.0,3
LZME_09-L^L01,-0.1565891472868217,0.0,3
FSNN_62-L^F05,-0.1568627450980392,0.0,3
LOEB_34-L^G12,-0.1598173515981735,0.0,3
LZWR_14-L^C01,-0.16,0.0,3
FTUN_07-L^I04,-0.1512820512820513,0.0,3
LWWB_49-L^C04,-0.160919540229885,0.0,3
MBDV_28-L^E06,-0.1635514018691588,0.0,3
MQZI_72-L^F06,-0.1636363636363637,0.0,3
LQRZ_17-L^E05,-0.1637055837563451,0.0,3
FTMO_13-L^G06,-0.1666666666666666,0.0,3
FUEY_93-L^H15,-0.1666666666666666,0.0,3
LXTM_08-L^H01,-0.1666666666666666,0.0,3
MOLX_03-L^G19,-0.1666666666666666,0.0,3
FWQO_33-L^K18,-0.1677160847166571,0.0,3
LNWC_76-L^E05,-0.1617647058823528,0.0,3
MORA_39-L^K15,-0.15,0.0,3
MCCI_17-L^J07,-0.1484375,0.0,3
LMHP_13-L^F02,-0.1479591836734693,0.0,3
FSJV_53-L^B01,-0.1351351351351351,0.0,3
BUBP_92-L^K18,-0.1359060402684563,0.0,3
LLQP_69-L^G09,-0.1363636363636363,0.0,3
LZNT_72-L^C08,-0.1363636363636363,0.0,3
CWV_20-L^I06,-0.1380000000000001,0.0,3
FTHD_44-L,-0.1385542168674699,0.0,3
FTKK_08-L^H01,-0.1388888888888888,0.0,3
FUKE_88-L^G06,-0.1388888888888889,0.0,3
MCUA_38-L^I08,-0.1428571428571428,0.0,3
LQNP_98-L^J08,-0.1428571428571429,0.0,3
LQUO_58-L^I16,-0.1428571428571429,0.0,3
FSIV_B3-L^H15,-0.144927536231884,0.0,3
FTFY_S0-L^J09,-0.144927536231884,0.0,3
MNOI_49-L^A04,-0.1451612903225806,0.0,3
FVUA_50-L,-0.1463414634146341,0.0,3
LKBE_08-L,-0.1463414634146341,0.0,3
FTMS_64-L,-0.1469609388684533,0.0,3
VPZ_06-L^F18,-0.1472471190781049,0.0,3
MBMW_F3-L,-0.1477572559366754,0.0,3
MCDA_09-L^D18,-0.1346153846153845,0.0,3
LWQQ_46-L^L09,-0.0384615384615385,0.0,3
LJWT_19-L^G13,-0.0344827586206895,-0.0,3
FVPB_77-L^B03,-0.0374064837905236,-0.0,3
LQIU_44-L^A01,0.0576923076923077,-0.0,3
FSBU_72-L^C20,0.0555555555555555,-0.0,3
LOYE_09-L^G04,0.0555555555555555,-0.0,3
LJXH_88-L,0.0548523206751054,-0.0,3
FVVM_61-L^D02,0.053297199638663,-0.0,3
BBOU_00-L,0.051993067590988,-0.0,3
MBOY_74-L^K21,0.0519480519480519,-0.0,3
MQFQ_13-L^B07,0.0517241379310344,-0.0,3
MOKZ_41-L^K00,0.058139534883721,-0.0,3
LKTQ_Y7-L,0.0508474576271187,-0.0,3
LZOO_77-L^J22,0.0503597122302157,-0.0,3
LOKI_30-L,0.05,-0.0,3
FTVK_52-L^H05,0.049122807017544,-0.0,3
FUEW_86-L,0.0485933503836315,-0.0,3
LXGK_40-L,0.0459770114942528,-0.0,3
LQYD_41-L^D07,0.0454545454545454,-0.0,3
LQNV_23-L^L18,0.0451612903225806,-0.0,3
FURT_89-L,0.0437956204379561,-0.0,3
MSRF_56-L^E02,0.0507177033492824,-0.0,3
LOGQ_06-L^F05,0.0416666666666667,-0.0,3
MOLD_05-L^I07,0.0588235294117645,-0.0,3
FTPZ_05-L^F15,0.059090909090909,-0.0,3
LOHV_12-L^E06,0.0735294117647058,-0.0,3
FXMN_35-L^K00,0.0714285714285714,-0.0,3
LOVR_69-L^F09,0.0714285714285714,-0.0,3
LZXC_79-L^B09,0.0693877551020407,-0.0,3
LQOU_31-L^F09,0.0693069306930693,-0.0,3
LZZD_B5-L,0.0689655172413794,-0.0,3
MSDN_38-L^C03,0.0686274509803921,-0.0,3
MPRA_K7-L^G03,0.0666666666666668,-0.0,3
LQGQ_02-L^F03,0.0588235294117647,-0.0,3
FTSJ_24-L,0.0666666666666666,-0.0,3
MOPD_04-L^G08,0.0661764705882352,-0.0,3
FSJK_29-L,0.0652173913043479,-0.0,3
LUIM_08-L^I01,0.0649350649350648,-0.0,3
MBEC_71-L,0.0643564356435644,-0.0,3
LQQR_30-L^E05,0.0625,-0.0,3
FSIG_05-L^E18,0.0617283950617282,-0.0,3
LTIB_11-L,0.06,-0.0,3
FRYP_57-L^G05,0.0595611285266457,-0.0,3
MNNR_77-L^I01,0.0666666666666666,-0.0,3
FTVF_02-L,0.0410958904109588,-0.0,3
LXUH_C1-L,0.04,-0.0,3
LTCL_39-L^F08,0.0398322851153041,-0.0,3
FVTW_80-L^H21,0.028169014084507,-0.0,3
HRG_P6-L,0.0272247054043073,-0.0,3
LZQS_26-L^C12,0.0270270270270269,-0.0,3
FTZG_24-L^A06,0.0265306122448978,-0.0,3
LKOM_50-L^K14,0.0263157894736842,-0.0,3
MCCP_28-L^I03,0.0263157894736842,-0.0,3
LQXK_00-L,0.0256410256410257,-0.0,3
MCQU_69-L^L05,0.0256410256410257,-0.0,3
FTHI_24-L^A01,0.028169014084507,-0.0,3
