Firm Name,Momentum_1,Long Short,Cluster Index
BKGH.L,0.0,0,1
COA.L,0.0,0,1
TNS.L^K08,0.0,0,2
ANTO.L,0.0,0,3
AEGI.L^I93,0.0,0,4
BWY.L,0.0,0,4
RTO.L,0.0,0,4
HLMA.L,0.0,0,5
PSN.L,0.0,0,6
MAJE.L,0.0,0,7
WNER.L^H13,0.0,0,8
AGA.L^I15,0.0,0,9
DINT.L^I12,0.0,0,9
EMI.L^I07,0.0,0,10
BDEV.L,0.0,0,11
CRDA.L,0.0,0,11
FSJ.L,0.0,0,11
NXT.L,0.0,0,11
RKT.L,0.0,0,11
ROR.L,0.0,0,11
RSW.L,0.0,0,11
RTN.L,0.0,0,11
SMDS.L,0.0,0,11
WEIR.L,0.0,0,11
ABF.L,0.0,0,12
AIE.L^H15,0.0,0,12
AMFW.L^J17,0.0,0,12
APTD.L,0.0,0,12
AV.L,0.0,0,12
AVON.L,0.0,0,12
BAES.L,0.0,0,12
BARC.L,0.0,0,12
BATS.L,0.0,0,12
BBAL.L^I93,0.0,0,12
BLND.L,0.0,0,12
BNZL.L,0.0,0,12
BP.L,0.0,0,12
BRAM.L^B17,0.0,0,12
BRSN.L^I17,0.0,0,12
BT.L,0.0,0,12
BWNG.L,0.0,0,12
BWTR.L^G93,0.0,0,12
CAME.L,0.0,0,12
CBRO.L,0.0,0,12
COSG.L,0.0,0,12
CRGT.L,0.0,0,12
CSRT.L^C20,0.0,0,12
DLAR.L,0.0,0,12
DXNS.L^H14,0.0,0,12
ELM.L,0.0,0,12
FADV.L^G00,0.0,0,12
GFRD.L,0.0,0,12
GKNL.L^G93,0.0,0,12
GLEG.L,0.0,0,12
GPEG.L,0.0,0,12
GSK.L,0.0,0,12
HARJq.L^A12,0.0,0,12
HMSO.L,0.0,0,12
ICAG.L,0.0,0,12
IHG.L,0.0,0,12
IMI.L,0.0,0,12
INCH.L,0.0,0,12
JMAT.L,0.0,0,12
JSG.L,0.0,0,12
KCT.L,0.0,0,12
KGF.L,0.0,0,12
LAND.L,0.0,0,12
LEYL.L^I93,0.0,0,12
LGEN.L,0.0,0,12
LLOY.L,0.0,0,12
LMI.L^F19,0.0,0,12
LRD.L^G18,0.0,0,12
LWDB.L,0.0,0,12
MACF.L,0.0,0,12
MEGPM.L,0.0,0,12
MGAMM.L,0.0,0,12
MKS.L,0.0,0,12
MPAC.L,0.0,0,12
MRW.L^J21,0.0,0,12
MSLH.L,0.0,0,12
MSTL.L,0.0,0,12
NARS.L^F15,0.0,0,12
NICL.L,0.0,0,12
NW.L^G93,0.0,0,12
NXR.L,0.0,0,12
OCN.L,0.0,0,12
OXIG.L,0.0,0,12
PFL.L^J16,0.0,0,12
PRU.L,0.0,0,12
PSON.L,0.0,0,12
PZC.L,0.0,0,12
RCDO.L,0.0,0,12
RCH.L,0.0,0,12
REL.L,0.0,0,12
RIO.L,0.0,0,12
RNK.L,0.0,0,12
RS1R.L,0.0,0,12
SBRY.L,0.0,0,12
SCPA.L^D21,0.0,0,12
SDR.L,0.0,0,12
SGRO.L,0.0,0,12
SIG.L^C16,0.0,0,12
SIXH.L,0.0,0,12
SN.L,0.0,0,12
SNR.L,0.0,0,12
SPT.L,0.0,0,12
SPX.L,0.0,0,12
STAN.L,0.0,0,12
STVG.L,0.0,0,12
SUN.L^G96,0.0,0,12
SYNTS.L,0.0,0,12
TATE.L,0.0,0,12
TOWNT.L,0.0,0,12
TPK.L,0.0,0,12
TSCO.L,0.0,0,12
TSTT.L,0.0,0,12
TW.L,0.0,0,12
VANQ.L,0.0,0,12
VIDV.L,0.0,0,12
VLX.L,0.0,0,12
VSVS.L,0.0,0,12
WOHL.L^G93,0.0,0,12
WTAN.L,0.0,0,12
SMWH.L,0.0,0,13
DGE.L,0.0,0,14
WPP.L,0.0,0,15
FOUR.L,0.0,0,16
SMIN.L,0.0,0,17
LADB.L^E99,0.0,0,18
WTB.L,0.0,0,19
ESP.L^I02,0.0,0,20
WHSO.L^F97,0.0,0,21
BID.L^G04,0.0,0,22
MTC.L^B99,0.0,0,22
TNSL.L^H98,0.0,0,22
0LOG.L^J12,0.0,0,23
ABP.L^H06,0.0,0,23
ACH.L^H00,0.0,0,23
ACOL.L^E98,0.0,0,23
ADWL.L^I93,0.0,0,23
AGDA.L^I14,0.0,0,23
