Firm Name,Momentum_1,Long Short,Cluster Index
0QY1.L^A17,-8.528112548111558,0,0
PTV.L^C16,-8.511637890143376,0,0
MTVE.L^C16,-8.429807824053745,0,0
JUB.L^K15,-8.369480148022644,0,0
JOG.L,-8.260787955899708,0,0
TRIN.L,-8.245682312392004,0,0
BOSB.L^C18,-8.226665861642392,0,0
PXEN.L,-8.173647334312694,0,0
RRR.L,-8.114141207811045,0,0
AVGRq.L,-8.068645522548675,0,0
GPX.L^D18,-8.06425709754703,0,0
NYO.L^I17,-8.046986788784123,0,0
NWRR.L^G18,-8.002123033419206,0,0
ALPHA.L^G18,-7.9533044830333095,0,0
IFL.L^B19,-7.909828117098428,0,0
ALOE.L^G17,-7.872299408723904,0,0
APREN.L^B16,-7.866536228361054,0,0
SBLM.L^J16,-7.854678757830976,0,0
0HI8.L^G20,-7.8439122706638775,0,0
LOGP.L,-7.798341751679333,0,0
CRCL.L,-7.796656570459636,0,0
LMI.L^F19,-7.79167183239188,0,0
SMAS.L^A18,-7.78772542174915,0,0
IBPO.L^E23,-7.721816699358114,0,0
TOWR.L,-7.684008311726706,0,0
ECHOE.L,-7.683836499357186,0,0
EBIVE.L^G16,-7.683336724777199,0,0
SPGH.L^I16,-7.680376944615434,0,0
KEA.L^K15,-7.635618424990471,0,0
NUOG.L^E21,-7.631818139858413,0,0
TJIu.L^L17,-7.629464726070247,0,0
ZIOC.L,-7.619632015297189,0,0
LVCG.L,-7.60717653401506,0,0
SER.L^K15,-7.5998417401338445,0,0
MNC.L^J18,-7.582511803752264,0,0
THRL.L,-7.561586199269894,0,0
SLEN.L,-7.526575274215374,0,0
IRFE.L^A21,-7.512597059543459,0,0
ASCR.L,-7.437908208539517,0,0
SMLP.L,-7.426140022437124,0,0
NOVARE.L^F16,-7.42322422134282,0,0
PGD.L^G19,-7.415651088152901,0,0
MONI.L^I17,-7.415201030043763,0,0
CMBC.L,-7.405521458209803,0,0
GEECq.L,-7.39881587641438,0,0
SOSS.L,-7.331056366056408,0,0
CSFG.L^B19,-7.321010661467722,0,0
WETI.L^I18,-7.297427534339483,0,0
UFO.L,-7.289148767870256,0,0
KMR.L,-7.274148032828616,0,0
KEMK.L^J18,-7.271098772226049,0,0
TOME.L,-7.270694334177436,0,0
KSK.L,-7.253236922432638,0,0
CAZA.L^E16,-7.249430240341704,0,0
SGNS.L^F23,-7.2475274960386304,0,0
HARL.L,-7.23581889440529,0,0
EEEE.L,-7.228248459358259,0,0
RUR.L,-7.226673010687132,0,0
GGPL.L,-7.2239139800051015,0,0
FTC.L,-7.2100875044577535,0,0
BSTH.L,-7.208233085880273,0,0
SRSP.L^H19,-7.20484927636496,0,0
ZIN.L,-7.203214903213023,0,0
STELD.L^D18,-7.171160966569993,0,0
INSP.L,-7.161331443749018,0,0
ARCMA.L,-7.153256221267322,0,0
HUNH.L^A17,-7.150245450522579,0,0
MOSE.L,-7.108297323272984,0,0
INDII.L,-7.1065668678242115,0,0
BZM.L^A19,-7.102112939114994,0,0
EAAS.L,-7.095675178597455,0,0
POLO.L^J20,-7.07138253841044,0,0
CABC.L^L19,-7.056510178422677,0,0
BZT.L,-7.056508393990447,0,0
EQTE.L,-7.042342025907024,0,0
