Firm Name,Momentum_1,Long Short,Cluster Index
WETI.L^I18,-0.1641791087234094,0,0
TRK.L^C18,-0.1142857091552075,0,0
FIB.L^K06,-0.0675675675675675,0,0
FGN.L^G10,-0.0621761658031088,0,0
ZOLq.L^B22,-0.0574712643678161,0,0
HYWD.L^J09,-0.0492957746478873,0,0
SARSS.L^B16,-0.048780487804878,0,0
SPHN.L,-0.048780487804878,0,0
BMPSq.L^K07,-0.035778175313059,0,0
HWPq.L^K07,-0.0262237762237762,0,0
HEP.L^D11,-0.0238095345911927,0,0
HARV.L^L18,-0.021978021978022,0,0
AMER.L^A20,-0.0177304964539006,0,0
BAERq.L^K07,-0.0084602368866327,0,0
APCL.L^K19,0.0,0,0
MDEH.L^A08,0.0,0,0
AVE.L^J11,0.0,0,0
ESY.L^B06,0.0043227665706051,0,0
BAE.L^D15,0.0073529411764705,0,0
AMNX.L,0.0086206896551723,0,0
BPFU_u.L,0.0099173553719007,0,0
SXS.L,0.0184887459807074,0,0
GFS.L^E21,0.018987341772152,0,0
HIF.L^L09,0.0208333333333332,0,0
FSG.L^B11,0.024390243902439,0,0
TFL.L^J13,0.0256410256410255,0,0
DMP1.L^A12,0.0285714598648607,0,0
MNKS.L,0.0289296046287368,0,0
SCHNq.L^K07,0.0368073614722943,0,0
IPX.L,0.0454545454545456,0,0
INST.L^L09,0.0482456140350877,0,0
AICS.L^F12,0.0543478260869565,0,0
PCT.L,0.0595882990249188,0,0
INFT.L^D18,0.0691823912904228,0,0
MNGS.L^L12,0.0707692307692307,0,0
TIG.L^K15,0.081081110019832,0,0
AHT.L,0.0833333333333332,0,0
PAACi.L^H07,0.1184210526315789,0,0
SHB.L^C23,0.1275167785234898,0,0
PALMq.L^K07,0.1622291021671826,0,0
RFT.L^D06,0.2105263157894736,0,0
WOC.L^I06,0.2379310344827585,0,0
LDSG.L,0.2463768115942028,0,0
SWP.L^K16,0.2533331495109543,0,0
SLN.L^K21,-0.1858407084226503,1,1
HTL.L^B07,-0.1661971830985915,1,1
QLC.L^G09,-0.0324324324324324,1,1
TWXq.L^K07,-0.0324118207816969,1,1
LMR.L^K11,-0.0251256284838204,1,1
BLN.L^G08,-0.0168067226890756,0,1
GHE.L,-0.0139860139860139,0,1
0762q.L^J08,0.0,0,1
6501q.L^J08,0.0,0,1
7013q.L^J08,0.0,0,1
ATV.L^L09,0.0,0,1
FIO.L^I08,0.0,0,1
MVCT.L,0.0,0,1
SCTN.L^D08,0.0046463603510582,0,1
CITY.L^A23,0.0085470085470085,0,1
TMMq.L^K07,0.0266889074228524,0,1
MEDq.L^K07,0.0272479564032697,0,1
LLOY.L,0.0344097406034937,0,1
FKI.L^G08,0.045045045045045,0,1
FPR.L^J07,0.0522803114571746,0,1
DXNS.L^H14,0.0564516107173025,0,1
XAN.L^J07,0.0650887573964498,0,1
ARK.L^J09,0.0789473684210526,0,1
SSL.L^K10,0.0795053003533567,0,1
SMWH.L,0.088972431077694,0,1
IVZ.L^L07,0.099502487562189,-1,1
IVS.L^L09,0.1029411764705883,-1,1
LHAGq.L^K07,0.1075338055376691,-1,1
RUA.L,0.1821086261980833,-1,1
NWMS.L,0.1999999999999999,-1,1
POTL.L^C09,-0.0707070707070707,1,2
AMBL.L^L09,-0.0425531914893616,1,2
KBCAT.L^D16,-0.0217391304347825,1,2
UVS.L^F07,-0.0171673819742489,0,2
JD.L,-0.0090634441087613,0,2
HTM.L^A06,0.0,0,2
BCV.L^E07,0.0136986301369863,0,2
CAT.L^G06,0.0197080291970803,0,2
BWNG.L,0.0231213872832372,0,2
GHI.L^A07,0.0810810810810811,0,2
REGI.L^F09,0.1518324607329844,-1,2
CLVE.L^F09,0.2048192771084338,-1,2
IGP.L,0.2363636363636363,-1,2
SVC.L^L07,-0.0694444444444444,1,3
ITK.L^H10,-0.0175438596491228,1,3
JDW.L,0.0263157894736842,0,3
SHRS.L,0.03125,0,3
IRV.L^C19,0.0678466076696164,-1,3
ISG.L^C16,0.0781609195402299,-1,3
INTCq.L^K07,-0.0636537237428389,1,4
HDq.L^K07,-0.0121186794818219,1,4
FIBKq.L^K07,-0.0110410094637224,0,4
NAIT.L,-0.0104529616724738,0,4
0013q.L^J08,0.0,0,4
BGI.L^F06,0.0,0,4
ICAP_ua.L^B07,0.0061349693251533,0,4
HONH.L^K22,0.0139470013947002,0,4
ICAPi.L^B07,0.0148148148148148,0,4
LGEN.L,0.029535864978903,0,4
PRU.L,0.0476190476190476,-1,4
SEROq.L^F07,0.0771202236719477,-1,4
WSE.L^C09,-0.0458015267175572,1,5
WGC.L^F06,-0.0212981744421906,1,5
SHEL.L,-0.0133704735376044,1,5
DAIGnq.L^K07,0.0050985723997281,0,5
EDIN.L,0.0103225806451612,0,5
BARC.L,0.0200333889816362,0,5
TBTx.L^C07,0.0207253886010363,0,5
WWH.L,0.0207581227436821,0,5
DIG.L,0.0253929866989117,0,5
BGUK.L,0.0273972602739724,0,5
BNKR.L,0.0301249081557679,0,5
WTAN.L,0.0324189526184539,0,5
MRCH.L,0.0347721822541966,0,5
PKW.L^F11,0.0353982300884956,0,5
SIFIq.L^K07,0.0415129151291513,0,5
ADIG.L,0.0467836257309941,0,5
CTY.L,0.0573183213920163,-1,5
BOC.L^I06,0.0686886708296163,-1,5
HLMA.L,0.1058823529411765,-1,5
CTI.L^L20,-0.0625,1,6
IOV.L^A07,-0.03,0,6
CAPPq.L^K07,0.0034246575342464,-1,6
ITAM.L^L10,-0.0521739130434782,1,7
CDUC.L^D11,-0.03125,1,7
ANAA.L^A17,0.0,1,7
LPA.L,0.0,0,7
SMON.L^H07,0.0,0,7
TV1.L,0.0,0,7
OXIG.L,0.0061791967044284,0,7
NAR.L,0.0113636363636364,0,7
CSRT.L^C20,0.0295616717635067,0,7
HAYS.L,0.0350515463917526,0,7
TTG.L,0.0425531914893617,0,7
KBT.L,0.0512820512820511,0,7
ET.L^G19,0.0592592602544546,-1,7
MNR.L^I11,0.0699029126213592,-1,7
FKE.L,0.1374999999999999,-1,7
ANGM.L^G13,-0.0512820512820513,1,8
OPD.L^G10,-0.050943396226415,1,8
