Firm Name,Momentum_1,Long Short,Cluster Index
BKLI_06-L^K01,0.4705882352941175,0.0,0
MDVF_63-L,-0.0468750000000001,0.0,0
FWSD_66-L^I15,-0.0512820512820513,0.0,0
FSHC_81-L^H08,-0.0552631578947367,0.0,0
FSBE_14-L^A03,-0.057142857142857,0.0,0
LXKX_98-L^A12,-0.0588235294117647,0.0,0
MNMN_75-L^G06,-0.0588235294117647,0.0,0
LPKH_46-L^B06,-0.0600461893764433,0.0,0
MQXV_40-L^A06,-0.0606060606060606,0.0,0
MOOT_00-L^B03,-0.0625,0.0,0
MZSQ_B0-L^H10,-0.0714285714285715,0.0,0
FSCG_57-L^F03,-0.0740740740740741,0.0,0
MDFN_N7-L^A23,-0.0763888888888888,0.0,0
LXXV_95-L,-0.0790190735694823,0.0,0
MCEJ_39-L^E06,-0.0799086757990866,0.0,0
LQSN_80-L,-0.0833333333333332,0.0,0
FSCH_T9-L^K09,-0.0916030534351145,0.0,0
LQUZ_X0-L,-0.0954346770276833,0.0,0
FTRR_S4-L^A11,-0.1018181818181817,0.0,0
FSMU_93-L^L09,-0.1025641025641026,0.0,0
FWND_50-L^G04,-0.111111111111111,0.0,0
WYM_82-L,-0.1186440677966101,0.0,0
FVGB_04-L^G04,-0.1456310679611649,0.0,0
MDLE_54-L^F11,-0.1842105263157895,0.0,0
LPIO_25-L^J02,-0.0454545454545455,0.0,0
FTIC_M8-L^B14,-0.0451977401129943,0.0,0
LZNT_72-L^C08,-0.0869565217391304,0.0,0
FTVK_52-L^H05,-0.0362537764350453,0.0,0
LQIR_26-L^L06,0.1851851851851851,0.0,0
BDAJ_H9-L,0.1228668941979522,0.0,0
FVUA_50-L,0.1052631578947369,0.0,0
ISS_97-L^L07,0.0621468926553672,0.0,0
FSLQ_84-L^G04,0.0515463917525773,0.0,0
MCEK_93-L^L02,0.0332326283987916,0.0,0
LZWB_10-L^F03,0.0318471337579617,0.0,0
BLNT_37-L^D19,0.0267489711934156,0.0,0
MCRJ_00-L^F17,-0.0374064837905236,0.0,0
FTON_R1-L,0.0261437908496733,0.0,0
FTWC_87-L^B06,0.015625,0.0,0
DOS_59-L,0.0226876090750436,0.0,0
FSBR_F1-L,0.0040983606557378,0.0,0
BUNQ_03-L^K12,0.0,0.0,0
MBEQ_50-L^B04,0.0,0.0,0
FUBX_Q0-L^D09,-0.0072992700729926,0.0,0
LJWT_19-L^G13,-0.011111111111111,0.0,0
MQZI_72-L^F06,-0.0138888888888889,0.0,0
FTYS_87-L^A02,-0.0227272727272727,0.0,0
MOLZ_55-L,-0.0238095238095238,0.0,0
LWQQ_46-L^L09,-0.0277777777777777,0.0,0
MOPH_37-L^E05,-0.0289855072463767,0.0,0
MDHJ_82-L^H04,-0.0298850574712643,0.0,0
BCPS_48-L^C06,0.0076923076923076,0.0,0
MORA_39-L^K15,-0.1388888888888888,-0.0,1
MDFJ_98-L^K19,-0.2592592592592593,0.0,1
LZHW_97-L^B03,0.0,0.0,2
LQNV_23-L^L18,-0.1250000000000001,0.0,3
LQQP_11-L^C09,0.0217391304347824,0.0,4
MNOS_99-L^B06,-0.1999999999999998,0.0,5
LNDU_17-L^J14,0.0,0.0,6
BBXK_89-L^E06,-0.0487012987012986,0.0,7
FSOU_71-L^I17,0.0094637223974765,-0.0,8
DVX_M7-L^C10,0.0066934404283802,-0.0,8
FWJQ_58-L^I05,-0.0310880829015544,0.0,8
FZHF_20-L,-0.0414201183431952,0.0,8
LTDS_06-L,-0.0980392156862745,0.0,9
LQVL_J4-L^L09,-0.1428571428571429,0.0,10
MSRF_56-L^E02,0.0,0.0,11
LLQP_69-L^G09,0.0,0.0,12
DPXL_94-L,0.125,0.0,13
MPWH_47-L^G16,-0.0994152046783625,0.0,14
LYRY_02-L,-0.0833333333333332,0.0,15
MQFB_07-L,-0.0637065637065636,0.0,15
MPHH_H7-L^G19,0.0124069478908188,-0.0,15
FTND_42-L^H05,0.0454545454545454,-0.0,15
FSRS_45-L,-0.1062801932367148,0.0,16
LOEB_34-L^G12,-0.2772277227722772,0.0,17
LTCC_07-L^D07,-0.0434782608695653,0.0,18
MPZC_88-L^D09,0.125,0.0,19
LZZY_67-L^G03,0.0310262529832934,-0.0,20
MPRE_14-L,0.0,0.0,20
LZMT_35-L^D06,-0.0487288135593219,0.0,20
