Firm Name,Momentum_1,Long Short,Cluster Index
LUIF-L^F01,0.296296296296296,0.0,0
XOF-L^H99,-0.3666666666666666,0.0,0
NVJ-L^G03,-0.2555555555555555,0.0,0
LZXG-L^F99,-0.2222222222222223,0.0,0
FUAT-L^G99,-0.0588235294117647,0.0,0
YAW-L^L97,-0.0175438596491226,0.0,0
FWAG-L^J05,-0.162227602905569,0.0,0
MSBY-L,0.0,0.0,0
FVZC-L^H99,0.0,0.0,0
HRG-L,0.0476878612716762,0.0,0
XOR-L,0.095022624434389,0.0,0
MOLI-L^G98,0.1999999999999999,0.0,0
DOT-L,-0.0125523012552302,0.0,0
LRLI-L^D05,0.0091743119266054,0.0,1
FTJK-L,0.012422360248447,0.0,1
FTSG-L^A09,0.0119402985074625,0.0,1
FSFV-L^B05,0.0116279069767442,0.0,1
FTJJ-L^H12,0.011111111111111,0.0,1
MQXV-L^A06,0.0104166666666667,0.0,1
FTUV-L^G98,0.0088809946714032,0.0,1
FZDL-L^A00,0.0082417582417582,0.0,1
FTYS-L^A02,0.0087719298245614,0.0,1
LWCO-L,0.0086956521739129,0.0,1
LZME-L^L01,0.0085959885386819,0.0,1
LKMB-L^J03,0.0085836909871244,0.0,1
LKTQ-L,0.0131147540983607,0.0,1
FVVT-L,0.0080645161290322,0.0,1
FTTG-L,0.0088495575221239,0.0,1
FSRU-L^J00,0.013452914798206,0.0,1
FSFY-L^H12,0.0148148148148148,0.0,1
FSDW-L^B17,0.0137931034482758,0.0,1
BBXK-L,0.0179372197309417,0.0,1
URC-L^H14,0.017857142857143,0.0,1
BBTK-L^C11,0.0175438596491228,0.0,1
LXTF-L,0.0169491525423728,0.0,1
FSIW-L^J01,0.0163934426229508,0.0,1
FVSF-L^A11,0.0161290322580645,0.0,1
LXWG-L^H13,0.0134680134680134,0.0,1
FSAS-L^E99,0.0158730158730158,0.0,1
FRZZ-L^G01,0.0150602409638556,0.0,1
FSVZ-L,0.0149253731343284,0.0,1
WIX-L^C07,0.008,0.0,1
FUEE-L^G05,0.0147058823529411,0.0,1
LNHH-L^B01,0.0141700404858298,0.0,1
VCN-L^L00,0.0138888888888888,0.0,1
XEM-L,0.0157480314960629,0.0,1
FZAP-L,0.0078864353312302,0.0,1
LMYQ-L^G99,0.0046728971962615,0.0,1
FTLA-L^G99,0.0072992700729925,0.0,1
FTHC-L^K08,0.0,0.0,1
FTIM-L^A05,0.0,0.0,1
FTJF-L^H05,0.0,0.0,1
FTKD-L^B07,0.0,0.0,1
FTNU-L^A12,0.0,0.0,1
FTPH-L^G98,0.0,0.0,1
FSQC-L^A97,0.0,0.0,1
FTSS-L,0.0,0.0,1
FTWG-L,0.0,0.0,1
FTZF-L^E06,0.0,0.0,1
FTZM-L^G04,0.0,0.0,1
FVTW-L^H21,0.0,0.0,1
FVUA-L,0.0,0.0,1
FWJG-L^I06,0.0,0.0,1
FTVF-L,0.0,0.0,1
FSOP-L^I11,0.0,0.0,1
FSKF-L^C02,0.0,0.0,1
FSGQ-L^F97,0.0,0.0,1
