Firm Name,Momentum_1,Long Short
PTUL-L^H22,-0.9846153846153848,1
LTUC-L,-0.9666666666666668,1
LTKR-L^F23,-0.931077694235589,1
LTRU-L,-0.91864406779661,1
QXSY-L,-0.9101123595505618,1
PITO-L^K22,-0.7722772277227723,1
JILS-L,-0.4533333333333333,1
OQCN-L^G22,-0.4,1
SMPN-L^I22,-0.36,1
OFQA-L^A23,-0.3333333333333332,1
PLMW-L,-0.3333333333333332,1
PNSD-L,-0.3333333333333332,1
SLUR-L^K22,-0.3333333333333332,1
QFQX-L,-0.3225071225071225,1
PVMF-L,-0.2836538461538461,1
SFKA-L,-0.2827118644067796,1
RYSQ-L,-0.28,1
FZFN-L,-0.2745098039215686,1
QGRB-L,-0.2734463276836159,1
QTFR-L,-0.2680722891566264,1
FTOH-L,-0.2666666666666666,1
SOEU-L,-0.2660550458715596,1
NEYB-L,-0.263157894736842,1
PQFH-L,-0.263157894736842,1
LYWA-L,-0.2584269662921348,1
FTSS-L,-0.2524509803921569,1
OHDE-L,-0.25,1
SKSG-L,-0.2441860465116279,1
NKOY-L,-0.2310030395136778,1
LQNJ-L,-0.2299999999999999,1
LTKO-L,-0.2280701754385964,1
PPZK-L,-0.2272727272727271,1
FVHC-L,-0.2264150943396227,1
FVIP-L,-0.2240437158469945,1
QLLI-L,-0.2222222222222221,1
QBJB-L,-0.2173913043478261,1
FRZJ-L,-0.2142857142857143,1
SMQE-L,-0.2142857142857142,1
POPF-L,-0.2135922330097087,1
TNRS-L,-0.212121212121212,1
FSHC-L,-0.2094594594594595,1
FUYP-L,-0.2031361368496079,1
LOAH-L,-0.2018832391713747,1
SNFK-L^I22,-0.2,1
SMYY-L,-0.1983471074380165,1
LONZ-L,-0.1951219512195121,1
FSRS-L,-0.1903846153846153,1
NWGY-L,-0.1875,1
SFBU-L,-0.1875,1
SJIN-L,-0.1869918699186992,1
NNZM-L,-0.1852678571428572,1
FWQI-L,-0.1836228287841191,1
NSTL-L^B23,-0.1835866261398175,1
SBOW-L,-0.1818181818181818,1
SLMB-L,-0.176470588235294,1
SEJR-L,-0.175,1
PRWG-L,-0.1742286751361161,1
NILT-L,-0.170909090909091,1
SJTY-L,-0.1692307692307691,1
BCIP-L,-0.1666666666666666,1
NNDC-L,-0.1666666666666666,1
PNEA-L,-0.1666666666666666,1
PQLB-L,-0.1666666666666666,1
QJAR-L,-0.1666666666666666,1
RZWS-L,-0.1666666666666666,1
SCHE-L,-0.1666666666666666,1
QWSV-L,-0.1656426640452198,1
NYTN-L,-0.1628140703517587,1
MDED-L,-0.1613372093023256,1
LUTI-L,-0.160919540229885,1
NKTB-L,-0.1578947368421053,1
NGTI-L,-0.1572804201925882,1
MCMU-L,-0.1558992267398353,1
ZOX-L,-0.1549391069012178,1
RZWA-L,-0.1546391752577319,1
PQGX-L,-0.1544502617801046,1
MOWB-L,-0.153953488372093,1
SGBR-L,-0.1512738853503185,1
MOBM-L,-0.1510791366906474,1
SCDT-L,-0.1507936507936507,1
LWAQ-L,-0.150095602294455,1
LMWZ-L,-0.15,1
NGZW-L,-0.15,1
FTBK-L,-0.1485148514851484,1
PXHO-L^J22,-0.1470588235294119,1
NSZS-L,-0.1444444444444445,1
SDQD-L^D23,-0.142857142857143,1
LLFH-L,-0.1428571428571429,1
NRBC-L,-0.1428571428571429,1
SOOJ-L,-0.1428571428571428,1
FSRI-L,-0.141978021978022,1
MDDT-L,-0.1412028389988794,1
MQXO-L,-0.1410256410256409,1
PODD-L,-0.1395348837209302,1
NZRJ-L,-0.1392274323486881,1
FTON-L,-0.1388888888888888,1
SJXS-L^F23,-0.1384615384615384,1
SKUA-L,-0.1379310344827585,1
FVHS-L,-0.1375921375921377,1
MMZD-L,-0.1364732060077879,1
MDFW-L,-0.1363636363636363,1
QDUF-L,-0.1363636363636363,1
MOXM-L,-0.1350814461660707,1
FSXX-L,-0.1339950372208437,1
FTVF-L,-0.1333333333333333,1
FUGB-L,-0.1309090909090908,1
QOKQ-L,-0.1304347826086956,1
OAFW-L,-0.1302032913843176,1
SMGM-L,-0.129059829059829,1
FUDP-L,-0.1279954891457569,1
FSUW-L,-0.1275964391691394,1
QXQF-L,-0.1275191104933982,1
LMNI-L,-0.1250000000000001,1
IPVV-L,-0.125,1
LUTV-L,-0.125,1
LUOS-L,-0.1249999999999998,1
MAAQ-L,-0.1249999999999998,1
MACX-L,-0.1249999999999998,1
QFPI-L,-0.1249999999999998,1
SCCJ-L,-0.1245901639344262,1
OAZZ-L,-0.124215809284818,1
LTBZ-L,-0.1242038216560509,1
SCDW-L,-0.1236673773987206,1
VQI-L,-0.1232156273478587,1
SALX-L,-0.1232114467408586,1
SNYS-L,-0.1227272727272728,1
LZPC-L,-0.1212121212121213,1
SMOP-L,-0.1209901490275323,1
MMXI-L,-0.1181630546955624,1
SDBM-L,-0.1180738786279682,1
NDES-L,-0.1177011494252873,1
NWJE-L,-0.1176470588235295,1
SEER-L,-0.1176470588235295,1
OFTJ-L,-0.1174533479692645,1
NMZP-L,-0.1163522012578616,1
NGLG-L,-0.1162790697674418,1
MKMQ-L,-0.1161417322834645,1
LLNB-L,-0.1153846153846154,1
MPIB-L,-0.1144952058657643,1
SHUM-L,-0.114376130198915,1
LUTQ-L,-0.1141678129298485,1
MVFU-L,-0.1139442231075698,1
QUON-L,-0.1134485349361382,1
FRZT-L,-0.1119356833642549,1
NQME-L,-0.1118825942875176,1
FUUW-L,-0.1112883218146376,0
OFVX-L,-0.1111111111111111,0
NMZF-L,-0.111111111111111,0
QGLJ-L,-0.111111111111111,0
QSKD-L,-0.111111111111111,0
RXZS-L,-0.111111111111111,0
SAUM-L,-0.111111111111111,0
NZKP-L,-0.1102362204724409,0
