,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,absacc,pctacc,acc,aeavol,age,agr,baspread,beta,betasq,bm,bm_ia,cash,cashdebt,cashpr,cfp,cfp_ia,chatoia,turn,chcsho,chempia,hire,chinv,chmom,chpmia,chtx,cinvest,convind,currat,pchcurrat,depr,divi,divo,dy,dolvol,ear,egr,ep,gma,herf,idiovol,ill,indmom,invest,IPO,lev,lgr,maxret,ms,ps,mve,mve_ia,nincr,operprof,pchcapx_ia,pchdepr,pchgm_pchsale,pchsale_pchrect,pricedelay,quick,pchquick,rd,retvol,roaq,roeq,roic,rsup,salecash,salerec,securedind,sgr,sin,SP,std_dolvol,std_turn,sue,tang,tb,zerotrade
firm1,8.855785584828602,-5.058100373215262,3.2348918276513228,-2.3235807817556893,5.441906546719581,9.46529507867697,-1.4607948914842197,-4.414725096009507,-0.36905049813750246,3.0723190626672654,-6.256988307834188,-7.7061974454244675,1.1009926119613738,-5.7297104382914394,6.302226054642173,5.90691872371462,-4.74557052595652,2.568153291374145,8.703336168272784,-4.881453779938322,-5.363946662963359,-3.317520105306853,-5.714449044159866,5.338582040915709,-6.355714530450496,7.293886686611838,9.07995922355338,-7.032972809188984,6.813706807256107,-7.552237053989311,-9.309104926303409,3.207041615385249,9.843951818401095,5.921987738087575,-6.3032876648995835,8.429172614112833,4.373265401222842,6.929397320301735,-6.818839721315937,5.600845803722699,5.195194929979179,-3.4024797704558063,9.945977705304333,4.55635711766406,-1.3876293901207077,0.1741190101319532,-1.7031537082960995,6.969096565058486,0.7079383409247768,-3.6044158381587854,0.29755139184772084,9.432460077983713,9.39569441321255,-1.3074151689249707,-2.5376930281773387,-9.01257554117132,4.068613081133945,6.3408383205477,0.6763368291814249,-0.4850373565359316,8.143734304821791,7.989403371005032,8.582536870859833,-5.871067463572615,7.686902787069464,-6.660938857132017,-7.05601192300268,1.4961230154255283,-7.488451575692681,-1.28881557225721,7.649871459059774,3.189232374778685,4.768801700698425,2.643498212752604,3.0569444279143116,1.8193842826675777,8.983283525083728,-3.056219155227378,3.8476327772070817,2.4854793820907943,-0.08203332821583231,-1.6674226381026287,-3.2456009146196063,-7.849391965866808,1.1458119778327447,-4.94785656060796,1.180776318873523,7.812407881917757,-6.867444599975219,-9.692900813977655,4.2396596839087675,8.819645737350385,-5.08544325876092,8.559734719266842,2.251956145839946,-5.1929643185485475,-4.590044363410907,0.35513041756520636,-6.256991637025249,-8.193944447091013,3.9044544723141943,-7.51262149425004,6.097909957776746,1.455056958359652,7.9445255449338035,0.4974034626924162,1.6268628304993946,-8.42986205949537,3.617562616187806,-5.375827584290511,7.3356506491628934,-3.6795736057626804,-1.142686807081672,2.45186683023935,-4.9742999974359385,9.962962684359898,4.355647319139269,8.468702303631805,2.4689577845364603,9.189516815652453,5.997343686982926,3.1591436821774224,-5.267462394514246,6.533103901454449,-9.244252587443789,2.928263048208244
firm2,8.743042166650653,-8.268006608294078,1.0108902697978035,-5.952683154739546,-3.203400607311786,7.938522634375339,-0.17994066815204057,3.379514600584825,-5.922002506989077,2.068765156492061,-1.1096074740315824,-8.99257812894065,2.6678006277676296,6.510142006688902,-0.21175616619143156,-9.092104359663304,8.374072801026035,-3.170327315456678,-6.431304560649318,-1.702440852340814,-0.5203642634233887,0.46129106855314106,-1.5922090664316872,3.5699758262475374,-1.5474894867610303,7.188477731495777,-5.221399169052012,-7.623613434818193,8.510231940690545,-6.469607524888172,1.9948305565327455,9.075522414889537,-7.616629324004956,8.275969809928679,-6.8581109720666955,9.524913705831576,-8.852300658289954,1.042961752021398,-3.8092439093587878,-5.04852041960959,4.709706582156949,-5.622470648420894,1.3676663948732521,-7.103903133236691,-5.06932628584001,-3.158383572680563,-3.603123614102488,1.159561278990962,7.412164929190396,-5.146766343299798,0.3170541551090249,4.721456472169107,9.941429639795892,1.8629004057729333,-6.6153446473994215,-6.121477184086739,-4.110526615439312,-8.585322863478808,5.810039740616331,8.914006545776147,2.4956541147341795,-4.68661811916885,2.2159677004427962,-2.420120326911899,-3.5718472114410655,4.734784872798851,-7.268303266574307,-6.88068154569069,-3.0381931203477635,-1.1819258784701248,4.25567754186806,7.369036715220339,-9.204250042934918,7.530229997739067,-7.793384348646835,-6.186143931376876,-0.8834618970946444,-5.040795341238988,-7.329783546123798,-5.039335344538543,-0.995357900683139,6.800598082616162,1.6038823439485288,-5.616881355021281,3.986911654719414,-9.429926764680548,-2.2382147287512577,-2.2389066485235976,4.391525685885609,-8.310718942155553,-6.071162665211642,-7.0683756454385005,-4.904615233518504,7.879050303839911,-8.659476949960078,-0.9533346695555949,6.651552119110512,-0.8178309016874934,-6.0202235918023295,4.086381889566562,8.467561155075508,2.97126914905472,2.842861943063891,-1.4492319554178295,6.966652741306952,-9.16727560638167,1.4430132460003797,4.65489503197653,9.887741768706434,8.436714495226628,8.150000286944302,-1.1273903304554658,7.429494285535522,-3.1456417673028287,6.243737519671086,-2.1251500356402975,-0.8669902036446349,-5.5056897501576,-0.7569185278154187,1.3856913806144426,5.101719998636405,-0.16305709364550047,-9.552530425970689,-7.968110598321361,-2.3856345799608096,-4.061457136527833
firm3,0.36878836025874406,-7.714613611195931,0.8383879417072482,-7.244011669585834,2.2316491643697933,1.277254058981601,4.968269676691044,8.746055994387731,5.485496327955827,1.5795863765369962,0.23397321409430738,-4.4733291332260405,-4.861038401908136,7.517742252826153,-8.899092448395828,8.652326958424187,-4.945215481215241,4.963887086182519,5.269128529143842,-2.1097982281629823,2.6152112369422866,-0.40766983812987156,-2.02515627688477,-9.667606098066654,4.290531352367115,3.2543370314728914,7.36772206221254,7.747398099762265,4.08649484010007,-4.669132841670449,2.4861896730598954,-7.451882932982077,-3.3400543262233517,3.444001152261272,-7.1386225910976915,-6.9149431209227625,6.345861085656438,0.35950785615976244,-0.6474562913567254,-9.775630422409133,2.486374092569733,5.468125069727009,2.6914916475435486,-3.8761142594968723,-9.876336608357354,1.9390418449058302,2.760165887212956,-3.0414843588033253,-9.133218447784603,1.3965254176602393,8.193339094601665,-4.445949486057037,5.660448424670246,-2.4506782319358837,6.6986160323519215,-6.190593571077587,2.787749512382545,7.941167497480933,5.290476539073987,5.677095387887869,-1.410071826112853,9.764067807805517,1.6144696846147983,-6.680747823580681,7.12752710913016,-9.108857557382628,-6.446199769996717,-1.6479108039152024,-8.641299083344311,-9.006653900646217,-6.102597898890771,9.032117233704529,-3.4113720982304336,-6.933636475877664,7.803802612591838,3.4135285419595327,8.795654761003437,5.04046282598299,1.4276840654019711,-2.7272049564893353,0.007855837681869815,-6.672558805766302,-0.18590746933214497,5.198235144477238,9.61898913455439,0.9623947972810498,1.403190480543568,2.0103317078428002,-1.431043313701501,9.204262898762341,5.932425410033218,1.8526833159009328,-9.259672655792455,-6.341050740066347,9.895167842260744,6.3522806850673454,7.402984165159786,-1.1765819546690786,7.113867583612862,-4.0264394344254795,4.2765044753654315,0.8787799752495147,3.393828527079867,0.582307061413676,8.943185014584493,9.543612145187932,5.970477770970266,7.485954411747343,-3.3893111082492506,2.7710898943270212,-0.4161736882754461,-7.38554024686362,7.40491277174678,-6.781354930292547,2.350887479033709,-9.585779344655387,1.1155499619989389,4.510503922541316,6.285987029737814,7.6536056712346685,1.139257411729968,-9.674033090021803,-9.6919165178901,4.784025667876842,-8.954586261277447,-6.0385343537625396
firm4,4.217493831054405,1.6239521623603856,5.5432636911552375,9.11159989122633,7.126140286786146,6.421214824662734,-8.446980199038913,2.992696726354767,0.8181362234896099,7.486176531112697,1.5930865953080549,-0.4910640454596287,-8.297812495470877,0.43517524208919234,-3.428277500274069,-4.4544885724610195,-7.311569941443253,1.7138179063985408,3.957279927927562,-6.53436143668932,5.113307089927037,-0.5410183809675608,-5.881069686875852,8.171146150912094,6.833966417433313,-6.293135262058365,8.670413745053956,4.559664750422963,5.255995015840808,8.274127027290909,8.110540800787554,-2.5754130409703313,0.8159114110159216,-5.732386174456692,5.258321757509579,4.935316978217827,2.235508317318855,3.984230442238914,4.6899751230191615,-1.7519698725761863,-3.316425183202421,-0.5779092010943145,-6.660745672835329,7.251603626645501,-7.441078491043729,-5.030593904598404,-5.4062675815230925,-6.938665840622393,-9.553395487137191,-5.064574209306909,9.61769903534984,-4.493321212134345,-0.834098090621973,7.377783600378297,-2.0501755159044883,-3.1895014429334108,0.08454112613922327,-1.2378059318304366,-3.5779915185526594,-7.966857082933418,-3.689254309378125,2.311028759757484,-8.387694116461295,-7.5706938052252015,9.781588152629563,9.976757831549573,3.9695545514143333,-8.082943769853994,6.965056874829589,2.390360439201924,2.450102397757936,3.90790865353911,-2.9848586170449813,-8.007209200124027,9.9850212962865,-6.941799160359765,-0.49653146766445566,-9.40530158957712,-6.762033076791242,-8.93081376033538,-6.113169785866781,-9.715102224736167,-4.167017866579172,-3.0438500944149105,-1.0923824431947828,-5.3051584679413155,-2.525590911449247,8.787467716740753,-9.467210705037575,-4.035614028686883,-2.2141307774897285,0.3255538838480554,-6.136857458290712,6.883501184395133,-9.923272718809708,7.479321630518591,-8.229549134383248,-4.888761582349515,-0.6410714117352168,7.929040482018465,1.7330386274618537,-8.258260950899597,7.210765197210204,-1.8716009516210903,9.406565305711702,-1.848044892543987,0.039484750411961755,-3.832754255485389,6.341614839379041,-4.53639440451175,-3.0850091438389837,-5.671947879569839,9.597594893517744,9.780148180827048,4.559786517740644,4.878187190230568,9.145505768961872,-7.56770736999421,4.4784725491793065,6.230853106605089,4.739288951864209,8.184659015123124,-3.946467178575146,-3.1329317747356056,-0.4593544125497253,8.80056845447671
firm5,5.129283354587269,2.9841888629949693,4.635723380031621,-3.5529030401151918,-2.394952664858252,2.9067322298594576,5.673812203529966,-6.153180999824206,1.0915658922355043,4.435925617986339,4.465443006555887,-0.3417909522157796,0.9048989419327533,1.436525201402862,4.593648543202665,-9.065887203783873,-6.869825799947522,7.953578341118874,2.360267336261428,-0.9395235319629247,-9.551309449164167,-5.556645918910363,6.758515791326623,0.9402256917337422,8.012560082875428,-3.1787678638522383,-9.795716615220337,4.77902634184413,8.328229291325144,-4.459931998102393,0.29905828903820364,-4.920052092932727,-0.5953824537488455,-7.504981470071572,-9.380775616563298,5.634849277430625,5.0753862042674704,-8.347494858626558,-8.703471327111478,-7.881564898981166,-2.914792077420185,-5.354516274461947,-5.57255705572577,-6.6230330933816255,4.573737510682054,0.6384318853383935,-9.455940076760738,-0.3101007038321697,-2.2273133959343845,6.17435285685897,8.292092305998658,-8.842379188790696,6.141073624761809,-3.2151988812211822,9.388133524893792,8.758202237517583,7.727007685713442,-0.7202732655057851,3.027211322579266,-8.471136178397142,-9.473505374622768,2.8568071952297416,-7.406288530486074,-9.82747399081832,-7.03722427969748,2.092149716139076,-7.076352077949717,8.600913845268984,5.9873723390692355,-9.174850201113953,3.203181611882016,-5.591243922707337,-6.8222056893280625,2.3418970085117685,2.7965369970801426,5.27411059041453,-6.969827098022354,8.52618147247042,-8.31718789411954,7.047706128008578,0.29415390031152633,-7.1562797769109014,-9.091157711784268,-6.759354251920023,-8.718631639546867,-6.3717308758945475,5.622840880247216,-2.087887682201055,-3.0231233383452167,-5.412418039112001,-0.10127168074702908,5.517143826555678,-0.7899425252164676,8.25427618973999,-8.92385749292222,0.7211693703312783,-9.370466217544994,2.980815105193601,5.375898315600677,3.850253635403451,-3.86111087467439,-0.4386378989874231,6.0390715658407395,-9.447983431395137,1.013613320794608,-5.882790168499509,-4.5601903440180624,7.538260233907149,-7.847544709142424,-7.467020622506788,6.4481477219262615,-6.543774752401976,-1.8627478216727784,-3.2129900923106884,-6.112775291975634,-0.9192878233846553,8.854127974159972,6.487287369585097,-2.8209534486052013,9.93447927636053,4.622559793699509,-0.13726751062922915,1.4028275036712792,-0.019158605217860725,0.7658574029890612,-0.9229403616209364
firm6,-2.7358888222438598,7.1808709592836415,4.955829991544533,-0.9127231067373405,4.980972290011671,-0.9972003417710802,5.5083459523671525,8.69111403214615,4.490917296154803,-3.6790692995377894,0.5701630482838631,-9.080764925866479,3.339922070231685,5.14686774160503,9.449174055623367,-5.532433856064102,-9.733733006994287,2.2978227538492924,5.254888111285215,-1.0302358757127745,3.6261033635693387,-8.529436505945112,9.468818652325698,7.535074936588689,-1.7120029665361933,-5.279376224987573,-8.695598993393485,5.616363445055105,4.949542822886086,-0.48410037129732864,1.6422596504062685,-0.9264441779248891,-2.253624102040641,9.60257305538694,3.6333425618727926,0.17403954450525383,-7.652756160542522,-6.146350606014552,3.107091686319613,7.316978747128701,-1.0139679982792043,-9.702705840907676,9.63895259330475,-0.7538732724587849,2.31793545129875,-7.1205338631025406,-7.38696743037311,-5.880439057931106,-3.157407509016301,-2.42176200312924,4.143155963896312,3.7844245197914983,5.31567699118963,-4.904584969130523,-7.480034546652425,-4.760502710241563,-1.8055725605901145,-0.207655433802449,4.199241114936454,1.1530140583166357,-3.039624203851206,9.568473444226658,3.0971516608346743,8.237606056910082,2.7342644780666365,-3.293263746354606,-8.04240048381155,5.550882568160631,-5.168500223009104,-6.592494950748213,8.974729297697731,-4.00075992849785,-3.8231584405976164,7.3737888471274395,6.320850118788847,-8.260855671591123,2.1654496748286114,1.715561510998672,6.793578883950612,-8.971537544778265,-9.642030737238416,7.47095263760874,3.871830293440448,1.9472002747747492,-9.165835547924257,-5.117556465194129,3.0363854226453135,8.803538753942469,-4.550063615313064,-9.615708485293695,-7.263151318807548,6.425611750804734,-4.128297962523186,-3.196572143757253,2.075041264694029,2.9446767850341455,4.474426522627352,3.276111272889242,-1.2619164986618596,-4.150472244084684,3.219654085651925,8.391457903642511,6.229271865663922,0.22888758602960024,8.532426284728587,5.790528089332465,7.091827677406325,9.891575067122751,-7.446528805717573,6.077321616438308,-2.503399095042753,6.528942456915871,3.2696199999432523,-7.283524865491482,5.5839603816033385,6.913107187226824,-7.017176679997476,6.839993460205129,-9.472829383453176,8.68296229813813,-7.413553668730892,1.8056405882341249,1.6761109581616047,-8.150124973394872,-9.026362293450116,-8.500829388555175
firm7,5.763277306123296,4.005266286251674,-5.900455074243316,3.5652663653814223,2.4009885736917482,7.755298783122445,0.3556926433315706,7.477490521944738,0.7428393328255467,-9.737063786440952,-4.9232515247707,8.442575356358695,6.137178338162492,7.7184867419128445,-3.4228939808944077,-9.157193819832168,2.6167084527746614,-3.949564843064726,3.190419504101822,-0.1785537781025841,-1.5134219748529336,-6.768314370288433,-4.477683626494857,-8.846516540745078,9.16080925391838,-0.9219948267034113,-6.28793787413076,0.045091332000875894,8.037203008311693,-7.987136451582614,-7.346885424666956,9.037072559407761,3.931477978529937,9.53954015098202,-7.856291179561687,-7.967952784971331,-8.348247118511674,-6.7875228954102536,6.108106851551231,-2.351710284371869,-9.739741457502568,7.630944960297377,-9.148095289936244,-3.5299190652809065,-8.881657745299911,4.645531346505859,-2.0523067643596926,-2.254165813512601,6.007521063880191,-9.676532957025971,-3.2770134426263997,0.0701062834070516,8.995930746372075,-7.511052553162704,5.956729907943565,9.66475989595709,3.8037879221222965,-9.92607847259414,5.103145880720989,-7.413674844691702,4.902946156314524,-9.534968091847668,8.89636484666369,4.243159630442165,8.858589008534128,1.5948460944670568,0.023044643355580874,-9.891372792088484,-2.157397096362197,3.1999817308718175,-3.6343059166907405,-2.4782719605283603,-0.8223848642575966,-4.266659818726479,-1.089431278824085,5.097935087069249,4.488573513663196,-1.2294849935094199,-4.0488052564430665,-4.321290972841043,4.31648510839965,-4.660964515772972,0.36950567813839186,-8.436081537714735,5.145537781807668,0.20826862187733752,9.594114186531044,-4.816117469464858,-1.08978716427597,-2.137877814491689,3.308796300124543,-2.1837907466660162,-2.886371500681797,-2.30067978249264,4.64829101829185,2.4977719465954245,-7.6335947663379455,-7.837625694122943,5.765760458086959,2.1612914848422733,8.554698995143134,-7.1611671911713,8.080373104299891,7.241278061565588,-6.188580883565229,-0.10284548703861773,-6.550413264224222,2.1960834203870228,1.7561357209432042,8.817703030635492,-4.245954089805446,-6.531218466570456,6.501661161335857,4.85355103845481,-4.953985431468013,-1.789870170529845,1.7768815914400466,3.9245759432967535,-5.735114646558852,7.522406173280032,6.054766160271576,-7.455010530885917,3.1198871371257155,6.980750452937304,8.341359926119786,-4.483689539285294
firm8,-0.4812520544520016,-3.2444253189357752,-6.6736864248197385,-0.8479387434160799,-1.1040296915902754,-0.9852163471981115,-2.384807495036993,7.521174643935808,-9.420171040506824,-0.8208590447797697,-5.787849954256565,-8.577183265521985,2.35975277910757,8.90401777427018,8.641470014210569,2.701015027298004,4.663340806963085,9.577462432103971,-7.572601125845164,-2.968388094540078,-3.2490975323443827,0.003940605509972883,-0.3010738670511728,-4.313006631997867,-6.746004298622474,-9.410500532277588,3.8321169806156696,4.701687222870516,-3.687988632235049,1.486902538166424,-5.874013953472064,-0.12065225493669018,2.7359662327849943,8.25988843612119,2.3080518592325543,7.4131646360286005,4.1028143753153685,-8.385582040280454,5.1472580177215566,-8.850641761729603,6.5218745194581516,0.36807754937326287,-7.369903829073428,-5.123481139408095,-2.588726079219173,3.7451831271449194,-3.735979616277991,4.82267021801842,-0.16612828126616286,-5.6870392651057085,-9.611532418003335,-6.160215165121139,0.8988705916394437,6.997677053514369,4.095327696929775,-4.205282731173828,3.6207461213082546,0.6187877811982023,-9.582601151897027,9.753359566248271,1.6493000728694405,4.700669819964311,8.81281212695761,-1.0098701371578382,8.234559700216447,-5.032977206721871,8.598944033704086,-3.1331473409741033,5.9734714063648635,0.5008005155463362,-9.795975707484875,-9.46366950496592,9.638730051059344,-7.479090530662722,-5.546573739973457,2.672220975240549,-3.371600615406301,-4.798092737676756,-9.578927020055694,-9.250995123035873,-0.41152065259833215,-3.2199548532134976,8.125695543298935,3.515169843602772,-5.536805287302546,-4.989178895685217,-5.043179388157504,-2.139717517878566,-6.14217029382651,7.849691994741995,-3.244744542513411,-7.560072977670595,-5.2668256645273654,-1.9528202170862468,4.24390428569305,9.666163090085579,0.9422037120918869,-0.36493972003713004,-5.854237168962346,9.996138150416424,-3.8163412784861546,6.727258036626694,-6.396021196566773,3.4820609128796836,-1.4387246447715825,-9.381119115787662,8.70243951848672,1.0499142319216013,0.7289641089444476,-3.8237432872228716,5.993109811114923,0.8032905157623578,-8.999921805934378,-7.80983680701278,4.637957866837306,2.2847000623226332,-0.9255251343250066,-0.563293654656615,-8.893773090097065,-0.044904963694405,-1.7988759496186972,-4.062479988356815,-9.748843884413956,-5.9752863343755624,2.083009473382573,-7.54266843356771
firm9,9.103587631818652,-4.856072976864194,-2.5345574055894193,1.930008268164201,5.599753546363642,-1.8987941537476498,-6.300617486386959,-3.360029418040538,1.9011095196360461,5.397564218443275,8.883304134842845,-1.2110282868347788,9.503743606443983,-0.260122938543482,-1.637737506287209,-1.0147926484963055,-6.522370393396866,-1.0951358096913832,-5.498183049930172,-4.31181896244043,0.9394598825430283,2.558145609272822,9.697671045191882,4.180463271405673,3.9868906921169316,-2.3319240213269055,-7.996211103333746,9.645259976965136,-1.382816625679208,-8.181690668932738,-2.753708717035286,-3.3872285217461773,2.2318473005672637,9.042460137608117,7.8738801728081285,-0.9458659087141719,-1.9446451388045194,-3.4465882282295857,2.050810238059741,9.97326527939736,-3.647432661435177,9.365345991713824,4.709638250311343,2.247700977507815,7.007128892699278,-2.5979109630689052,9.813905456513467,-0.7999994978543139,9.089279480427795,3.347957074050134,5.2600185485770155,9.498930220409328,-2.312181034188554,6.297606851075518,8.157258667033297,8.936270757351824,4.854760422029145,-2.5995843903618194,-0.028752444839144076,-7.145969217364792,9.211883584183177,7.791514988799648,7.247015031899334,-8.60885683631793,0.9219355572600421,-3.609028047092755,-8.018319991043699,-4.7239433336229375,7.052088417745459,-4.1956178211591215,-5.790348432257913,9.733201044763064,0.9906665012565803,7.637291091094053,-8.304726115059527,-3.19518732729758,-3.2163479004626776,-2.258455785806608,3.262602439099565,-9.804380713870113,-9.497438578957947,-0.37609063865188297,5.64000607721419,-1.9883486198895106,-8.392559978628817,3.2577079517550196,-5.173677100826635,8.856571828710461,-2.4444112723795968,-8.775630397414751,0.15858314198395895,-6.690364282378316,-3.803537018067386,7.5186003038928,-6.9118184900387725,5.250553584616613,6.664828923377783,-0.16288224440945598,-0.8442726790349404,-4.593045484335856,-1.5788613251427641,3.4667956583030364,0.5651214251582797,4.644708375894222,-4.795398416115397,-5.589199750891279,-0.05378451249974425,4.829457130047153,6.844900964540482,2.5830615265386374,4.789230296924734,-0.08596016674554718,-2.535988816938417,-8.034297249768684,-6.661277343827909,1.0900140100857278,3.129804882150495,-7.808494949310518,-9.61261042298387,-9.497336325018185,-3.154126646586592,-4.011889065200293,-6.642153835891548,-6.6739014258485385,-2.862361056105267,3.293598707817706
firm10,-9.194892997363839,6.361450687307467,4.947057491151792,-4.177492409238861,5.4780068280406375,3.564902320668235,-1.723580550964023,-9.844491525520171,5.0823826657339755,7.106370747961947,4.556869497731771,-8.781834109769303,8.166957930718198,1.2813860871948517,-3.9993116586360795,3.1750269741235044,-7.267574138674393,0.7250325678097731,-6.203959234243235,8.783018437522017,-3.092074518680197,3.788265044321225,-5.420177487186919,2.0766240958853093,5.211546011166998,2.823350621677559,-3.5011221350708173,-5.444865775272318,-6.291422242981559,3.202226267387985,1.8631610063654556,9.057522838037407,7.922015759370716,8.168473900118286,-1.6383603289394166,2.1653030007707397,1.950079775022047,3.2647891512319998,0.0939742941221855,-6.835235016134769,9.340939750596348,-9.551132603078052,3.34882377363526,5.370757698517256,3.831576348471783,3.1041562410866614,-8.535997301153683,9.180877800942397,1.9161325286236526,5.160584564866097,-0.15827667893164232,-4.190213114972079,1.4058244497658894,5.718970627007479,-7.034888424547388,-2.6817849276635837,6.003008864624462,-4.357931887502509,3.413518568262532,8.688607025391178,4.120563340745278,8.347832397541943,0.6669088158180223,-9.09118507491091,7.600846968874816,-9.026883627132927,-7.531262241772043,-7.516161865560056,8.000371308580117,-4.14265270785992,3.724819638860449,8.06218322305546,1.5540013313597374,-8.363353113994824,-9.631915319198727,3.8244609924760162,-1.2175810028724428,-1.1365704681532698,-7.316221730125059,2.020048277686117,6.144033746224828,-0.01948520338276971,9.659173410705591,1.027039600677874,-2.712729618732479,-6.532444508773105,-4.755271999323356,-9.594484754743462,-1.315631730399243,-1.8907489124335157,6.65976530094067,-9.419842092138476,7.882659791843096,-3.1567913938346432,-8.190344462904356,-8.208450357862514,1.0279396094529254,3.662219504026705,7.1514332014967295,-7.03294780767852,-2.326889066877939,6.237149492263388,-8.790171107059571,8.14877419706098,-9.719878725838731,-7.473162758776608,-6.4245702342708855,-6.62031792763321,-4.958529111167291,-2.2866964752345105,-2.7829188753159873,0.3969006272330162,-2.2248319552876357,-9.68667687080104,-0.4333522855737755,-6.636570447497673,-7.031664255303665,7.8764866336124655,6.310261619303912,-4.627671237852013,-2.6221370275762474,-1.1002776977151356,9.706424717589922,-7.659144764971105,9.913572987837068,-8.842179175119348
